Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
tristan vukcevic,C/UTIL,WAS,30.24%,0.02%,1.54%,15.05%,28.21%,$0.75
kyle anderson,PF/F/UTIL,MIA,28.82%,0.02%,1.45%,7.4%,12.65%,$0.6
tyler herro,PG/G/UTIL,MIA,30.87%,0.02%,1.41%,25.59%,30.55%,$0.45
isaiah hartenstein,C/UTIL,OKC,26.77%,0.02%,1.29%,8.15%,9.2%,$0.12
jaylen martin,SF/F/UTIL,WAS,27.56%,0.02%,1.28%,12.54%,21.4%,$0.1
colby jones,SF/SG/G/F/UTIL,WAS,28.27%,0.01%,1.2%,39.34%,38.3%,$-0.11
shai gilgeous-alexander,PG/G/UTIL,OKC,28.58%,0.01%,1.19%,31.08%,33.25%,$-0.11
bam adebayo,C/PF/F/UTIL,MIA,28.86%,0.01%,1.15%,36.18%,26.19%,$-0.17
sandro mamukelashvili,C/PF/F/UTIL,SAS,24.84%,0.02%,1.11%,2.5%,2.17%,$-0.21
jared butler,PG/SG/G/UTIL,PHI,26.46%,0.01%,1.13%,12.75%,9.99%,$-0.29
pascal siakam,PF/F/UTIL,IND,25.07%,0.02%,1.11%,5.53%,5.7%,$-0.33
jaime jaquez jr.,SF/SG/G/F/UTIL,MIA,26.81%,0.01%,1.11%,26.86%,24.33%,$-0.35
nikola vucevic,C/UTIL,CHI,25.32%,0.01%,1.1%,10.59%,8.62%,$-0.39
blake wesley,PG/G/UTIL,SAS,25.71%,0.01%,1.08%,7.21%,13.61%,$-0.4
jalen wilson,SF/SG/G/F/UTIL,BKN,27.05%,0.01%,1.09%,33.83%,32.84%,$-0.4
alexandre sarr,C/UTIL,WAS,26.15%,0.01%,1.09%,16.91%,23.77%,$-0.42
justin champagnie,PF/SF/F/UTIL,WAS,25.91%,0.01%,1.07%,15.89%,15.09%,$-0.47
ziaire williams,SF/F/UTIL,BKN,25.94%,0.01%,1.03%,8.58%,11.31%,$-0.52
keon johnson,PG/SG/G/UTIL,BKN,26.18%,0.01%,1.03%,22.47%,20.64%,$-0.54
jalen williams,PF/SF/F/UTIL,OKC,23.86%,0.01%,1.04%,8.14%,6.21%,$-0.56
kristaps porzingis,C/UTIL,BOS,23.24%,0.02%,1.0%,3.11%,4.14%,$-0.57
myles turner,C/UTIL,IND,25.42%,0.01%,0.99%,4.79%,6.29%,$-0.59
stephon castle,PG/SG/G/UTIL,SAS,24.3%,0.01%,1.0%,5.94%,4.6%,$-0.61
lebron james,PF/SF/F/UTIL,LAL,26.77%,0.01%,0.98%,44.14%,35.91%,$-0.62
tyrese martin,SG/G/UTIL,BKN,25.2%,0.01%,0.99%,5.85%,8.56%,$-0.64
anthony davis,C/PF/F/UTIL,DAL,23.83%,0.01%,1.03%,19.06%,10.75%,$-0.66
kenrich williams,C/PF/F/UTIL,OKC,26.22%,0.01%,0.98%,35.95%,36.71%,$-0.67
patrick williams,PF/F/UTIL,CHI,25.32%,0.01%,0.98%,7.7%,12.41%,$-0.67
kel'el ware,C/UTIL,MIA,24.08%,0.01%,0.97%,3.36%,4.91%,$-0.67
jordan poole,PG/G/UTIL,WAS,21.97%,0.02%,0.94%,2.68%,3.04%,$-0.72
haywood highsmith,PF/SF/F/UTIL,MIA,25.73%,0.01%,0.96%,24.96%,28.53%,$-0.75
isaiah joe,SG/G/UTIL,OKC,24.62%,0.01%,0.95%,7.22%,11.81%,$-0.76
trendon watford,C/PF/F/UTIL,BKN,22.96%,0.01%,0.94%,3.47%,2.37%,$-0.76
josh giddey,PG/G/UTIL,CHI,25.49%,0.01%,0.93%,31.12%,35.11%,$-0.78
aj johnson,PG/SG/G/UTIL,WAS,25.01%,0.01%,0.94%,15.01%,15.95%,$-0.79
coby white,SF/SG/G/F/UTIL,CHI,24.45%,0.01%,0.92%,10.41%,6.09%,$-0.81
chris paul,PG/G/UTIL,SAS,23.51%,0.01%,0.92%,4.26%,7.26%,$-0.81
davion mitchell,PG/G/UTIL,MIA,24.95%,0.01%,0.93%,6.66%,10.96%,$-0.82
kevin huerter,SF/SG/G/F/UTIL,CHI,25.49%,0.01%,0.9%,22.12%,15.25%,$-0.86
jayson tatum,PF/SF/F/UTIL,BOS,22.5%,0.01%,0.94%,10.95%,5.81%,$-0.88
jalen hood-schifino,PG/G/UTIL,PHI,29.54%,0.01%,1.01%,0.03%,0.1%,$-0.91
luka doncic,PG/G/UTIL,LAL,23.14%,0.01%,0.91%,18.56%,13.87%,$-0.95
keldon johnson,PF/SF/F/UTIL,SAS,23.21%,0.01%,0.88%,6.4%,6.16%,$-0.96
lonnie walker iv,SF/SG/G/F/UTIL,PHI,22.92%,0.01%,0.88%,2.38%,1.57%,$-0.97
jaren jackson jr.,C/PF/F/UTIL,MEM,23.28%,0.01%,0.86%,12.84%,7.92%,$-1.0
cameron johnson,PF/F/UTIL,BKN,22.67%,0.01%,0.86%,6.57%,5.18%,$-1.01
