PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Jalen Brunson (37338088),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Precious Achiuwa (37338518),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Jayson Tatum (37338023),Victor Wembanyama (37338018),305.75,342.215453514251,49600,100.00%,49766,27121.78%,14285,191.95999999999998,$2169.74,NYK 2,SAS 2,opp,1,giantsquid,1768,4610921545
Jalen Brunson (37338088),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424),Keaton Wallace (37338930),Brice Sensabaugh (37338383),Alperen Sengun (37338065),305.22999999999996,345.600481790536,49200,100.00%,49684,20093.7%,7911,207.6,$1607.5,ATL 2,NYK 1,opp,1,mikewein,3907,4611323950
Jalen Brunson (37338088),Stephon Castle (37338477),Josh Hart (37338127),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424),Devin Vassell (37338234),Quentin Grimes (37338318),Keaton Wallace (37338930),304.95,342.9662097006001,50000,100.00%,49484,18070.98%,7069,162.51,$1445.68,NYK 2,SAS 2,opp,1,surajdave,3400,4611228159
Jalen Brunson (37338088),Mikal Bridges (37338239),Devin Vassell (37338234),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Quentin Grimes (37338318),Nikola Jokic (37338012),303.99,339.60538431633165,49700,100.00%,48653,12469.73%,4604,145.62,$997.58,NYK 2,SAS 1,user33,1,marvalshot,4688,4611344384_33
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Devin Vassell (37338234),Josh Hart (37338127),Victor Wembanyama (37338018),Keaton Wallace (37338930),Jeremiah Robinson-Earl (37338708),Mark Williams (37338232),303.93,339.8261543901293,50000,100.00%,48023,11600.76%,3916,173.2,$928.06,NYK 2,ATL 2,opp,1,cheddabisque,1079,4610880265
Jalen Brunson (37338088),Mikal Bridges (37338239),Jayson Tatum (37338023),Brice Sensabaugh (37338383),Alperen Sengun (37338065),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Stephon Castle (37338477),304.15999999999997,338.9795591586108,49500,100.00%,49342,10727.84%,2318,177.73,$858.23,NYK 2,ATL 2,user19,1,marvalshot,4674,4611344384_19
Jalen Brunson (37338088),Stephon Castle (37338477),OG Anunoby (37338270),Julius Randle (37338149),Alperen Sengun (37338065),Keyonte George (37338282),Devin Vassell (37338234),Daniel Gafford (37338424),303.53,339.636567269681,49900,100.00%,46640,10392.99%,3764,149.68,$831.44,NYK 2,SAS 2,opp,1,fivehorizons,3612,4611288246
Jalen Brunson (37338088),Devin Vassell (37338234),Jaylen Brown (37338091),Giannis Antetokounmpo (37338014),Onyeka Okongwu (37338359),Keaton Wallace (37338930),Jeremiah Robinson-Earl (37338708),Wendell Carter Jr. (37338391),302.46000000000004,340.04506485294394,49700,100.00%,43635,5123.27%,1149,140.62,$409.86,ATL 2,NYK 1,user1,1,marvalshot,4607,4611344383_1
Jalen Brunson (37338088),Stephon Castle (37338477),Jayson Tatum (37338023),Jeremiah Robinson-Earl (37338708),Victor Wembanyama (37338018),Quentin Grimes (37338318),Bogdan Bogdanovic (37338369),Keaton Wallace (37338930),302.96,339.2741694108512,49400,100.00%,46546,4939.5%,453,178.60999999999999,$395.16,SAS 2,ATL 2,opp,1,Miklop,629,4610720569
Jalen Brunson (37338088),Stephon Castle (37338477),OG Anunoby (37338270),Josh Hart (37338127),Jonathan Isaac (37338510),Keaton Wallace (37338930),Andrew Wiggins (37338228),Victor Wembanyama (37338018),301.65000000000003,335.77622745045227,49800,100.00%,39367,2930.5%,397,145.64999999999998,$234.44,NYK 3,SAS 2,opp,1,abreza,3820,4611315270
