Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
keaton wallace,PG/G/UTIL,ATL,33.21%,0.01%,1.83%,16.87%,31.45%,$1.64
daniel gafford,C/UTIL,DAL,31.02%,0.01%,1.71%,10.5%,35.07%,$1.26
buddy hield,SF/SG/G/F/UTIL,GSW,28.59%,0.01%,1.41%,0.19%,0.16%,$0.81
jalen brunson,PG/G/UTIL,NYK,30.3%,0.01%,1.4%,21.94%,20.77%,$0.45
wendell carter jr.,C/UTIL,ORL,29.4%,0.01%,1.37%,8.04%,25.03%,$0.43
alperen sengun,C/UTIL,HOU,27.82%,0.01%,1.35%,9.01%,13.0%,$0.3
kristaps porzingis,C/UTIL,BOS,26.04%,0.01%,1.25%,3.1%,5.94%,$0.21
onyeka okongwu,C/UTIL,ATL,27.24%,0.01%,1.27%,6.48%,19.08%,$0.18
paul george,SF/SG/G/F/UTIL,PHI,27.67%,0.01%,1.26%,7.81%,3.66%,$0.13
victor wembanyama,C/UTIL,SAS,28.34%,0.01%,1.2%,18.72%,18.73%,$-0.1
keyonte george,PG/G/UTIL,UTA,26.52%,0.01%,1.19%,8.99%,11.08%,$-0.11
julius randle,C/PF/F/UTIL,MIN,26.99%,0.01%,1.17%,7.91%,5.02%,$-0.12
stephon castle,PG/SG/G/UTIL,SAS,28.0%,0.01%,1.18%,34.79%,38.25%,$-0.16
tyrese maxey,PG/G/UTIL,PHI,26.47%,0.01%,1.13%,5.0%,3.35%,$-0.19
jonathan isaac,C/PF/F/UTIL,ORL,26.21%,0.01%,1.15%,11.36%,11.68%,$-0.2
quentin grimes,SF/SG/G/F/UTIL,DAL,26.62%,0.01%,1.15%,11.76%,7.93%,$-0.21
brice sensabaugh,PF/SF/F/UTIL,UTA,27.08%,0.01%,1.14%,25.97%,22.75%,$-0.26
dejounte murray,PG/G/UTIL,NOP,25.21%,0.01%,1.1%,4.42%,3.96%,$-0.28
anthony edwards,SG/G/UTIL,MIN,25.56%,0.01%,1.1%,4.84%,3.81%,$-0.35
david roddy,PF/F/UTIL,ATL,26.27%,0.01%,1.1%,10.06%,14.54%,$-0.36
