Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4612697323,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Keyonte George (37357010),Cole Anthony (37356988),OG Anunoby (37357021),PJ Washington (37356967),Mark Williams (37356970),Jalen Brunson (37356866),Precious Achiuwa (37357118),Brice Sensabaugh (37357075)
4612697324,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Jalen Brunson (37356866),Svi Mykhailiuk (37357194),Nickeil Alexander-Walker (37357290),Brice Sensabaugh (37357075),Wendell Carter Jr. (37357109),Quentin Grimes (37357081),Zach LaVine (37356872),Giannis Antetokounmpo (37356828)
4612697325,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Russell Westbrook (37356945),Svi Mykhailiuk (37357194),Quentin Grimes (37357081),Miles Bridges (37356938),Drew Eubanks (37357151),LaMelo Ball (37356835),Scottie Barnes (37356861),Duncan Robinson (37357237)
4612697326,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Josh Giddey (37356948),Svi Mykhailiuk (37357194),RJ Barrett (37356914),Naz Reid (37357059),Wendell Carter Jr. (37357109),Scottie Barnes (37356861),Zion Williamson (37356877),Jaylin Williams (37357201)
4612697327,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Jalen Brunson (37356866),Mikal Bridges (37357013),Nickeil Alexander-Walker (37357290),Josh Green (37357240),Wendell Carter Jr. (37357109),Shai Gilgeous-Alexander (37356838),Miles Bridges (37356938),Mark Williams (37356970)
4612697328,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Jose Alvarado (37357287),Nickeil Alexander-Walker (37357290),Mikal Bridges (37357013),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109),Jalen Brunson (37356866),Aaron Wiggins (37357105),Scottie Barnes (37356861)
4612697329,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Mike Conley (37357230),Bruce Brown (37357299),Jayson Tatum (37356843),Nikola Jovic (37357042),Daniel Gafford (37357030),Nick Smith Jr. (37357643),Scottie Barnes (37356861),Shai Gilgeous-Alexander (37356838)
4612697330,NBA $30K Sharpshooter [$5K to 1st],173228285,$3,Jalen Brunson (37356866),Duncan Robinson (37357237),Josh Hart (37356907),Kyle Filipowski (37357140),Wendell Carter Jr. (37357109),Mike Conley (37357230),Mikal Bridges (37357013),Giannis Antetokounmpo (37356828)
