PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Jalen Brunson (37787234),Gradey Dick (37787706),Ochai Agbaji (37787812),Josh Hart (37787277),Day'Ron Sharpe (37787668),Keyonte George (37787343),Jayson Tatum (37787217),Zach Collins (37787646),302.06999999999994,290.49999999999994,392.21,49700,0.17%,9.31%,705.9%,64.61%,161.86,$21.2,NYK 2,TOR 2,generated,1
Jalen Brunson (37787234),Gradey Dick (37787706),Deni Avdija (37787375),Ochai Agbaji (37787812),Day'Ron Sharpe (37787668),Keyonte George (37787343),RJ Barrett (37787310),Alperen Sengun (37787254),298.88,295.49,396.49,49800,0.19%,8.58%,681.5%,59.99%,163.01,$20.4,TOR 3,NYK 1,generated,1
Immanuel Quickley (37787336),Malik Monk (37787292),Kyle Anderson (37787844),Josh Hart (37787277),Day'Ron Sharpe (37787668),Keyonte George (37787343),Zaccharie Risacher (37787637),Alperen Sengun (37787254),297.43,292.05,390.62,49900,0.19%,7.94%,638.8%,58.34%,140.75,$19.2,TOR 1,SAC 1,generated,1
Tyler Herro (37787251),Gradey Dick (37787706),Josh Hart (37787277),Pascal Siakam (37787289),Andre Drummond (37787733),Isaiah Collier (37787395),Kawhi Leonard (37787323),Day'Ron Sharpe (37787668),295.7,288.03,389.5,49900,0.17%,7.08%,612.1%,55.99%,142.59,$18.4,MIA 1,TOR 1,generated,1
Trae Young (37787228),Aaron Nesmith (37787756),RJ Barrett (37787310),Georges Niang (37787658),Day'Ron Sharpe (37787668),Josh Giddey (37787286),Matas Buzelis (37787575),Alperen Sengun (37787254),296.06,288.5,391.51,50000,0.17%,7.38%,573.2%,56.46%,128.64,$17.2,ATL 2,CHI 2,generated,1
Jordan Poole (37787307),Tyrese Martin (37787871),Deni Avdija (37787375),Kyle Anderson (37787844),Zach Collins (37787646),Trae Young (37787228),Kawhi Leonard (37787323),Alperen Sengun (37787254),292.16,287.14,390.48,50000,0.15%,6.72%,534.2%,51.8%,127.67999999999998,$16.0,WAS 1,BKN 1,generated,1
Trae Young (37787228),Keon Johnson (37787491),Deni Avdija (37787375),Ausar Thompson (37787495),Day'Ron Sharpe (37787668),Keyonte George (37787343),Matas Buzelis (37787575),Ivica Zubac (37787301),288.16,277.75,385.30000000000007,49800,0.15%,6.03%,521.0%,46.76%,97.36999999999999,$15.6,BKN 2,ATL 1,generated,1
Jalen Brunson (37787234),Gradey Dick (37787706),Zaccharie Risacher (37787637),Josh Hart (37787277),Kel'el Ware (37787419),Keyonte George (37787343),Kawhi Leonard (37787323),Day'Ron Sharpe (37787668),299.04,291.39000000000004,390.33000000000004,49700,0.11%,7.2%,475.2%,61.04%,156.59,$14.3,NYK 2,TOR 1,generated,1
Anfernee Simons (37787360),Davion Mitchell (37787719),Josh Hart (37787277),Kawhi Leonard (37787323),Day'Ron Sharpe (37787668),Josh Giddey (37787286),Kyle Anderson (37787844),Alperen Sengun (37787254),299.18,292.91,392.40999999999997,49600,0.1%,7.69%,470.4%,61.0%,159.75,$14.1,MIA 2,POR 1,generated,1
Jalen Brunson (37787234),Gradey Dick (37787706),Deni Avdija (37787375),Josh Hart (37787277),Day'Ron Sharpe (37787668),Kevin Huerter (37787632),Khris Middleton (37787470),Alperen Sengun (37787254),296.44,294.56,390.41999999999996,50000,0.1%,6.8%,443.7%,57.14%,160.89999999999998,$13.3,NYK 2,TOR 1,generated,1
Jalen Brunson (37787234),Jrue Holiday (37787595),Josh Hart (37787277),Pascal Siakam (37787289),Andre Drummond (37787733),Keyonte George (37787343),Matas Buzelis (37787575),Zach Collins (37787646),293.26,277.84,382.48,49300,0.13%,5.82%,434.6%,52.7%,109.45,$13.0,NYK 2,CHI 2,generated,1
Josh Giddey (37787286),Gradey Dick (37787706),Josh Hart (37787277),Kyle Anderson (37787844),Zach Collins (37787646),Malik Monk (37787292),Andrew Wiggins (37787364),Alperen Sengun (37787254),299.1,295.83,386.14,50000,0.08%,7.23%,427.0%,61.74%,167.37,$12.8,CHI 2,MIA 2,generated,1
Payton Pritchard (37787477),Gradey Dick (37787706),RJ Barrett (37787310),Josh Hart (37787277),Day'Ron Sharpe (37787668),Shaedon Sharpe (37787584),Pascal Siakam (37787289),Alperen Sengun (37787254),294.82,290.4,388.68000000000006,49700,0.1%,6.34%,422.0%,54.74%,151.85000000000002,$12.7,TOR 2,BOS 1,generated,1
Trae Young (37787228),RJ Barrett (37787310),Kelly Oubre Jr. (37787433),Josh Hart (37787277),Day'Ron Sharpe (37787668),Malik Monk (37787292),Kyle Anderson (37787844),Zach Collins (37787646),298.29999999999995,288.99,387.39,50000,0.08%,6.86%,420.7%,60.37%,147.51999999999998,$12.6,ATL 1,TOR 1,generated,1
Tyrese Haliburton (37787264),Gradey Dick (37787706),RJ Barrett (37787310),Matas Buzelis (37787575),Day'Ron Sharpe (37787668),Toumani Camara (37787452),Kawhi Leonard (37787323),Alperen Sengun (37787254),296.06,293.69,388.4100000000001,49900,0.1%,6.31%,412.1%,56.48%,154.41,$12.4,TOR 2,IND 1,generated,1
Jalen Brunson (37787234),Lonzo Ball (37787607),Kawhi Leonard (37787323),Pascal Siakam (37787289),Day'Ron Sharpe (37787668),Jordan Poole (37787307),Kyle Anderson (37787844),Onyeka Okongwu (37787442),292.15000000000003,288.07,389.59,49100,0.1%,5.73%,408.3%,51.55%,143.04,$12.2,NYK 1,CHI 1,generated,1
Josh Giddey (37787286),Malik Monk (37787292),Josh Hart (37787277),OG Anunoby (37787438),Day'Ron Sharpe (37787668),Keyonte George (37787343),Ausar Thompson (37787495),Zach Collins (37787646),295.20000000000005,285.9,384.09000000000003,49800,0.1%,6.13%,400.1%,55.84%,129.67000000000002,$12.0,CHI 2,NYK 2,generated,1
Trae Young (37787228),Gradey Dick (37787706),Josh Hart (37787277),Tosan Evbuomwan (37787998),Day'Ron Sharpe (37787668),Malik Monk (37787292),Matas Buzelis (37787575),Alperen Sengun (37787254),296.76,290.91,385.51,49300,0.1%,6.54%,399.5%,57.78%,156.8,$12.0,BKN 2,ATL 1,generated,1
Tyrese Haliburton (37787264),Anfernee Simons (37787360),Zaccharie Risacher (37787637),OG Anunoby (37787438),Day'Ron Sharpe (37787668),Keyonte George (37787343),Matas Buzelis (37787575),Alperen Sengun (37787254),289.6,284.15999999999997,380.86,49700,0.11%,5.39%,397.4%,48.35%,109.81,$11.9,IND 1,POR 1,generated,1
Josh Giddey (37787286),Zach LaVine (37787281),Kyle Anderson (37787844),Pascal Siakam (37787289),Day'Ron Sharpe (37787668),Keyonte George (37787343),Kawhi Leonard (37787323),Matas Buzelis (37787575),292.69,284.88999999999993,387.36000000000007,49600,0.08%,5.92%,389.5%,52.32%,121.52000000000001,$11.7,CHI 2,SAC 1,generated,1
Cade Cunningham (37787212),Aaron Nesmith (37787756),Kyle Anderson (37787844),Josh Hart (37787277),Zach Collins (37787646),Keyonte George (37787343),Kevin Huerter (37787632),Alperen Sengun (37787254),290.43,281.46,382.80000000000007,49900,0.11%,5.33%,387.1%,49.27%,119.45000000000002,$11.6,CHI 2,DET 1,generated,1
Jalen Brunson (37787234),Gradey Dick (37787706),Ochai Agbaji (37787812),Josh Hart (37787277),Day'Ron Sharpe (37787668),Josh Giddey (37787286),Kawhi Leonard (37787323),Andrew Wiggins (37787364),304.24,297.12,391.46000000000004,50000,0.04%,8.2%,382.0%,69.04%,180.33,$11.5,NYK 2,TOR 2,generated,1
Jordan Poole (37787307),Aaron Nesmith (37787756),Josh Hart (37787277),Kyle Anderson (37787844),Ivica Zubac (37787301),Isaiah Collier (37787395),Matas Buzelis (37787575),Alperen Sengun (37787254),291.03000000000003,281.85999999999996,381.84000000000003,49500,0.09%,5.77%,381.6%,50.1%,117.47,$11.4,WAS 1,IND 1,generated,1
Josh Giddey (37787286),Shaedon Sharpe (37787584),RJ Barrett (37787310),Josh Hart (37787277),Myles Turner (37787417),Lonzo Ball (37787607),Kawhi Leonard (37787323),Day'Ron Sharpe (37787668),297.73,290.43,391.14,49900,0.09%,6.53%,365.6%,59.61%,146.0,$11.0,CHI 2,POR 1,generated,2
Jordan Poole (37787307),Payton Pritchard (37787477),Josh Hart (37787277),Kawhi Leonard (37787323),Day'Ron Sharpe (37787668),Toumani Camara (37787452),Matas Buzelis (37787575),Ivica Zubac (37787301),294.94,286.39,383.75,49900,0.09%,5.59%,363.0%,55.36%,129.49,$10.9,LAC 2,WAS 1,generated,1
Malik Monk (37787292),Coby White (37787350),RJ Barrett (37787310),Kyle Anderson (37787844),Day'Ron Sharpe (37787668),Keyonte George (37787343),Matas Buzelis (37787575),Alperen Sengun (37787254),291.62,288.37,386.90999999999997,49400,0.09%,5.56%,354.8%,51.08%,135.39,$10.6,CHI 2,SAC 1,generated,1
Anfernee Simons (37787360),RJ Barrett (37787310),Kawhi Leonard (37787323),Ochai Agbaji (37787812),Day'Ron Sharpe (37787668),Trae Young (37787228),Pascal Siakam (37787289),Gradey Dick (37787706),293.84,288.17,386.25000000000006,49900,0.09%,5.43%,354.1%,53.79%,142.36,$10.6,TOR 3,POR 1,generated,1
Jalen Brunson (37787234),Lonzo Ball (37787607),Josh Hart (37787277),Kyle Anderson (37787844),Myles Turner (37787417),Jordan Poole (37787307),Tosan Evbuomwan (37787998),Alperen Sengun (37787254),294.51,288.94,384.55000000000007,49800,0.08%,5.69%,352.1%,55.26%,136.17000000000002,$10.6,NYK 2,CHI 1,generated,1
Immanuel Quickley (37787336),Gradey Dick (37787706),Josh Hart (37787277),Deni Avdija (37787375),Day'Ron Sharpe (37787668),Josh Giddey (37787286),Tosan Evbuomwan (37787998),Trae Young (37787228),293.83,286.06,383.29,49700,0.08%,5.72%,351.6%,54.0%,136.36,$10.5,TOR 2,BKN 2,generated,1
Jalen Brunson (37787234),RJ Barrett (37787310),OG Anunoby (37787438),Kyle Anderson (37787844),Day'Ron Sharpe (37787668),Keyonte George (37787343),Kelly Oubre Jr. (37787433),Ivica Zubac (37787301),294.6,288.68,386.41,49900,0.08%,5.68%,349.6%,54.69%,142.36,$10.5,NYK 2,TOR 1,generated,1
Trae Young (37787228),RJ Barrett (37787310),Josh Hart (37787277),Tosan Evbuomwan (37787998),Zach Collins (37787646),Lonzo Ball (37787607),Matas Buzelis (37787575),Alperen Sengun (37787254),294.73,288.99,384.62,50000,0.09%,5.61%,347.4%,55.31%,141.99,$10.4,CHI 3,ATL 1,generated,1
Jordan Poole (37787307),RJ Barrett (37787310),Josh Hart (37787277),Kyle Anderson (37787844),Day'Ron Sharpe (37787668),Zach LaVine (37787281),Kawhi Leonard (37787323),Zach Collins (37787646),296.07000000000005,291.07,388.87000000000006,49500,0.07%,5.77%,343.8%,57.38%,158.55,$10.3,WAS 1,TOR 1,generated,1
Payton Pritchard (37787477),Aaron Nesmith (37787756),Josh Hart (37787277),Kawhi Leonard (37787323),Day'Ron Sharpe (37787668),Tyrese Haliburton (37787264),Kevin Huerter (37787632),Alperen Sengun (37787254),294.10999999999996,286.2,386.4,49700,0.09%,5.49%,342.6%,54.01%,133.43,$10.3,IND 2,BOS 1,generated,1
