Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
keaton wallace,PG/G/UTIL,ATL,32.33%,0.05%,1.85%,17.09%,31.45%,$3.41
daniel gafford,C/UTIL,DAL,30.25%,0.05%,1.74%,10.34%,35.07%,$2.7
jalen brunson,PG/G/UTIL,NYK,30.0%,0.03%,1.47%,21.04%,20.77%,$1.24
paul george,SF/SG/G/F/UTIL,PHI,27.43%,0.04%,1.39%,7.57%,3.66%,$0.97
alperen sengun,C/UTIL,HOU,27.34%,0.04%,1.41%,9.2%,13.0%,$0.95
wendell carter jr.,C/UTIL,ORL,29.0%,0.03%,1.36%,8.18%,25.03%,$0.72
onyeka okongwu,C/UTIL,ATL,25.98%,0.04%,1.28%,6.26%,19.08%,$0.45
tyrese maxey,PG/G/UTIL,PHI,27.41%,0.03%,1.25%,4.62%,3.35%,$0.17
kristaps porzingis,C/UTIL,BOS,24.81%,0.03%,1.2%,3.17%,5.94%,$0.02
keyonte george,PG/G/UTIL,UTA,25.96%,0.03%,1.2%,8.95%,11.08%,$-0.14
stephon castle,PG/SG/G/UTIL,SAS,27.41%,0.03%,1.2%,34.55%,38.25%,$-0.23
jeremiah robinson-earl,C/PF/F/UTIL,NOP,26.57%,0.03%,1.2%,16.23%,18.26%,$-0.23
jonathan isaac,C/PF/F/UTIL,ORL,25.96%,0.03%,1.18%,11.65%,11.68%,$-0.29
victor wembanyama,C/UTIL,SAS,27.21%,0.03%,1.19%,18.57%,18.73%,$-0.29
dejounte murray,PG/G/UTIL,NOP,25.27%,0.03%,1.16%,4.6%,3.96%,$-0.29
julius randle,C/PF/F/UTIL,MIN,25.18%,0.03%,1.13%,7.78%,5.02%,$-0.49
brice sensabaugh,PF/SF/F/UTIL,UTA,26.24%,0.03%,1.15%,25.84%,22.75%,$-0.53
jaylen brown,SF/SG/G/F/UTIL,BOS,24.89%,0.03%,1.11%,5.35%,2.8%,$-0.61
devin vassell,SF/SG/G/F/UTIL,SAS,26.03%,0.02%,1.11%,18.48%,11.71%,$-0.65
rj barrett,SF/F/UTIL,TOR,24.75%,0.03%,1.1%,4.38%,3.46%,$-0.68
mikal bridges,SF/SG/G/F/UTIL,NYK,26.92%,0.02%,1.11%,13.35%,8.29%,$-0.71
russell westbrook,PG/G/UTIL,DEN,24.74%,0.03%,1.08%,5.4%,5.41%,$-0.74
ja morant,PG/G/UTIL,MEM,23.29%,0.03%,1.09%,4.92%,4.97%,$-0.74
quentin grimes,SF/SG/G/F/UTIL,DAL,24.92%,0.03%,1.07%,12.63%,7.93%,$-0.87
anthony edwards,SG/G/UTIL,MIN,24.16%,0.03%,1.07%,5.42%,3.81%,$-0.88
pj washington,PF/F/UTIL,DAL,25.23%,0.02%,1.07%,1.97%,1.49%,$-0.89
jalen green,SG/G/UTIL,HOU,24.88%,0.03%,1.05%,4.08%,4.44%,$-0.91
david roddy,PF/F/UTIL,ATL,24.99%,0.02%,1.07%,10.16%,14.54%,$-0.93
mark williams,C/UTIL,CHA,24.94%,0.02%,1.06%,13.69%,31.68%,$-0.97
peyton watson,PF/F/UTIL,DEN,26.19%,0.02%,1.07%,0.25%,0.58%,$-0.97
cam whitmore,PF/SF/F/UTIL,HOU,24.48%,0.02%,1.05%,7.35%,6.92%,$-0.99
cole anthony,PG/SG/G/UTIL,ORL,23.74%,0.03%,1.04%,6.98%,5.69%,$-1.07
