Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jonas valanciunas,C/UTIL,WAS,26.68%,0.02%,1.67%,3.26%,7.57%,$1.73
wendell carter jr.,C/UTIL,ORL,29.96%,0.01%,1.56%,7.41%,14.96%,$1.04
anthony black,PG/G/UTIL,ORL,30.91%,0.01%,1.49%,17.58%,20.55%,$0.71
bam adebayo,C/UTIL,MIA,25.93%,0.01%,1.32%,4.83%,7.79%,$0.39
trevelin queen,PG/SG/G/UTIL,ORL,29.84%,0.01%,1.29%,31.44%,26.69%,$0.15
kentavious caldwell-pope,SG/G/UTIL,ORL,29.25%,0.01%,1.25%,17.05%,20.68%,$0.07
nikola jokic,C/UTIL,DEN,30.31%,0.01%,1.21%,27.73%,55.47%,$-0.01
jakob poeltl,C/UTIL,TOR,26.81%,0.01%,1.19%,8.36%,16.34%,$-0.06
paolo banchero,PF/F/UTIL,ORL,28.17%,0.01%,1.23%,23.6%,26.65%,$-0.07
kel'el ware,C/PF/F/UTIL,MIA,29.67%,0.01%,1.19%,51.89%,59.4%,$-0.09
chris boucher,PF/F/UTIL,TOR,26.42%,0.01%,1.15%,9.49%,12.35%,$-0.2
duncan robinson,SG/G/UTIL,MIA,27.29%,0.01%,1.15%,10.06%,12.35%,$-0.21
jalen brunson,PG/G/UTIL,NYK,26.6%,0.01%,1.12%,14.53%,13.87%,$-0.31
tristan da silva,PF/SF/F/UTIL,ORL,27.38%,0.01%,1.12%,12.48%,9.08%,$-0.32
d'angelo russell,PG/SG/G/UTIL,BKN,25.93%,0.01%,1.09%,12.77%,9.07%,$-0.37
kyle kuzma,PF/F/UTIL,WAS,25.51%,0.01%,1.05%,4.68%,5.3%,$-0.38
nikola jovic,C/PF/F/UTIL,MIA,25.82%,0.01%,1.06%,10.34%,9.2%,$-0.45
jimmy butler,SF/F/UTIL,MIA,24.89%,0.01%,1.04%,6.59%,5.43%,$-0.46
robert williams,C/PF/F/UTIL,POR,26.32%,0.01%,1.06%,18.28%,16.94%,$-0.47
anthony davis,C/UTIL,LAL,27.1%,0.01%,1.06%,25.88%,49.39%,$-0.48
lebron james,PF/F/UTIL,LAL,26.12%,0.01%,1.06%,21.8%,28.15%,$-0.52
terry rozier,PG/SG/G/UTIL,MIA,27.38%,0.01%,1.03%,48.98%,45.81%,$-0.56
rj barrett,SF/F/UTIL,TOR,25.34%,0.01%,1.02%,13.48%,11.73%,$-0.58
corey kispert,SF/SG/G/F/UTIL,WAS,26.22%,0.01%,1.01%,16.07%,9.43%,$-0.62
russell westbrook,PG/G/UTIL,DEN,24.39%,0.01%,0.96%,12.97%,13.25%,$-0.73
day'ron sharpe,C/UTIL,BKN,21.71%,0.01%,0.84%,0.18%,0.48%,$-0.75
scottie barnes,PG/SF/G/F/UTIL,TOR,25.93%,0.0%,0.94%,28.33%,14.89%,$-0.79
jordan poole,PG/SG/G/UTIL,WAS,24.15%,0.01%,0.92%,11.14%,7.49%,$-0.82
paul george,SF/SG/G/F/UTIL,PHI,25.53%,0.0%,0.92%,25.41%,13.73%,$-0.86
deni avdija,PF/SF/F/UTIL,POR,25.47%,0.0%,0.92%,19.65%,13.13%,$-0.87
gradey dick,SG/G/UTIL,TOR,25.59%,0.0%,0.92%,16.55%,19.24%,$-0.87
jamal murray,PG/SG/G/UTIL,DEN,24.53%,0.01%,0.91%,14.48%,9.99%,$-0.87
alexandre sarr,C/PF/F/UTIL,WAS,24.12%,0.01%,0.91%,10.59%,9.0%,$-0.87
kyshawn george,PF/SF/F/UTIL,WAS,25.17%,0.0%,0.92%,7.62%,5.85%,$-0.87
mikal bridges,SF/SG/G/F/UTIL,NYK,25.84%,0.0%,0.89%,14.85%,7.61%,$-0.94
karl-anthony towns,C/UTIL,NYK,23.17%,0.01%,0.89%,15.83%,28.61%,$-0.97
max christie,SF/SG/G/F/UTIL,LAL,25.43%,0.0%,0.89%,11.74%,6.62%,$-0.98
michael porter jr.,PF/SF/F/UTIL,DEN,24.51%,0.0%,0.86%,16.46%,11.36%,$-1.02
jaime jaquez jr.,PF/SF/F/UTIL,MIA,24.17%,0.0%,0.85%,16.76%,11.99%,$-1.06
tyrese maxey,PG/G/UTIL,PHI,23.11%,0.0%,0.82%,10.27%,11.35%,$-1.1
carlton carrington,PG/SG/G/UTIL,WAS,24.86%,0.0%,0.84%,10.63%,8.29%,$-1.11
austin reaves,PG/G/UTIL,LAL,23.43%,0.0%,0.81%,7.32%,7.05%,$-1.11
deandre ayton,C/UTIL,POR,21.57%,0.01%,0.78%,1.36%,2.9%,$-1.13
jonathan isaac,C/PF/F/UTIL,ORL,21.27%,0.01%,0.77%,2.08%,1.93%,$-1.19
kelly oubre jr.,SG/G/UTIL,PHI,24.38%,0.0%,0.8%,6.58%,6.5%,$-1.2
kelly olynyk,C/UTIL,TOR,22.41%,0.0%,0.78%,2.7%,5.73%,$-1.2
bilal coulibaly,SF/F/UTIL,WAS,24.04%,0.0%,0.79%,5.42%,4.96%,$-1.21
christian braun,SF/SG/G/F/UTIL,DEN,23.93%,0.0%,0.79%,8.53%,4.58%,$-1.22
nic claxton,C/UTIL,BKN,20.8%,0.01%,0.71%,1.25%,2.26%,$-1.32
josh hart,PF/SF/F/UTIL,NYK,23.54%,0.0%,0.74%,14.85%,9.71%,$-1.35
alec burks,PG/SG/G/UTIL,MIA,22.79%,0.0%,0.72%,1.04%,0.79%,$-1.38
julian strawther,SF/SG/G/F/UTIL,DEN,22.28%,0.0%,0.72%,3.27%,1.96%,$-1.41
guerschon yabusele,C/PF/F/UTIL,PHI,23.36%,0.0%,0.72%,9.58%,8.34%,$-1.41
bruce brown,SF/SG/G/F/UTIL,TOR,21.84%,0.0%,0.72%,0.89%,0.47%,$-1.42
og anunoby,PF/SF/F/UTIL,NYK,23.36%,0.0%,0.71%,10.19%,6.9%,$-1.45
aaron gordon,PF/F/UTIL,DEN,21.34%,0.0%,0.67%,1.16%,1.42%,$-1.51
dalano banton,PG/SG/G/UTIL,POR,21.6%,0.0%,0.69%,8.63%,6.38%,$-1.53
cameron johnson,PF/SF/F/UTIL,BKN,20.69%,0.0%,0.66%,3.3%,1.93%,$-1.56
dorian finney-smith,C/PF/F/UTIL,LAL,22.3%,0.0%,0.67%,5.33%,4.98%,$-1.57
davion mitchell,PG/SG/G/UTIL,TOR,22.82%,0.0%,0.68%,5.71%,4.64%,$-1.57
jamal shead,PG/G/UTIL,TOR,21.83%,0.0%,0.65%,0.53%,0.46%,$-1.58
anfernee simons,PG/SG/G/UTIL,POR,21.61%,0.0%,0.65%,6.46%,4.29%,$-1.59
jerami grant,PF/F/UTIL,POR,22.03%,0.0%,0.64%,2.56%,3.06%,$-1.61
cory joseph,PG/G/UTIL,ORL,22.8%,0.0%,0.64%,0.37%,0.39%,$-1.66
rui hachimura,PF/SF/F/UTIL,LAL,21.96%,0.0%,0.64%,3.04%,2.11%,$-1.67
keon johnson,PG/SG/G/UTIL,BKN,20.32%,0.0%,0.6%,1.58%,1.14%,$-1.7
caleb houstan,PF/SF/F/UTIL,ORL,22.01%,0.0%,0.64%,0.15%,0.1%,$-1.71
jalen wilson,SF/F/UTIL,BKN,21.72%,0.0%,0.65%,0.13%,0.1%,$-1.72
shaedon sharpe,PG/SG/G/UTIL,POR,20.56%,0.0%,0.59%,5.63%,3.85%,$-1.75
peyton watson,PF/F/UTIL,DEN,21.15%,0.0%,0.61%,1.01%,1.47%,$-1.75
miles mcbride,PG/SG/G/UTIL,NYK,20.13%,0.0%,0.55%,1.12%,0.74%,$-1.89
deandre jordan,C/UTIL,DEN,21.64%,0.0%,0.52%,0.06%,0.1%,$-1.96
tyrese martin,SF/SG/G/F/UTIL,BKN,18.96%,0.0%,0.53%,0.79%,0.42%,$-1.97
scoot henderson,PG/G/UTIL,POR,19.36%,0.0%,0.5%,5.15%,4.73%,$-2.02
ricky council iv,PF/SF/F/UTIL,PHI,19.43%,0.0%,0.5%,2.21%,1.51%,$-2.05
noah clowney,C/PF/F/UTIL,BKN,19.65%,0.0%,0.48%,2.99%,2.45%,$-2.09
eric gordon,SG/G/UTIL,PHI,10.89%,0.0%,0.29%,0.01%,0.01%,$-2.19
jaxson hayes,C/UTIL,LAL,19.8%,0.0%,0.49%,0.03%,0.1%,$-2.27
tosan evbuomwan,PF/SF/F/UTIL,BKN,17.6%,0.0%,0.41%,0.14%,0.1%,$-2.32
justin edwards,PF/SF/F/UTIL,PHI,18.59%,0.0%,0.39%,0.34%,0.24%,$-2.36
jeff dowtin,PG/G/UTIL,PHI,17.98%,0.0%,0.32%,0.1%,0.1%,$-2.54
haywood highsmith,PF/SF/F/UTIL,MIA,16.63%,0.0%,0.3%,0.16%,0.1%,$-2.57
dalton knecht,SF/SG/G/F/UTIL,LAL,17.47%,0.0%,0.31%,0.21%,0.1%,$-2.59
cameron payne,PG/SG/G/UTIL,NYK,16.54%,0.0%,0.3%,0.13%,0.1%,$-2.62
reece beekman,PG/G/UTIL,BKN,16.56%,0.0%,0.23%,0.08%,0.1%,$-2.69
gabe vincent,PG/SG/G/UTIL,LAL,16.46%,0.0%,0.25%,0.12%,0.1%,$-2.71
jabari walker,C/UTIL,POR,14.79%,0.0%,0.27%,0.04%,0.1%,$-2.72
justin champagnie,PF/SF/F/UTIL,WAS,15.26%,0.0%,0.22%,0.11%,0.1%,$-2.79
andre drummond,C/UTIL,PHI,15.67%,0.0%,0.26%,0.02%,0.1%,$-2.84
jared butler,PG/G/UTIL,WAS,14.98%,0.0%,0.17%,0.07%,0.1%,$-2.92
jamison battle,SF/F/UTIL,TOR,11.92%,0.0%,0.22%,0.08%,0.1%,$-2.93
patrick baldwin jr.,PF/F/UTIL,WAS,14.56%,0.0%,0.24%,0.02%,0.03%,$-2.97
landry shamet,SF/SG/G/F/UTIL,NYK,12.95%,0.0%,0.18%,0.12%,0.1%,$-2.98
precious achiuwa,C/PF/F/UTIL,NYK,11.96%,0.0%,0.15%,0.1%,0.1%,$-3.03
bryce mcgowens,SG/G/UTIL,POR,12.51%,0.0%,0.15%,0.1%,0.1%,$-3.05
de'anthony melton,PG/G/UTIL,BKN,14.94%,0.0%,0.11%,0.02%,0.03%,$-3.08
jonathan mogbo,C/PF/F/UTIL,TOR,10.92%,0.0%,0.11%,0.02%,0.03%,$-3.09
