Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jabari walker,C/UTIL,POR,30.16%,0.02%,1.47%,0.07%,0.1%,$0.87
jonas valanciunas,C/UTIL,WAS,26.18%,0.01%,1.35%,2.72%,6.23%,$0.64
daniel gafford,C/UTIL,DAL,27.87%,0.01%,1.33%,4.66%,9.59%,$0.41
nikola jokic,C/UTIL,DEN,28.11%,0.01%,1.42%,9.83%,22.52%,$0.29
shai gilgeous-alexander,PG/G/UTIL,OKC,30.73%,0.01%,1.34%,20.36%,24.82%,$0.26
kevin porter jr.,PG/G/UTIL,LAC,26.1%,0.01%,1.21%,2.56%,2.78%,$0.13
brandin podziemski,PG/SG/G/UTIL,GSW,27.91%,0.01%,1.25%,12.71%,9.13%,$0.08
olivier-maxence prosper,PF/SF/F/UTIL,DAL,28.95%,0.01%,1.25%,32.86%,23.47%,$0.02
chris boucher,PF/F/UTIL,TOR,26.04%,0.01%,1.16%,2.17%,1.98%,$-0.02
kel'el ware,C/UTIL,MIA,29.45%,0.01%,1.22%,15.37%,34.6%,$-0.03
stephen curry,PG/G/UTIL,GSW,28.07%,0.01%,1.21%,12.23%,13.63%,$-0.07
russell westbrook,PG/G/UTIL,DEN,28.31%,0.01%,1.18%,21.09%,24.47%,$-0.16
robert williams,C/PF/F/UTIL,POR,27.94%,0.01%,1.18%,26.71%,20.31%,$-0.19
gradey dick,SG/G/UTIL,TOR,28.01%,0.01%,1.16%,25.89%,28.54%,$-0.22
kelly olynyk,C/UTIL,TOR,25.91%,0.01%,1.11%,5.46%,11.44%,$-0.23
ivica zubac,C/UTIL,LAC,28.09%,0.01%,1.13%,15.85%,34.87%,$-0.27
jakob poeltl,C/UTIL,TOR,26.9%,0.01%,1.11%,7.25%,15.43%,$-0.29
bruce brown,SF/SG/G/F/UTIL,TOR,25.14%,0.01%,1.05%,0.19%,0.1%,$-0.31
trae young,PG/G/UTIL,ATL,25.97%,0.01%,1.1%,6.79%,7.38%,$-0.33
andrew wiggins,PF/SF/F/UTIL,GSW,28.13%,0.01%,1.11%,21.84%,16.34%,$-0.36
quentin grimes,SF/SG/G/F/UTIL,DAL,28.07%,0.01%,1.11%,39.66%,26.4%,$-0.37
rj barrett,SF/F/UTIL,TOR,27.45%,0.01%,1.1%,16.05%,17.8%,$-0.37
aaron gordon,PF/F/UTIL,DEN,25.41%,0.01%,1.05%,2.97%,3.07%,$-0.4
nikola jovic,C/PF/F/UTIL,MIA,26.75%,0.01%,1.06%,7.01%,5.46%,$-0.45
onyeka okongwu,C/UTIL,ATL,27.35%,0.01%,1.06%,20.03%,46.78%,$-0.49
jalen williams,PF/F/UTIL,OKC,25.96%,0.01%,1.03%,7.84%,8.55%,$-0.5
corey kispert,SF/SG/G/F/UTIL,WAS,26.21%,0.01%,1.04%,7.38%,3.68%,$-0.54
paolo banchero,PF/F/UTIL,ORL,25.78%,0.01%,1.04%,12.59%,14.36%,$-0.54
kyshawn george,PF/SF/F/UTIL,WAS,26.44%,0.01%,1.04%,12.77%,8.83%,$-0.57
