Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4669104771,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Jalen Hood-Schifino (38129471),Anthony Edwards (38128924),Aaron Wiggins (38129293),Bam Adebayo (38128989),Jaylin Williams (38129406),Miles McBride (38129209),Kenrich Williams (38129703),Zion Williamson (38128937)
4669104772,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Luka Doncic (38128897),Donovan Mitchell (38128954),Jaime Jaquez Jr. (38129483),Josh Hart (38129020),Kenrich Williams (38129703),Jordan Hawkins (38129650),Aaron Wiggins (38129293),Jaylin Williams (38129406)
4669104773,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Cade Cunningham (38128911),Quentin Grimes (38128967),Aaron Wiggins (38129293),Pascal Siakam (38129000),Jaylin Williams (38129406),AJ Johnson (38129609),Kenrich Williams (38129703),Stephon Castle (38129105)
4669104774,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Cade Cunningham (38128911),Luke Kennard (38129368),Josh Giddey (38128984),Aaron Wiggins (38129293),Jaylin Williams (38129406),Jose Alvarado (38129350),Kevin Durant (38128943),Kenrich Williams (38129703)
4669104775,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,AJ Johnson (38129609),Anthony Edwards (38128924),Ricky Council IV (38129289),Kenrich Williams (38129703),Jaylin Williams (38129406),Devin Booker (38128933),Julius Randle (38129044),Deni Avdija (38129052)
4669104776,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Luka Doncic (38128897),Jordan Hawkins (38129650),Aaron Wiggins (38129293),Kevin Durant (38128943),Kenrich Williams (38129703),Keyonte George (38129109),Ricky Council IV (38129289),Jaylin Williams (38129406)
4669104777,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Jared Butler (38129166),Malik Monk (38129032),Jaime Jaquez Jr. (38129483),Paolo Banchero (38128916),Jaylin Williams (38129406),AJ Johnson (38129609),Ricky Council IV (38129289),Jaren Jackson Jr. (38128997)
