Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
joel embiid,C/UTIL,PHI,27.54%,0.01%,1.76%,6.36%,21.17%,$1.24
jalen smith,C/UTIL,CHI,31.12%,0.01%,1.57%,16.16%,18.34%,$0.9
brandon clarke,C/UTIL,MEM,29.87%,0.01%,1.43%,4.11%,4.0%,$0.82
jalen duren,C/UTIL,DET,29.26%,0.01%,1.35%,12.94%,20.31%,$0.34
pascal siakam,PF/F/UTIL,IND,27.12%,0.01%,1.25%,9.4%,13.79%,$0.1
immanuel quickley,PG/G/UTIL,TOR,28.15%,0.01%,1.25%,14.33%,13.39%,$0.07
tyus jones,PG/G/UTIL,PHX,29.06%,0.01%,1.24%,21.94%,19.96%,$0.01
matas buzelis,PF/F/UTIL,CHI,29.0%,0.01%,1.22%,29.76%,33.66%,$-0.03
josh giddey,PG/G/UTIL,CHI,28.02%,0.01%,1.2%,15.17%,15.89%,$-0.07
karl-anthony towns,C/UTIL,NYK,27.74%,0.01%,1.19%,13.93%,42.31%,$-0.12
ochai agbaji,PF/F/UTIL,TOR,28.27%,0.01%,1.19%,15.0%,12.74%,$-0.13
ausar thompson,PF/SF/F/UTIL,DET,26.83%,0.01%,1.15%,17.39%,12.04%,$-0.22
santi aldama,PF/F/UTIL,MEM,25.53%,0.01%,1.1%,6.23%,5.77%,$-0.27
nikola vucevic,C/UTIL,CHI,25.79%,0.01%,1.09%,7.54%,15.4%,$-0.33
gregory jackson,PF/SF/F/UTIL,MEM,25.8%,0.01%,1.1%,10.33%,5.88%,$-0.33
nick richards,C/UTIL,PHX,26.52%,0.01%,1.07%,6.37%,9.19%,$-0.35
vince williams jr.,SF/SG/G/F/UTIL,MEM,26.08%,0.01%,1.06%,0.68%,0.1%,$-0.35
cade cunningham,PG/G/UTIL,DET,27.34%,0.01%,1.09%,24.68%,46.53%,$-0.4
