Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Al Horford,C/PF/F/UTIL,BOS,26.62,7.15,3.41%,3.41%,0.37%,18.51%,$6.32,48
Keon Johnson,PG/SG/G/UTIL,BKN,30.01,9.22,3.32%,1.66%,0.38%,11.82%,$3.91,48
Mouhamed Gueye,PF/F/UTIL,ATL,30.701249999999998,9.804095121400005,46.87%,5.03%,18.69%,32.73%,$2.15,36
Deandre Ayton,C/UTIL,POR,39.18,11.82,35.21%,2.1%,8.99%,11.51%,$1.70,48
Daniel Gafford,C/UTIL,DAL,43.66,13.2,39.26%,2.65%,18.74%,24.18%,$1.24,48
Moses Moody,PG/SF/G/F/UTIL,GSW,25.36,8.89,34.57%,1.57%,12.29%,3.41%,$0.60,48
Brandin Podziemski,PG/SG/G/UTIL,GSW,30.74,10.03,38.9%,2.35%,25.95%,11.89%,$0.54,48
Jalen Williams,PF/SF/F/UTIL,OKC,43.2,13.28,30.46%,1.4%,15.17%,9.04%,$0.41,48
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,56.33,20.49,31.26%,1.96%,17.33%,16.23%,$0.34,48
Stephen Curry,PG/G/UTIL,GSW,48.33,15.59,37.1%,2.12%,22.42%,21.03%,$-0.15,48
Jose Alvarado,PG/G/UTIL,NOP,29.41,9.24,35.55%,1.65%,13.8%,11.03%,$-0.49,48
Kyle Kuzma,PF/SF/F/UTIL,MIL,37.1,9.96,32.77%,1.52%,62.72%,52.75%,$-0.55,48
Max Christie,SF/SG/G/F/UTIL,DAL,28.38,6.4,33.22%,1.5%,9.69%,3.1%,$-0.73,48
Malik Monk,PG/SG/G/UTIL,SAC,40.16,10.83,28.92%,1.2%,16.61%,7.28%,$-0.92,48
Anfernee Simons,PG/SG/G/UTIL,POR,35.98,9.07,33.79%,1.72%,14.24%,6.18%,$-0.98,48
Bobby Portis,C/PF/F/UTIL,MIL,35.98,13.73,32.71%,1.31%,32.23%,21.03%,$-1.00,48
Kevon Looney,C/UTIL,GSW,24.98,11.82,34.87%,1.03%,0.62%,0.49%,$-1.01,48
Domantas Sabonis,C/UTIL,SAC,50.27,15.8,32.08%,1.67%,8.84%,11.03%,$-1.07,48
Damian Lillard,PG/G/UTIL,MIL,47.39,13.43,30.91%,1.26%,21.71%,22.46%,$-1.10,48
Brook Lopez,C/UTIL,MIL,30.32,7.68,33.33%,0.86%,5.41%,6.43%,$-1.17,48
Deni Avdija,PF/SF/F/UTIL,POR,35.84,10.62,35.25%,0.48%,2.25%,1.3%,$-1.18,48
Naji Marshall,PF/SF/F/UTIL,DAL,28.21,9.67,31.89%,1.07%,17.62%,9.44%,$-1.24,48
Nikola Jokic,C/UTIL,DEN,65.28,22.91,30.96%,1.63%,9.23%,16.73%,$-1.25,48
Aaron Wiggins,PF/SF/F/UTIL,OKC,28.58,9.14,29.61%,0.93%,18.48%,10.22%,$-1.36,48
Yves Missi,C/UTIL,NOP,26.39,8.73,28.31%,0.83%,0.95%,1.39%,$-1.51,48
Jordan Hawkins,SG/G/UTIL,NOP,21.06,7.98,26.5%,0.58%,18.51%,8.85%,$-1.55,48
Jonathan Isaac,C/PF/F/UTIL,ORL,13.584375,9.19028813695558,5.57%,0.31%,3.03%,5.18%,$-1.59,36
Klay Thompson,SG/G/UTIL,DAL,26.37,9.57,26.83%,0.54%,9.15%,4.41%,$-1.60,48
Isaiah Hartenstein,C/UTIL,OKC,34.28,13.95,26.53%,0.95%,2.89%,3.79%,$-1.60,48
Zach LaVine,SF/SG/G/F/UTIL,SAC,37.51,9.82,26.25%,0.69%,15.14%,5.69%,$-1.61,48
Christian Braun,SF/SG/G/F/UTIL,DEN,30.93,7.65,26.37%,0.66%,3.81%,1.25%,$-1.62,48
Buddy Hield,SG/G/UTIL,GSW,23.83,9.31,26.84%,0.56%,7.31%,3.55%,$-1.63,48
Jamal Murray,PG/SG/G/UTIL,DEN,39.83,10.65,24.83%,1.0%,6.93%,3.1%,$-1.64,48
Draymond Green,C/PF/F/UTIL,GSW,30.84,10.02,26.5%,0.52%,7.23%,4.05%,$-1.64,48
Kyrie Irving,PG/G/UTIL,DAL,42.85,11.81,24.61%,0.91%,3.82%,3.37%,$-1.65,48
Alex Caruso,PG/SF/G/F/UTIL,OKC,21.8,8.62,25.13%,0.69%,11.5%,3.74%,$-1.66,48
Michael Porter Jr.,PF/SF/F/UTIL,DEN,33.65,9.96,25.39%,0.63%,5.99%,3.39%,$-1.68,48
Keegan Murray,PF/F/UTIL,SAC,28.32,6.67,25.65%,0.2%,3.36%,2.55%,$-1.70,48
Luguentz Dort,SF/SG/G/F/UTIL,OKC,22.33,6.08,24.4%,0.76%,8.34%,2.36%,$-1.72,48
Taurean Prince,PF/SF/F/UTIL,MIL,21.36,5.83,24.39%,0.51%,5.63%,2.31%,$-1.75,48
Zion Williamson,PF/F/UTIL,NOP,42.3,19.77,23.53%,0.33%,6.84%,6.38%,$-1.79,48
Aaron Gordon,C/PF/F/UTIL,DEN,25.79,9.46,24.05%,0.46%,6.07%,3.33%,$-1.79,48
Jimmy Butler,PF/SF/F/UTIL,GSW,38.35,12.73,23.43%,0.44%,6.38%,3.89%,$-1.80,48
Jordan Poole,PG/G/UTIL,WAS,32.832499999999996,11.595066185600862,21.15%,0.49%,35.23%,19.95%,$-1.83,36
Karlo Matkovic,C/PF/F/UTIL,NOP,21.6,8.33,23.33%,0.22%,3.78%,1.26%,$-1.85,48
Kyshawn George,PF/SF/F/UTIL,WAS,23.989375000000003,5.667204212541684,19.99%,0.38%,12.02%,24.41%,$-1.89,36
Colby Jones,SF/F/UTIL,WAS,0,0.0,0.0%,0.0%,0.01%,0.03%,$-1.89,36
Alexandre Sarr,C/UTIL,WAS,0,0.0,0.0%,0.0%,0.01%,0.05%,$-1.89,36
Jaylen Martin,SF/SG/G/F/UTIL,WAS,0,0.0,0.0%,0.0%,0.01%,0.03%,$-1.89,36
Alex Len,C/UTIL,WAS,0,0.0,0.0%,0.0%,0.01%,0.04%,$-1.89,36
Malaki Branham,SF/SG/G/F/UTIL,SAS,0,0.0,0.0%,0.0%,0.01%,0.03%,$-1.89,36
JT Thor,PF/SF/F/UTIL,CLE,0,0.0,0.0%,0.0%,0.01%,0.03%,$-1.89,37
Tristan Thompson,C/UTIL,CLE,0,0.0,0.0%,0.0%,0.01%,0.03%,$-1.89,37
David Duke Jr.,SG/G/UTIL,SAS,0,0.0,0.0%,0.0%,0.01%,0.03%,$-1.89,36
Donte DiVincenzo,PG/G/UTIL,MIN,0,0.0,0.0%,0.0%,0.01%,0.05%,$-1.89,37
AJ Green,PG/SG/G/UTIL,MIL,15.91,5.84,21.65%,0.3%,16.56%,3.83%,$-1.90,48
Naz Reid,C/PF/F/UTIL,MIN,35.658385416666675,8.458362731134068,21.49%,0.32%,20.1%,4.57%,$-1.91,37
