Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Jalen Wilson,SF/F/UTIL,BKN,28.54,6.32,28.63%,2.13%,5.15%,8.46%,$5.29,48
Mark Williams,C/UTIL,CHA,43.52,16.66,31.31%,2.64%,19.66%,56.92%,$3.81,48
Nick Richards,C/UTIL,PHX,33.56,11.28,24.4%,1.31%,5.39%,18.45%,$1.95,48
Olivier-Maxence Prosper,PF/SF/F/UTIL,DAL,25.97,8.94,38.3%,2.54%,36.23%,25.8%,$1.90,48
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,58.33,21.17,31.25%,2.19%,29.91%,30.27%,$1.78,48
Quentin Grimes,SF/SG/G/F/UTIL,DAL,30.2,8.05,29.84%,1.95%,26.71%,30.17%,$0.23,48
Nick Smith Jr.,SF/SG/G/F/UTIL,CHA,25.91,8.06,28.68%,1.67%,51.03%,41.16%,$-0.00,48
Jalen Bridges,SF/F/UTIL,PHX,0,0.0,0%,0%,0.0%,0.03%,$0.00,48
Jaden Hardy,PG/SG/G/UTIL,DAL,0,0.0,0%,0%,0.0%,0.04%,$0.00,48
Joe Ingles,SF/SG/G/F/UTIL,MIN,0,0.0,0%,0%,0.0%,0.03%,$0.00,48
Dominick Barlow,C/UTIL,ATL,0,0.0,0%,0%,0.0%,0.03%,$0.00,48
Markieff Morris,C/PF/F/UTIL,DAL,0,0.0,0%,0%,0.0%,0.03%,$0.00,48
Bol Bol,C/PF/F/UTIL,PHX,4.23,3.02,0%,0%,0.0%,0.1%,$0.00,48
Jaden Ivey,PG/G/UTIL,DET,0,0.0,0%,0%,0.0%,0.03%,$0.00,48
Bojan Bogdanovic,SF/F/UTIL,BKN,0,0.0,0%,0%,0.0%,0.03%,$0.00,48
Dereck Lively II,C/UTIL,DAL,0,0.0,0%,0%,0.0%,0.06%,$0.00,48
Larry Nance Jr.,C/UTIL,ATL,0,0.0,0%,0%,0.0%,0.03%,$0.00,48
Cam Thomas,SG/G/UTIL,BKN,0,0.0,0%,0%,0.0%,0.07%,$0.00,48
