PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Scotty Pippen Jr. (38084268),Jordan Hawkins (38084276),Jaime Jaquez Jr. (38084296),Giannis Antetokounmpo (38083860),Steven Adams (38084373),Stephon Castle (38084005),Justin Champagnie (38084078),Nikola Jokic (38083858),290.93,285.72,399.05,49900,0.16%,6.64%,546.2%,51.12%,214.69,$16.4,MEM 1,NOP 1,generated,1
Scotty Pippen Jr. (38084268),Stephon Castle (38084005),Dillon Brooks (38084093),Giannis Antetokounmpo (38083860),Mo Bamba (38084375),Jordan Hawkins (38084276),Jaime Jaquez Jr. (38084296),Nikola Jokic (38083858),290.29,285.80999999999995,396.82,49800,0.12%,6.24%,469.8%,50.47%,215.63,$14.1,NOP 2,MEM 1,generated,1
Scotty Pippen Jr. (38084268),Stephon Castle (38084005),Aaron Wiggins (38084052),Karlo Matkovic (38084160),Alperen Sengun (38083870),Jordan Hawkins (38084276),Jaime Jaquez Jr. (38084296),Nikola Jokic (38083858),290.24,286.87,391.53000000000003,49700,0.1%,6.36%,450.5%,50.6%,216.44,$13.5,NOP 2,MEM 1,generated,1
Scotty Pippen Jr. (38084268),Jordan Hawkins (38084276),Aaron Wiggins (38084052),Jabari Smith Jr. (38084102),Karl-Anthony Towns (38083872),Russell Westbrook (38084014),Jaime Jaquez Jr. (38084296),Nikola Jokic (38083858),290.39,290.8,388.02,49800,0.11%,6.42%,401.1%,50.86%,222.78,$12.0,DEN 2,MEM 1,generated,1
Cade Cunningham (38083867),Jordan Hawkins (38084276),Jaime Jaquez Jr. (38084296),Jonathan Kuminga (38084041),Alperen Sengun (38083870),Russell Westbrook (38084014),Trey Murphy III (38083947),Scotty Pippen Jr. (38084268),286.42,283.59,381.73,50000,0.11%,4.85%,373.6%,45.56%,205.48000000000002,$11.2,NOP 2,DET 1,generated,1
Scotty Pippen Jr. (38084268),Jordan Hawkins (38084276),Aaron Wiggins (38084052),Giannis Antetokounmpo (38083860),Karlo Matkovic (38084160),Jose Alvarado (38084168),Jaime Jaquez Jr. (38084296),Nikola Jokic (38083858),286.75,285.21,393.84,49900,0.1%,5.27%,368.2%,46.21%,201.29000000000002,$11.0,NOP 3,MEM 1,generated,1
Shai Gilgeous-Alexander (38083864),Stephon Castle (38084005),Jaime Jaquez Jr. (38084296),Patrick Williams (38084300),Nikola Jokic (38083858),Jordan Hawkins (38084276),Kelly Olynyk (38084082),Scotty Pippen Jr. (38084268),282.33,280.28,386.72999999999996,49900,0.1%,4.83%,341.3%,42.15%,193.45,$10.2,NOP 2,OKC 1,generated,1
Scotty Pippen Jr. (38084268),Jalen Green (38083952),Trey Murphy III (38083947),Jaime Jaquez Jr. (38084296),Isaiah Hartenstein (38083966),Russell Westbrook (38084014),Jabari Smith Jr. (38084102),Alperen Sengun (38083870),292.63,287.28,381.85999999999996,49900,0.07%,5.66%,337.2%,53.25%,197.68,$10.1,HOU 3,MEM 1,generated,1
Shai Gilgeous-Alexander (38083864),Jordan Hawkins (38084276),Aaron Wiggins (38084052),Jaime Jaquez Jr. (38084296),Mo Bamba (38084375),Tre Jones (38084046),Karlo Matkovic (38084160),Nikola Jokic (38083858),283.26,283.43,384.53999999999996,50000,0.09%,4.87%,336.5%,42.83%,191.66,$10.1,NOP 3,OKC 2,generated,1
Cade Cunningham (38083867),Jordan Hawkins (38084276),Aaron Wiggins (38084052),Jaime Jaquez Jr. (38084296),Mo Bamba (38084375),Scotty Pippen Jr. (38084268),Trey Murphy III (38083947),Nikola Jokic (38083858),283.75,282.75,384.34999999999997,50000,0.09%,4.73%,327.7%,43.22%,173.88,$9.8,NOP 3,DET 1,generated,1
Shai Gilgeous-Alexander (38083864),Jordan Hawkins (38084276),Jaime Jaquez Jr. (38084296),Karlo Matkovic (38084160),Alperen Sengun (38083870),Russell Westbrook (38084014),Keldon Johnson (38084146),Stephon Castle (38084005),289.93000000000006,287.45000000000005,387.06000000000006,50000,0.07%,5.34%,318.7%,49.96%,231.98,$9.6,NOP 2,SAS 2,generated,1
Cade Cunningham (38083867),Jordan Hawkins (38084276),Justin Champagnie (38084078),Jaime Jaquez Jr. (38084296),Alexandre Sarr (38084017),Russell Westbrook (38084014),Giannis Antetokounmpo (38083860),Scotty Pippen Jr. (38084268),289.48,286.96999999999997,389.39,50000,0.09%,4.81%,316.9%,49.5%,218.48,$9.5,WAS 2,DET 1,generated,1
Scotty Pippen Jr. (38084268),Marcus Smart (38084223),Kevin Huerter (38084121),Jaime Jaquez Jr. (38084296),Mo Bamba (38084375),Russell Westbrook (38084014),Giannis Antetokounmpo (38083860),Nikola Jokic (38083858),286.4,287.22999999999996,393.19999999999993,49800,0.08%,5.0%,314.9%,45.73%,218.41,$9.4,DEN 2,MEM 1,generated,1
Scotty Pippen Jr. (38084268),Stephon Castle (38084005),Jaime Jaquez Jr. (38084296),Pascal Siakam (38083919),Alperen Sengun (38083870),Jose Alvarado (38084168),Trey Murphy III (38083947),Russell Westbrook (38084014),289.31,286.24,382.6,49800,0.1%,4.56%,307.7%,48.94%,232.43,$9.2,NOP 2,MEM 1,generated,1
Jordan Hawkins (38084276),Stephon Castle (38084005),Andrew Wiggins (38084002),Jaime Jaquez Jr. (38084296),Isaiah Hartenstein (38083966),Russell Westbrook (38084014),Kevin Huerter (38084121),Nikola Jokic (38083858),288.86,290.23999999999995,386.31,50000,0.07%,5.11%,303.0%,49.44%,231.86,$9.1,MIA 2,DEN 2,generated,1
Shai Gilgeous-Alexander (38083864),Stephon Castle (38084005),Jaime Jaquez Jr. (38084296),Giannis Antetokounmpo (38083860),Mo Bamba (38084375),Scotty Pippen Jr. (38084268),Justin Champagnie (38084078),Dillon Brooks (38084093),289.94,283.03,391.89,50000,0.05%,5.27%,300.5%,50.19%,199.3,$9.0,OKC 1,SAS 1,generated,1
Scotty Pippen Jr. (38084268),Kevin Huerter (38084121),Jaime Jaquez Jr. (38084296),Giannis Antetokounmpo (38083860),Kelly Olynyk (38084082),Jose Alvarado (38084168),Corey Kispert (38084256),Nikola Jokic (38083858),280.46999999999997,279.36,386.45,50000,0.1%,3.8%,275.6%,39.01%,170.87,$8.3,NOP 2,MEM 1,generated,1
Cade Cunningham (38083867),Stephon Castle (38084005),Aaron Wiggins (38084052),Jaime Jaquez Jr. (38084296),Isaiah Hartenstein (38083966),CJ McCollum (38083974),Jabari Smith Jr. (38084102),Russell Westbrook (38084014),286.85,285.62,378.94000000000005,49900,0.06%,4.44%,272.0%,46.14%,201.69,$8.2,OKC 2,DET 1,generated,1
