Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Trae Young,PG/G/UTIL,ATL,59.43,16.2,33.64%,3.93%,17.47%,22.33%,$5.19,48
Miles Bridges,PF/F/UTIL,CHA,61.76375,10.922400997168618,64.08%,3.2%,29.83%,12.38%,$4.48,36
Ausar Thompson,PF/SF/F/UTIL,DET,32.265546875,8.248611803410771,17.76%,1.72%,2.99%,3.92%,$4.06,39
Chris Boucher,C/PF/F/UTIL,TOR,24.55,11.5,19.15%,1.03%,15.68%,24.41%,$2.18,48
Javonte Green,PF/SF/F/UTIL,NOP,31.140624999999996,5.482221285722815,27.83%,7.31%,0.1%,0.1%,$1.54,36
Jordan Hawkins,SG/G/UTIL,NOP,31.258125,6.339869400973931,36.96%,2.12%,43.75%,32.41%,$1.46,36
Josh Okogie,PF/SF/F/UTIL,CHA,21.301875000000003,7.029351219116984,24.96%,1.15%,15.33%,9.68%,$0.59,36
Larry Nance Jr.,C/UTIL,ATL,23.92,10.05,35.45%,1.89%,14.98%,16.47%,$0.28,48
Jose Alvarado,PG/G/UTIL,NOP,25.69625,8.071982261186967,32.37%,1.64%,37.6%,36.11%,$0.27,36
Karl-Anthony Towns,C/UTIL,NYK,53.02,15.91,23.19%,1.1%,19.57%,25.43%,$0.21,48
LaMelo Ball,PG/G/UTIL,CHA,55.323125,13.268320841826077,30.27%,1.27%,35.55%,27.98%,$0.03,36
Jalen Duren,C/UTIL,DET,42.342656250000005,11.042212168454803,9.83%,1.01%,3.92%,6.29%,$-0.24,39
Zach LaVine,SF/SG/G/F/UTIL,CHI,43.71,13.02,24.71%,1.32%,15.03%,6.08%,$-0.28,48
Moussa Diabate,C/UTIL,CHA,22.528125,7.592708314428991,30.2%,1.29%,43.88%,37.28%,$-0.37,36
Zion Williamson,PF/F/UTIL,NOP,52.34,15.353582925966046,18.19%,1.41%,5.81%,3.54%,$-0.65,36
Anthony Davis,C/UTIL,LAL,54.84,18.28,23.59%,0.7%,10.21%,10.79%,$-0.69,48
Bogdan Bogdanovic,SF/SG/G/F/UTIL,ATL,27.4,8.97,18.76%,1.08%,6.32%,9.48%,$-1.09,48
Paul George,SF/SG/G/F/UTIL,PHI,43.38,12.52,24.42%,1.09%,15.04%,5.94%,$-1.76,48
Jakob Poeltl,C/UTIL,TOR,36.1,12.57,26.73%,0.87%,13.1%,12.69%,$-1.78,48
Lauri Markkanen,PF/SF/F/UTIL,UTA,36.95,12.79,19.28%,0.4%,7.7%,2.92%,$-1.78,48
RJ Barrett,SF/F/UTIL,TOR,39.84,12.45,25.52%,1.01%,7.64%,11.72%,$-1.79,48
Kelly Oubre Jr.,SG/G/UTIL,PHI,35.69,7.66,19.87%,0.75%,7.07%,7.77%,$-1.84,48
Justin Champagnie,PF/SF/F/UTIL,WAS,11.6,6.41,30.51%,3.42%,0.15%,0.1%,$-1.85,48
Kevin Durant,PF/F/UTIL,PHX,49.16,14.99,17.95%,0.75%,20.76%,11.67%,$-1.90,48
Andrew Wiggins,PF/SF/F/UTIL,GSW,33.8,9.63,18.12%,0.56%,9.28%,5.24%,$-1.90,48
Paolo Banchero,PF/F/UTIL,ORL,45.028203125000005,11.5797819547882,24.82%,0.95%,9.71%,6.5%,$-1.92,39
Nikola Vucevic,C/UTIL,CHI,44.74,14.62,17.32%,0.61%,4.62%,9.12%,$-1.94,48
Vit Krejci,PG/SF/G/F/UTIL,ATL,26.95,7.2,23.84%,2.17%,3.81%,10.07%,$-1.99,48
Garrison Mathews,SG/G/UTIL,ATL,18.78,7.76,32.04%,0.31%,5.17%,10.83%,$-2.05,48
Bilal Coulibaly,SF/F/UTIL,WAS,28.67,7.92,28.69%,1.0%,3.05%,3.36%,$-2.07,48
Domantas Sabonis,C/UTIL,SAC,53.38,14.71,11.02%,0.33%,5.83%,12.86%,$-2.28,48
LeBron James,PF/F/UTIL,LAL,49.78,16.28,17.77%,0.56%,14.13%,6.3%,$-2.32,48
Scottie Barnes,PG/SF/G/F/UTIL,TOR,43.37,13.86,22.96%,0.53%,19.24%,5.87%,$-2.37,48
Stephen Curry,PG/G/UTIL,GSW,44.08,13.74,21.92%,0.48%,6.55%,5.98%,$-2.48,48
Corey Kispert,SF/SG/G/F/UTIL,WAS,21.66,7.61,20.62%,0.87%,5.07%,4.76%,$-2.54,48
Jonas Valanciunas,C/UTIL,WAS,29.11,16.07,10.43%,0.16%,2.07%,8.39%,$-2.55,48
Kyshawn George,PF/SF/F/UTIL,WAS,20.62,6.93,15.86%,0.84%,7.08%,7.78%,$-2.56,48
Jonathan Isaac,C/PF/F/UTIL,ORL,24.6915234375,8.195736086722242,21.16%,0.82%,0.51%,1.63%,$-2.60,39
Amen Thompson,PG/SF/G/F/UTIL,HOU,39.49,9.95,12.61%,0.4%,5.94%,2.82%,$-2.62,48
Jordan Poole,PG/SG/G/UTIL,WAS,37.75,12.34,15.63%,0.45%,15.44%,12.37%,$-2.63,48
Jaren Jackson Jr.,C/PF/F/UTIL,MEM,42.7,15.92,17.13%,0.53%,13.95%,8.05%,$-2.63,48
Guerschon Yabusele,C/PF/F/UTIL,PHI,31.72,8.34,16.21%,0.75%,6.32%,5.98%,$-2.64,48
Onyeka Okongwu,C/UTIL,ATL,35.31,13.88,12.84%,0.7%,16.28%,8.67%,$-2.67,48
Josh Hart,PF/SF/F/UTIL,NYK,38.9,8.61,23.75%,0.59%,2.25%,4.12%,$-2.67,48
Zach Edey,C/UTIL,MEM,25.42,10.72,11.55%,0.82%,3.98%,23.89%,$-2.68,48
Kobe Bufkin,PG/G/UTIL,ATL,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.69,48
Ochai Agbaji,PF/SF/F/UTIL,TOR,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.69,48
Jared Butler,PG/G/UTIL,WAS,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.69,48
Cody Martin,SF/SG/G/F/UTIL,CHA,0,0.0,0.0%,0.0%,0.01%,0.04%,$-2.69,36
