Set Analysis

Set 1
Player,Count,Exposure
Tre Jones,6,60.00%
Giannis Antetokounmpo,6,60.00%
Julius Randle,5,50.00%
Matas Buzelis,4,40.00%
Ty Jerome,4,40.00%
Kyle Kuzma,3,30.00%
Pascal Siakam,3,30.00%
Anthony Edwards,3,30.00%
Ja'Kobe Walter,3,30.00%
Jevon Carter,2,20.00%
Franz Wagner,2,20.00%
Jalen Brunson,2,20.00%
Coby White,2,20.00%
Wendell Carter Jr.,2,20.00%
Darius Garland,2,20.00%
Scottie Barnes,1,10.00%
Alperen Sengun,1,10.00%
Quentin Grimes,1,10.00%
Trae Young,1,10.00%
Jarrett Allen,1,10.00%
Aaron Nesmith,1,10.00%
Josh Hart,1,10.00%
Paolo Banchero,1,10.00%
Max Strus,1,10.00%
Georges Niang,1,10.00%
Donovan Mitchell,1,10.00%
Tyrese Haliburton,1,10.00%
Caris LeVert,1,10.00%
Keldon Johnson,1,10.00%
Total Entries:,10


Set 8
Player,Count,Exposure
Talen Horton-Tucker,10,100.00%
Giannis Antetokounmpo,7,70.00%
Tre Jones,6,60.00%
Anthony Edwards,4,40.00%
Franz Wagner,4,40.00%
Matas Buzelis,4,40.00%
Stephon Castle,4,40.00%
Onyeka Okongwu,4,40.00%
Darius Garland,3,30.00%
Pascal Siakam,3,30.00%
Caris LeVert,3,30.00%
Ty Jerome,3,30.00%
Julius Randle,3,30.00%
Max Strus,2,20.00%
Donovan Mitchell,2,20.00%
Jevon Carter,2,20.00%
Ja'Kobe Walter,2,20.00%
Alperen Sengun,2,20.00%
Georges Niang,2,20.00%
Jarrett Allen,1,10.00%
Andrew Nembhard,1,10.00%
Kyle Kuzma,1,10.00%
Jalen Brunson,1,10.00%
Paolo Banchero,1,10.00%
De'Aaron Fox,1,10.00%
Aaron Nesmith,1,10.00%
OG Anunoby,1,10.00%
Donte DiVincenzo,1,10.00%
Coby White,1,10.00%
Total Entries:,10


Set 9
Player,Count,Exposure
Talen Horton-Tucker,10,100.00%
Julius Randle,5,50.00%
Tre Jones,4,40.00%
Matas Buzelis,4,40.00%
