PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Jared Butler (38209626),Gary Trent Jr. (38209786),Ricky Council IV (38209691),LeBron James (38209499),Nic Claxton (38209652),Tyrese Haliburton (38209549),Trendon Watford (38209739),Nick Richards (38209734),281.27,267.46999999999997,376.09,49900,0.19%,7.14%,815.8%,54.05%,157.48,$32.6,PHI 2,BKN 2,generated,1
Cameron Payne (38209746),Jared Butler (38209626),Scottie Barnes (38209535),LeBron James (38209499),Tristan Vukcevic (38209799),Ryan Rollins (38209763),Trendon Watford (38209739),Alexandre Sarr (38209615),278.83,271.82,381.53000000000003,49500,0.18%,6.76%,800.5%,50.81%,207.25,$32.0,WAS 2,NYK 1,generated,1
D'Angelo Russell (38209654),Jared Butler (38209626),Josh Hart (38209565),Trendon Watford (38209739),Tristan Vukcevic (38209799),Kevin Porter Jr. (38209743),Gary Trent Jr. (38209786),Luka Doncic (38209488),281.44,274.38,378.28999999999996,49900,0.16%,7.99%,787.3%,53.7%,191.08,$31.5,BKN 2,MIL 2,generated,1
Jared Butler (38209626),Gary Trent Jr. (38209786),Colby Jones (38209940),Trendon Watford (38209739),Tristan Vukcevic (38209799),Kevin Porter Jr. (38209743),LeBron James (38209499),Luka Doncic (38209488),286.71,275.16,389.04999999999995,49800,0.13%,9.69%,779.7%,61.54%,210.07999999999998,$31.2,MIL 2,WAS 2,generated,1
Jared Butler (38209626),Colby Jones (38209940),Ziaire Williams (38209758),Ricky Council IV (38209691),Tristan Vukcevic (38209799),Luka Doncic (38209488),Gary Trent Jr. (38209786),Karl-Anthony Towns (38209503),280.53000000000003,274.36,374.05000000000007,50000,0.17%,7.13%,740.0%,52.91%,195.99,$29.6,PHI 2,WAS 2,generated,1
D'Angelo Russell (38209654),Jared Butler (38209626),Colby Jones (38209940),Trendon Watford (38209739),Tristan Vukcevic (38209799),Luka Doncic (38209488),Gary Trent Jr. (38209786),Ivica Zubac (38209552),281.44,272.99,378.70000000000005,49000,0.14%,7.62%,712.6%,53.82%,203.54,$28.5,BKN 2,WAS 2,generated,1
Luka Doncic (38209488),Jared Butler (38209626),Justin Champagnie (38209750),Trendon Watford (38209739),Tristan Vukcevic (38209799),Devin Booker (38209515),Gary Trent Jr. (38209786),Kevin Porter Jr. (38209743),277.03,269.21,375.80999999999995,49900,0.13%,6.29%,620.6%,48.05%,183.11,$24.8,WAS 2,MIL 2,generated,1
D'Angelo Russell (38209654),Jared Butler (38209626),Ricky Council IV (38209691),Trendon Watford (38209739),Alexandre Sarr (38209615),Gary Trent Jr. (38209786),Ziaire Williams (38209758),Nikola Jokic (38209486),278.64,268.14,376.39,49500,0.12%,6.86%,600.0%,50.57%,205.73,$24.0,BKN 3,PHI 2,generated,1
D'Angelo Russell (38209654),Jared Butler (38209626),Gary Trent Jr. (38209786),Justin Champagnie (38209750),Alexandre Sarr (38209615),Kevin Porter Jr. (38209743),Trendon Watford (38209739),Nikola Jokic (38209486),271.6,261.89,373.95,49000,0.13%,5.55%,582.8%,42.19%,176.36,$23.3,BKN 2,MIL 2,generated,1
Jared Butler (38209626),Colby Jones (38209940),LeBron James (38209499),Trendon Watford (38209739),Alexandre Sarr (38209615),Scottie Barnes (38209535),Gary Trent Jr. (38209786),Nic Claxton (38209652),278.73,267.0,376.28999999999996,49800,0.13%,6.07%,580.9%,50.6%,190.7,$23.2,WAS 2,BKN 2,generated,1
Jared Butler (38209626),Gary Trent Jr. (38209786),LeBron James (38209499),Trendon Watford (38209739),Tristan Vukcevic (38209799),James Harden (38209505),Kyle Kuzma (38209648),Ryan Rollins (38209763),282.84000000000003,275.48,378.12,50000,0.12%,7.09%,565.3%,56.1%,195.92000000000002,$22.6,MIL 3,PHI 1,generated,1
Luka Doncic (38209488),Jared Butler (38209626),Colby Jones (38209940),Trendon Watford (38209739),Alexandre Sarr (38209615),Gary Trent Jr. (38209786),Ziaire Williams (38209758),Ivica Zubac (38209552),282.13,273.76,375.6,49700,0.11%,7.01%,565.2%,55.57%,217.27999999999997,$22.6,WAS 2,BKN 2,generated,1
Cameron Payne (38209746),AJ Johnson (38209754),Ricky Council IV (38209691),Trendon Watford (38209739),Tristan Vukcevic (38209799),Ryan Rollins (38209763),LeBron James (38209499),Luka Doncic (38209488),282.32,276.83,380.9,50000,0.13%,6.53%,558.2%,55.69%,205.28,$22.3,WAS 2,LAL 2,generated,1
Kevin Porter Jr. (38209743),Ziaire Williams (38209758),Ja'Kobe Walter (38209883),Ricky Council IV (38209691),Alexandre Sarr (38209615),Devin Booker (38209515),LeBron James (38209499),Nic Claxton (38209652),273.47999999999996,262.62,367.89,49800,0.13%,5.17%,542.1%,43.82%,129.72,$21.7,BKN 2,MIL 1,generated,1
AJ Johnson (38209754),Jared Butler (38209626),Ziaire Williams (38209758),Trendon Watford (38209739),Ivica Zubac (38209552),Kevin Porter Jr. (38209743),Gary Trent Jr. (38209786),Nikola Jokic (38209486),274.4,263.05,371.13,49600,0.11%,5.96%,535.0%,45.06%,184.23,$21.4,BKN 2,MIL 2,generated,1
Jared Butler (38209626),Cameron Payne (38209746),LeBron James (38209499),Jonathan Mogbo (38209818),Tristan Vukcevic (38209799),Tyrese Martin (38209809),RJ Barrett (38209569),Ivica Zubac (38209552),273.16,266.78,368.83000000000004,50000,0.12%,5.08%,534.0%,43.27%,155.13,$21.4,TOR 2,PHI 1,generated,1
Cameron Payne (38209746),Colby Jones (38209940),LeBron James (38209499),Trendon Watford (38209739),Tristan Vukcevic (38209799),Luka Doncic (38209488),Ziaire Williams (38209758),Alexandre Sarr (38209615),286.47999999999996,282.83,387.84000000000003,50000,0.11%,7.36%,522.7%,62.18%,249.54,$20.9,WAS 3,LAL 2,generated,1
Cameron Payne (38209746),AJ Johnson (38209754),Colby Jones (38209940),LeBron James (38209499),Tristan Vukcevic (38209799),D'Angelo Russell (38209654),Gary Trent Jr. (38209786),Nikola Jokic (38209486),277.25,272.87,377.51000000000005,49800,0.11%,6.09%,520.8%,48.52%,218.39,$20.8,WAS 3,NYK 1,generated,1
Jared Butler (38209626),Keon Johnson (38209661),Ricky Council IV (38209691),Justin Champagnie (38209750),Tristan Vukcevic (38209799),James Harden (38209505),Kyle Kuzma (38209648),Ivica Zubac (38209552),271.32,262.61,362.2700000000001,50000,0.12%,4.99%,514.1%,41.23%,105.38,$20.6,PHI 2,WAS 2,generated,1
Cameron Payne (38209746),RJ Barrett (38209569),Kyle Kuzma (38209648),Trendon Watford (38209739),Tristan Vukcevic (38209799),Luka Doncic (38209488),Gary Trent Jr. (38209786),Alexandre Sarr (38209615),277.86,277.27,374.99,49900,0.11%,5.61%,509.6%,49.42%,244.28,$20.4,MIL 2,WAS 2,generated,1
Cameron Payne (38209746),Jared Butler (38209626),Aaron Nesmith (38209717),Justin Champagnie (38209750),Tristan Vukcevic (38209799),Kevin Porter Jr. (38209743),LeBron James (38209499),Karl-Anthony Towns (38209503),273.67,267.61,371.54,49400,0.12%,5.25%,507.9%,44.02%,151.98000000000002,$20.3,NYK 2,WAS 2,generated,1
Jared Butler (38209626),Cameron Payne (38209746),Colby Jones (38209940),Trendon Watford (38209739),Adem Bona (38209722),D'Angelo Russell (38209654),LeBron James (38209499),Karl-Anthony Towns (38209503),280.45,274.42999999999995,377.1,49700,0.1%,6.23%,488.5%,53.06%,198.47,$19.5,PHI 2,NYK 2,generated,1
D'Angelo Russell (38209654),Cameron Payne (38209746),Ziaire Williams (38209758),Ricky Council IV (38209691),Tristan Vukcevic (38209799),Luka Doncic (38209488),Gary Trent Jr. (38209786),Ivica Zubac (38209552),278.42,274.67999999999995,371.12,49100,0.1%,6.02%,487.6%,49.92%,222.34999999999997,$19.5,BKN 2,NYK 1,generated,1
Jared Butler (38209626),Devin Booker (38209515),LeBron James (38209499),JT Thor (38209979),Alexandre Sarr (38209615),D'Angelo Russell (38209654),Trendon Watford (38209739),Gary Trent Jr. (38209786),280.97,269.69,376.11,50000,0.09%,6.56%,483.3%,53.72%,177.15,$19.3,WAS 2,BKN 2,generated,1
