PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Scoot Henderson (38097890),Jalen Wilson (38098120),Deni Avdija (38097821),Cameron Johnson (38097858),Nic Claxton (38097877),Jamal Shead (38097937),Giannis Antetokounmpo (38097743),Isaiah Hartenstein (38097840),291.7,282.67,388.83,50000,0.09%,5.61%,363.2%,54.15%,223.07,$10.9,BKN 3,POR 2,generated,1
Scoot Henderson (38097890),Anthony Edwards (38097762),Jalen Wilson (38098120),Deni Avdija (38097821),Donovan Clingan (38097900),Donte DiVincenzo (38097879),Chet Holmgren (38097793),Onyeka Okongwu (38097812),291.04,285.14,379.96000000000004,49800,0.08%,5.39%,356.7%,53.66%,234.48,$10.7,POR 3,MIN 2,generated,1
Donte DiVincenzo (38097879),Jalen Wilson (38098120),Cameron Johnson (38097858),Deni Avdija (38097821),Onyeka Okongwu (38097812),Tyrese Martin (38097958),Giannis Antetokounmpo (38097743),Donovan Clingan (38097900),295.19000000000005,289.75,388.01,50000,0.07%,5.21%,316.0%,60.09%,271.16999999999996,$9.5,BKN 3,POR 2,generated,1
Scoot Henderson (38097890),Tyrese Martin (38097958),Jalen Wilson (38098120),Deni Avdija (38097821),Nic Claxton (38097877),Shai Gilgeous-Alexander (38097747),Scottie Barnes (38097778),Jamal Shead (38097937),286.69,276.56000000000006,381.28000000000003,49900,0.08%,4.97%,310.0%,47.45%,227.31,$9.3,BKN 3,POR 2,generated,1
Scoot Henderson (38097890),Jalen Wilson (38098120),Cameron Johnson (38097858),Deni Avdija (38097821),Nic Claxton (38097877),Donte DiVincenzo (38097879),Giannis Antetokounmpo (38097743),Donovan Clingan (38097900),298.56,290.18,393.8299999999999,49400,0.05%,6.32%,295.4%,65.35%,289.16999999999996,$8.9,POR 3,BKN 3,generated,1
Trae Young (38097753),Tyrese Martin (38097958),Jalen Wilson (38098120),Giannis Antetokounmpo (38097743),Nic Claxton (38097877),Scoot Henderson (38097890),Brice Sensabaugh (38097977),Donovan Clingan (38097900),285.67,279.48,382.97,49800,0.07%,4.51%,292.1%,46.49%,258.42999999999995,$8.8,BKN 3,POR 2,generated,1
Scoot Henderson (38097890),Keon Johnson (38097912),Jalen Wilson (38098120),Cameron Johnson (38097858),Donovan Clingan (38097900),Trae Young (38097753),Julius Randle (38097797),Onyeka Okongwu (38097812),284.48,276.64,375.99,49500,0.09%,4.38%,288.7%,44.41%,236.92000000000002,$8.7,BKN 3,POR 2,generated,1
Scoot Henderson (38097890),Keon Johnson (38097912),Cameron Johnson (38097858),Deni Avdija (38097821),Donovan Clingan (38097900),Shai Gilgeous-Alexander (38097747),Jamison Battle (38097966),Nic Claxton (38097877),292.95000000000005,289.99,385.73999999999995,50000,0.05%,5.43%,286.0%,56.0%,272.63,$8.6,POR 3,BKN 3,generated,1
Scottie Barnes (38097778),Cason Wallace (38097999),Jalen Wilson (38098120),Cameron Johnson (38097858),Nic Claxton (38097877),Scoot Henderson (38097890),Giannis Antetokounmpo (38097743),Donovan Clingan (38097900),288.66,280.41,387.59000000000003,49500,0.06%,5.05%,268.2%,49.85%,266.14,$8.0,BKN 3,POR 2,generated,1
Jamal Shead (38097937),Anthony Edwards (38097762),Deni Avdija (38097821),Cameron Johnson (38097858),Nic Claxton (38097877),Cason Wallace (38097999),Shaedon Sharpe (38097842),Onyeka Okongwu (38097812),285.51,274.14,371.97,49900,0.07%,4.21%,266.2%,45.75%,172.11,$8.0,POR 2,BKN 2,generated,1
