Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
ty jerome,PG/G/UTIL,CLE,28.78%,0.02%,1.46%,16.35%,25.72%,$0.52
kevon looney,C/UTIL,GSW,28.03%,0.02%,1.41%,8.76%,21.16%,$0.43
alperen sengun,C/UTIL,HOU,28.68%,0.02%,1.38%,12.75%,22.34%,$0.26
dennis schroder,PG/SG/G/UTIL,GSW,28.72%,0.02%,1.3%,18.64%,17.2%,$0.15
jalen duren,C/UTIL,DET,26.19%,0.02%,1.25%,6.36%,12.65%,$0.03
nick richards,C/UTIL,PHX,26.66%,0.02%,1.24%,5.46%,10.44%,$0.01
jaylen brown,SF/SG/G/F/UTIL,BOS,27.74%,0.01%,1.23%,14.75%,8.1%,$-0.07
onyeka okongwu,C/UTIL,ATL,25.35%,0.02%,1.19%,4.91%,9.68%,$-0.1
santi aldama,PF/F/UTIL,MEM,26.0%,0.02%,1.21%,8.68%,8.74%,$-0.11
jalen brunson,PG/G/UTIL,NYK,28.31%,0.01%,1.2%,21.34%,25.42%,$-0.12
darius garland,PG/G/UTIL,CLE,27.06%,0.01%,1.18%,16.55%,17.78%,$-0.19
andrew wiggins,PF/SF/F/UTIL,GSW,27.05%,0.01%,1.17%,14.25%,8.92%,$-0.21
kevin durant,PF/F/UTIL,PHX,25.71%,0.02%,1.19%,8.12%,7.95%,$-0.21
donovan mitchell,PG/SG/G/UTIL,CLE,27.06%,0.01%,1.18%,20.44%,15.51%,$-0.22
stephen curry,PG/G/UTIL,GSW,25.58%,0.02%,1.17%,8.11%,9.6%,$-0.22
jarrett allen,C/UTIL,CLE,27.97%,0.01%,1.12%,26.85%,48.42%,$-0.31
trayce jackson-davis,C/UTIL,GSW,24.38%,0.02%,1.1%,3.15%,5.59%,$-0.34
julius randle,C/PF/F/UTIL,MIN,26.93%,0.01%,1.09%,21.34%,14.25%,$-0.4
moses moody,SF/SG/G/F/UTIL,GSW,26.11%,0.01%,1.09%,23.49%,16.7%,$-0.43
jaren jackson jr.,C/PF/F/UTIL,MEM,25.5%,0.01%,1.09%,12.94%,8.62%,$-0.44
caris levert,PG/SG/G/UTIL,CLE,27.1%,0.01%,1.06%,56.94%,65.2%,$-0.47
trae young,PG/G/UTIL,ATL,25.16%,0.01%,1.07%,8.23%,8.95%,$-0.48
ja morant,PG/G/UTIL,MEM,24.6%,0.01%,1.08%,10.13%,10.74%,$-0.5
kristaps porzingis,C/UTIL,BOS,24.13%,0.01%,1.06%,5.29%,8.12%,$-0.5
georges niang,PF/SF/F/UTIL,CLE,25.92%,0.01%,1.04%,31.61%,27.29%,$-0.56
tari eason,PF/F/UTIL,HOU,23.85%,0.01%,1.04%,5.29%,5.05%,$-0.56
rob dillingham,PG/G/UTIL,MIN,25.34%,0.02%,1.07%,0.04%,0.05%,$-0.58
naz reid,C/PF/F/UTIL,MIN,26.28%,0.01%,1.01%,42.35%,36.34%,$-0.61
tobias harris,PF/F/UTIL,DET,25.71%,0.01%,0.99%,8.59%,8.59%,$-0.65
karl-anthony towns,C/UTIL,NYK,24.48%,0.01%,1.02%,12.91%,23.74%,$-0.66
max strus,SF/SG/G/F/UTIL,CLE,25.52%,0.01%,0.97%,42.86%,34.75%,$-0.73
dean wade,PF/SF/F/UTIL,CLE,25.0%,0.01%,0.98%,18.47%,13.88%,$-0.74
gary payton ii,SF/F/UTIL,GSW,23.42%,0.01%,0.95%,1.1%,1.21%,$-0.75
jaden mcdaniels,SF/F/UTIL,MIN,24.99%,0.01%,0.95%,13.23%,13.88%,$-0.8
jayson tatum,PF/SF/F/UTIL,BOS,25.16%,0.01%,0.92%,25.1%,16.09%,$-0.85
anthony edwards,SG/G/UTIL,MIN,25.19%,0.01%,0.91%,21.11%,25.57%,$-0.86
cade cunningham,PG/G/UTIL,DET,24.0%,0.01%,0.93%,15.02%,12.39%,$-0.87
rudy gobert,C/UTIL,MIN,24.61%,0.01%,0.9%,11.74%,23.67%,$-0.91
ryan dunn,PF/SF/F/UTIL,PHX,23.31%,0.01%,0.89%,4.3%,3.31%,$-0.95
desmond bane,SG/G/UTIL,MEM,22.79%,0.01%,0.87%,5.66%,5.73%,$-0.99
devin booker,PG/SG/G/UTIL,PHX,23.55%,0.01%,0.88%,15.69%,12.01%,$-0.99
og anunoby,PF/SF/F/UTIL,NYK,24.62%,0.01%,0.86%,19.69%,13.16%,$-1.03
mikal bridges,SF/SG/G/F/UTIL,NYK,24.81%,0.01%,0.85%,25.61%,16.07%,$-1.03
isaiah stewart,C/UTIL,DET,22.85%,0.01%,0.83%,3.17%,4.59%,$-1.09
ausar thompson,PF/SF/F/UTIL,DET,22.46%,0.01%,0.83%,7.03%,4.91%,$-1.12
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,22.54%,0.01%,0.82%,10.37%,7.02%,$-1.17
clint capela,C/UTIL,ATL,21.19%,0.01%,0.79%,1.44%,2.23%,$-1.17
mike conley,PG/G/UTIL,MIN,22.46%,0.01%,0.8%,7.09%,10.03%,$-1.18
tim hardaway jr.,SF/SG/G/F/UTIL,DET,22.87%,0.01%,0.78%,5.9%,3.44%,$-1.24
josh hart,PF/SF/F/UTIL,NYK,23.71%,0.01%,0.77%,18.4%,11.82%,$-1.25
jrue holiday,PG/SG/G/UTIL,BOS,22.65%,0.01%,0.78%,7.66%,6.49%,$-1.25
jalen johnson,PF/F/UTIL,ATL,21.33%,0.01%,0.78%,4.91%,4.45%,$-1.25
dillon brooks,PF/F/UTIL,HOU,23.31%,0.01%,0.78%,3.21%,3.02%,$-1.25
bogdan bogdanovic,SF/SG/G/F/UTIL,ATL,21.88%,0.01%,0.75%,2.39%,1.53%,$-1.32
