Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
orlando robinson,C/UTIL,TOR,31.93%,0.02%,1.76%,0.09%,0.1%,$1.31
trae young,PG/G/UTIL,ATL,30.87%,0.01%,1.77%,6.57%,11.58%,$1.08
jalen duren,C/UTIL,DET,28.85%,0.01%,1.59%,5.66%,8.64%,$0.77
onyeka okongwu,C/UTIL,ATL,29.7%,0.01%,1.43%,10.13%,14.04%,$0.41
santi aldama,PF/F/UTIL,MEM,28.52%,0.01%,1.34%,12.2%,13.3%,$0.22
georges niang,PF/F/UTIL,ATL,28.84%,0.01%,1.31%,13.47%,12.6%,$0.18
alexandre sarr,C/UTIL,WAS,27.86%,0.01%,1.27%,3.8%,5.07%,$0.16
ausar thompson,PF/SF/F/UTIL,DET,27.02%,0.01%,1.26%,7.82%,5.3%,$0.11
zion williamson,PF/SF/F/UTIL,NOP,25.75%,0.01%,1.34%,9.51%,10.31%,$0.11
jarrett allen,C/UTIL,CLE,29.02%,0.01%,1.29%,15.21%,22.43%,$0.1
wendell carter jr.,C/UTIL,ORL,28.84%,0.01%,1.28%,16.47%,22.32%,$0.08
cole anthony,PG/SG/G/UTIL,ORL,29.68%,0.01%,1.26%,60.34%,66.92%,$0.07
kelly olynyk,C/PF/F/UTIL,NOP,27.95%,0.01%,1.25%,23.59%,14.44%,$0.0
vince williams jr.,SF/SG/G/F/UTIL,MEM,28.16%,0.01%,1.23%,42.63%,21.32%,$-0.02
karlo matkovic,C/PF/F/UTIL,NOP,26.44%,0.01%,1.14%,0.21%,0.1%,$-0.08
zaccharie risacher,PF/SF/F/UTIL,ATL,26.75%,0.01%,1.17%,11.33%,7.15%,$-0.11
kyshawn george,PF/F/UTIL,WAS,28.04%,0.01%,1.15%,10.56%,11.76%,$-0.16
caris levert,SF/SG/G/F/UTIL,ATL,27.11%,0.01%,1.16%,17.32%,10.79%,$-0.17
donovan mitchell,PG/SG/G/UTIL,CLE,25.8%,0.01%,1.15%,10.21%,11.32%,$-0.19
nikola jovic,C/PF/F/UTIL,MIA,27.03%,0.01%,1.12%,8.04%,5.01%,$-0.22
brandon clarke,C/PF/F/UTIL,MEM,25.23%,0.01%,1.07%,1.43%,0.86%,$-0.22
cade cunningham,PG/G/UTIL,DET,26.12%,0.01%,1.14%,12.26%,21.32%,$-0.25
darius garland,PG/G/UTIL,CLE,25.14%,0.01%,1.11%,7.78%,10.9%,$-0.26
rj barrett,SF/SG/G/F/UTIL,TOR,27.46%,0.01%,1.09%,27.36%,20.88%,$-0.28
dyson daniels,SG/G/UTIL,ATL,26.03%,0.01%,1.03%,7.92%,10.06%,$-0.38
jonathan isaac,C/PF/F/UTIL,ORL,24.49%,0.01%,1.03%,4.25%,1.78%,$-0.38
evan mobley,C/PF/F/UTIL,CLE,25.86%,0.01%,1.04%,14.91%,14.0%,$-0.4
paolo banchero,PF/F/UTIL,ORL,27.18%,0.01%,1.04%,23.07%,39.45%,$-0.4
