Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
elfrid payton,PG/G/UTIL,CHA,37.2%,0.01%,1.96%,0.11%,0.1%,$0.49
thomas bryant,C/UTIL,IND,36.37%,0.01%,1.76%,16.5%,37.2%,$0.3
jared butler,PG/G/UTIL,PHI,35.12%,0.01%,1.73%,23.25%,27.68%,$0.28
simone fontecchio,PF/F/UTIL,DET,25.79%,0.01%,1.66%,0.01%,0.01%,$0.26
mouhamed gueye,PF/F/UTIL,ATL,33.18%,0.01%,1.62%,14.7%,19.65%,$0.21
cameron payne,PG/SG/G/UTIL,NYK,30.81%,0.01%,1.48%,0.19%,0.13%,$0.14
bol bol,PF/F/UTIL,PHX,32.62%,0.01%,1.47%,19.06%,25.59%,$0.13
pascal siakam,PF/F/UTIL,IND,32.2%,0.01%,1.48%,8.36%,10.21%,$0.13
stephen curry,PG/G/UTIL,GSW,31.49%,0.01%,1.46%,5.38%,5.79%,$0.12
tidjane salaun,PF/SF/F/UTIL,CHA,31.03%,0.01%,1.37%,5.47%,4.32%,$0.08
quentin grimes,SF/SG/G/F/UTIL,PHI,31.59%,0.01%,1.36%,5.43%,3.06%,$0.07
lebron james,PF/SF/F/UTIL,LAL,30.39%,0.01%,1.35%,10.29%,7.96%,$0.04
jalen brunson,PG/G/UTIL,NYK,30.62%,0.01%,1.26%,10.49%,11.69%,$0.01
jordan goodwin,PG/SG/G/UTIL,LAL,29.6%,0.01%,1.27%,11.08%,7.86%,$0.0
day'ron sharpe,C/UTIL,BKN,28.27%,0.01%,1.22%,1.39%,3.41%,$-0.01
alperen sengun,C/UTIL,HOU,28.23%,0.01%,1.21%,6.9%,13.51%,$-0.04
donovan mitchell,PG/SG/G/UTIL,CLE,28.65%,0.01%,1.17%,7.75%,5.41%,$-0.05
kyle kuzma,PF/SF/F/UTIL,MIL,29.62%,0.0%,1.16%,5.49%,4.04%,$-0.05
rj barrett,SF/SG/G/F/UTIL,TOR,29.04%,0.01%,1.15%,10.66%,5.95%,$-0.06
jordan poole,PG/G/UTIL,WAS,29.33%,0.0%,1.14%,9.07%,9.67%,$-0.06
darius garland,PG/G/UTIL,CLE,28.29%,0.01%,1.16%,4.12%,4.53%,$-0.06
nikola jokic,C/UTIL,DEN,27.75%,0.01%,1.2%,10.96%,12.41%,$-0.07
dalano banton,PG/SG/G/UTIL,POR,28.14%,0.01%,1.16%,10.46%,7.94%,$-0.07
jalen duren,C/UTIL,DET,27.58%,0.01%,1.15%,3.49%,6.73%,$-0.07
bobby portis,C/PF/F/UTIL,MIL,28.57%,0.01%,1.14%,9.94%,8.53%,$-0.08
trae young,PG/G/UTIL,ATL,27.52%,0.01%,1.1%,2.57%,3.06%,$-0.08
anthony edwards,PG/SG/G/UTIL,MIN,29.24%,0.0%,1.13%,13.35%,10.02%,$-0.08
franz wagner,SF/F/UTIL,ORL,27.86%,0.01%,1.1%,2.62%,2.94%,$-0.08
al horford,C/PF/F/UTIL,BOS,29.47%,0.0%,1.11%,9.97%,9.07%,$-0.08
kevin porter jr.,PG/SG/G/UTIL,MIL,27.62%,0.01%,1.13%,4.69%,3.44%,$-0.08
isaiah hartenstein,C/UTIL,OKC,28.31%,0.01%,1.11%,4.08%,8.13%,$-0.08
tyrese haliburton,PG/G/UTIL,IND,28.79%,0.0%,1.1%,5.32%,6.04%,$-0.08
zion williamson,PF/F/UTIL,NOP,25.64%,0.01%,1.18%,4.45%,5.57%,$-0.08
nick smith jr.,SF/SG/G/F/UTIL,CHA,29.28%,0.0%,1.1%,16.11%,9.62%,$-0.09
cam whitmore,SF/SG/G/F/UTIL,HOU,28.21%,0.01%,1.12%,7.32%,4.14%,$-0.09
anfernee simons,PG/SG/G/UTIL,POR,28.44%,0.0%,1.09%,5.12%,3.56%,$-0.09
karl-anthony towns,C/UTIL,NYK,28.92%,0.0%,1.09%,10.65%,21.15%,$-0.09
kristaps porzingis,C/UTIL,BOS,27.96%,0.01%,1.1%,5.4%,11.19%,$-0.1
caris levert,SF/SG/G/F/UTIL,ATL,28.72%,0.0%,1.09%,11.07%,6.23%,$-0.1
jarrett allen,C/UTIL,CLE,28.26%,0.0%,1.08%,5.32%,10.38%,$-0.1
sam hauser,PF/SF/F/UTIL,BOS,28.29%,0.0%,1.09%,5.21%,4.04%,$-0.1
cade cunningham,PG/G/UTIL,DET,28.01%,0.0%,1.09%,11.21%,12.29%,$-0.11
jalen williams,PF/SF/F/UTIL,OKC,27.86%,0.0%,1.08%,7.04%,4.91%,$-0.11
jusuf nurkic,C/UTIL,CHA,27.47%,0.01%,1.08%,5.47%,12.66%,$-0.11
onyeka okongwu,C/UTIL,ATL,27.48%,0.01%,1.04%,2.47%,4.38%,$-0.12
domantas sabonis,C/UTIL,SAC,27.81%,0.0%,1.03%,6.6%,12.85%,$-0.13
tyus jones,PG/G/UTIL,PHX,28.51%,0.0%,1.03%,7.64%,9.3%,$-0.13
gradey dick,SG/G/UTIL,TOR,27.97%,0.0%,1.02%,9.68%,10.01%,$-0.14
rob dillingham,PG/G/UTIL,MIN,27.06%,0.0%,1.02%,4.3%,5.37%,$-0.14
jalen smith,C/UTIL,CHI,25.99%,0.01%,1.02%,1.94%,4.65%,$-0.14
jayson tatum,PF/SF/F/UTIL,BOS,28.46%,0.0%,0.99%,20.84%,17.24%,$-0.15
jimmy butler,PF/SF/F/UTIL,GSW,27.27%,0.0%,1.01%,6.4%,4.7%,$-0.15
aaron wiggins,PF/SF/F/UTIL,OKC,27.54%,0.0%,1.0%,7.75%,6.0%,$-0.15
malik monk,PG/SG/G/UTIL,SAC,27.9%,0.0%,0.97%,12.23%,8.52%,$-0.16
ausar thompson,PF/SF/F/UTIL,DET,26.5%,0.0%,1.01%,4.22%,3.08%,$-0.16
naz reid,C/PF/F/UTIL,MIN,28.06%,0.0%,0.96%,4.15%,3.53%,$-0.16
keyonte george,PG/G/UTIL,UTA,27.53%,0.0%,0.99%,3.02%,3.35%,$-0.16
rudy gobert,C/UTIL,MIN,28.01%,0.0%,0.96%,1.56%,3.21%,$-0.16
kyshawn george,PF/F/UTIL,WAS,27.84%,0.0%,0.97%,6.25%,8.28%,$-0.17
evan mobley,C/PF/F/UTIL,CLE,26.53%,0.0%,0.97%,4.67%,4.19%,$-0.17
jamal shead,PG/G/UTIL,TOR,23.69%,0.0%,0.79%,0.01%,0.01%,$-0.18
bennedict mathurin,SF/F/UTIL,IND,25.91%,0.0%,0.94%,1.32%,1.42%,$-0.19
precious achiuwa,C/PF/F/UTIL,NYK,28.56%,0.0%,0.9%,0.45%,0.38%,$-0.19
tyrese martin,SG/G/UTIL,BKN,28.3%,0.0%,1.04%,0.08%,0.1%,$-0.19
paolo banchero,PF/F/UTIL,ORL,26.39%,0.0%,0.93%,7.61%,9.54%,$-0.2
scottie barnes,PG/SF/G/F/UTIL,TOR,26.39%,0.0%,0.93%,7.83%,4.75%,$-0.2
john collins,C/PF/F/UTIL,UTA,25.94%,0.0%,0.92%,5.5%,4.67%,$-0.2
draymond green,C/PF/F/UTIL,GSW,26.74%,0.0%,0.89%,5.64%,4.53%,$-0.21
jalen green,SG/G/UTIL,HOU,26.41%,0.0%,0.89%,1.89%,1.91%,$-0.21
tari eason,PF/F/UTIL,HOU,26.08%,0.0%,0.91%,1.79%,2.18%,$-0.21
shai gilgeous-alexander,PG/G/UTIL,OKC,24.67%,0.0%,0.94%,6.89%,6.56%,$-0.21
gary trent jr.,SF/SG/G/F/UTIL,MIL,26.08%,0.0%,0.92%,1.68%,0.94%,$-0.21
karlo matkovic,C/PF/F/UTIL,NOP,26.05%,0.0%,0.88%,4.46%,3.94%,$-0.22
buddy hield,SG/G/UTIL,GSW,25.68%,0.0%,0.9%,2.65%,2.73%,$-0.22
payton pritchard,PG/SG/G/UTIL,BOS,25.97%,0.0%,0.87%,5.94%,4.17%,$-0.23
alexandre sarr,C/UTIL,WAS,25.18%,0.0%,0.88%,1.62%,3.37%,$-0.23
derrick white,PG/SG/G/UTIL,BOS,26.57%,0.0%,0.85%,5.03%,3.51%,$-0.24
zach lavine,SF/SG/G/F/UTIL,SAC,26.18%,0.0%,0.86%,9.81%,5.24%,$-0.24
josh hart,PF/SF/F/UTIL,NYK,26.01%,0.0%,0.85%,4.01%,2.98%,$-0.24
pj washington,PF/SF/F/UTIL,DAL,26.09%,0.0%,0.85%,4.21%,3.0%,$-0.24
luke kornet,C/UTIL,BOS,25.37%,0.0%,0.86%,1.01%,2.86%,$-0.24
corey kispert,SF/SG/G/F/UTIL,WAS,25.68%,0.0%,0.84%,4.27%,2.36%,$-0.25
donovan clingan,C/UTIL,POR,25.28%,0.0%,0.84%,2.94%,6.86%,$-0.25
andrew nembhard,PG/SG/G/UTIL,IND,25.92%,0.0%,0.84%,4.47%,3.01%,$-0.25
keegan murray,PF/F/UTIL,SAC,26.01%,0.0%,0.85%,1.44%,1.83%,$-0.25
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,25.93%,0.0%,0.83%,8.55%,5.08%,$-0.26
royce o'neale,PF/SF/F/UTIL,PHX,25.95%,0.0%,0.84%,7.52%,5.82%,$-0.26
keon ellis,PG/SG/G/UTIL,SAC,25.71%,0.0%,0.83%,4.6%,3.31%,$-0.26
devin vassell,SF/SG/G/F/UTIL,SAS,25.82%,0.0%,0.83%,3.13%,1.6%,$-0.26
max christie,SF/SG/G/F/UTIL,DAL,26.42%,0.0%,0.82%,2.04%,1.18%,$-0.26
olivier-maxence prosper,PF/F/UTIL,DAL,24.88%,0.0%,0.92%,0.06%,0.1%,$-0.26
trendon watford,C/PF/F/UTIL,BKN,24.25%,0.0%,0.82%,2.16%,1.92%,$-0.27
bilal coulibaly,SF/SG/G/F/UTIL,WAS,25.74%,0.0%,0.8%,2.08%,1.11%,$-0.27
jaden mcdaniels,SF/F/UTIL,MIN,25.95%,0.0%,0.78%,0.98%,1.03%,$-0.27
dyson daniels,SG/G/UTIL,ATL,25.12%,0.0%,0.81%,1.05%,0.97%,$-0.27
t.j. mcconnell,PG/G/UTIL,IND,23.68%,0.0%,0.81%,5.02%,5.84%,$-0.28
matas buzelis,PF/F/UTIL,CHI,25.1%,0.0%,0.8%,5.29%,6.93%,$-0.28
alec burks,PG/SG/G/UTIL,MIA,25.05%,0.0%,0.81%,3.89%,3.0%,$-0.28
michael porter jr.,PF/SF/F/UTIL,DEN,24.53%,0.0%,0.81%,2.33%,1.77%,$-0.28
kevin durant,C/PF/F/UTIL,PHX,24.33%,0.0%,0.79%,2.91%,2.52%,$-0.28
josh giddey,PG/G/UTIL,CHI,23.8%,0.0%,0.8%,1.83%,1.92%,$-0.29
immanuel quickley,PG/G/UTIL,TOR,24.71%,0.0%,0.78%,6.24%,7.01%,$-0.29
kelly oubre jr.,SG/G/UTIL,PHI,25.19%,0.0%,0.77%,1.4%,1.32%,$-0.29
demar derozan,SF/F/UTIL,SAC,24.29%,0.0%,0.78%,0.71%,0.71%,$-0.29
naji marshall,PF/SF/F/UTIL,DAL,24.69%,0.0%,0.78%,1.64%,1.14%,$-0.29
brandin podziemski,PG/SG/G/UTIL,GSW,24.19%,0.0%,0.78%,3.87%,2.74%,$-0.3
