Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Jaylen Clark,SG/G/UTIL,MIN,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
DaQuan Jeffries,PF/F/UTIL,CHA,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Rob Dillingham,PG/G/UTIL,MIN,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
DeAndre Jordan,C/UTIL,DEN,7.74,5.02,0.0%,0.0%,0.02%,0.1%,$-9.07,48
Reggie Jackson,PG/G/UTIL,PHI,8.069383680555555,5.320314391741109,0.0%,0.0%,0.02%,0.1%,$-9.07,41
Jonathan Mogbo,C/PF/F/UTIL,TOR,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Drew Eubanks,C/UTIL,UTA,18.32,9.24,0.0%,0.0%,0.02%,0.12%,$-9.07,48
Patty Mills,PG/G/UTIL,UTA,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Harrison Ingram,PF/F/UTIL,SAS,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Gary Harris,SF/SG/G/F/UTIL,ORL,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Ja'Kobe Walter,SG/G/UTIL,TOR,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Dante Exum,SF/F/UTIL,DAL,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Kobe Bufkin,PG/G/UTIL,ATL,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Brandon Ingram,PG/G/UTIL,NOP,0,0.0,0.0%,0.0%,0.02%,0.08%,$-9.07,48
Marcus Smart,SG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Jesse Edwards,C/UTIL,MIN,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Yuki Kawamura,PG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Zeke Nnaji,C/UTIL,DEN,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Cam Spencer,PG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Gary Trent Jr.,SF/SG/G/F/UTIL,MIL,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Cory Joseph,PG/G/UTIL,ORL,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Joe Ingles,PF/F/UTIL,MIN,0,0.0,0.0%,0.0%,0.02%,0.03%,$-9.07,48
Kyle Anderson,PF/F/UTIL,GSW,0,0.0,0.0%,0.0%,0.02%,0.04%,$-9.07,48
