Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
lebron james,PF/SF/F/UTIL,LAL,0.22%,0.0%,0.0%,4.2%,0.1%,$6.47
pascal siakam,PF/F/UTIL,IND,0.79%,0.0%,0.0%,0.08%,0.08%,$4.56
josh giddey,PG/G/UTIL,CHI,0.79%,0.0%,0.0%,0.08%,0.08%,$4.55
ja morant,PG/G/UTIL,MEM,0.5%,0.0%,0.0%,0.08%,0.09%,$4.52
amen thompson,PG/SF/G/F/UTIL,HOU,0.66%,0.0%,0.0%,0.12%,0.08%,$4.19
paul george,PF/SF/F/UTIL,PHI,0.84%,0.0%,0.0%,0.11%,0.08%,$3.94
jalen brunson,PG/G/UTIL,NYK,0.62%,0.0%,0.0%,0.09%,0.09%,$3.71
tyrese maxey,PG/G/UTIL,PHI,0.57%,0.0%,0.0%,0.09%,0.09%,$3.56
jonathan kuminga,PF/F/UTIL,GSW,20.22%,0.0%,1.2%,2.6%,3.34%,$2.5
rj barrett,SF/SG/G/F/UTIL,TOR,1.07%,0.0%,0.0%,0.12%,0.08%,$2.18
collin sexton,PG/SG/G/UTIL,UTA,2.2%,0.0%,0.01%,0.05%,0.06%,$2.06
jordan poole,PG/G/UTIL,WAS,21.23%,0.0%,1.24%,2.55%,3.15%,$2.02
scottie barnes,PG/SF/G/F/UTIL,TOR,20.08%,0.0%,1.21%,3.76%,2.39%,$1.82
tristen newton,PG/G/UTIL,MIN,5.29%,0.0%,0.07%,0.01%,0.03%,$1.8
t.j. mcconnell,PG/G/UTIL,IND,18.33%,0.0%,0.97%,1.01%,1.69%,$1.64
scotty pippen jr.,PG/G/UTIL,MEM,22.84%,0.0%,1.34%,10.02%,14.95%,$1.59
immanuel quickley,PG/G/UTIL,TOR,20.88%,0.0%,1.16%,2.44%,3.04%,$1.57
jalen duren,C/UTIL,DET,20.14%,0.0%,1.14%,3.16%,4.39%,$1.56
donovan clingan,C/UTIL,POR,23.21%,0.0%,1.33%,6.14%,9.26%,$1.55
tyus jones,PG/G/UTIL,PHX,24.23%,0.0%,1.4%,12.53%,19.0%,$1.49
ricky council iv,PF/SF/F/UTIL,PHI,23.32%,0.0%,1.33%,8.79%,8.22%,$1.47
nick richards,C/UTIL,PHX,19.85%,0.0%,1.07%,3.43%,5.72%,$1.4
santi aldama,PF/F/UTIL,MEM,1.58%,0.0%,0.0%,0.06%,0.06%,$1.39
nikola vucevic,C/UTIL,CHI,24.22%,0.0%,1.38%,10.61%,13.91%,$1.3
jordan goodwin,SF/SG/G/F/UTIL,LAL,24.03%,0.0%,1.35%,22.81%,18.24%,$1.23
brice sensabaugh,SF/F/UTIL,UTA,22.18%,0.0%,1.23%,9.01%,14.22%,$1.14
jared butler,PG/SG/G/UTIL,PHI,20.82%,0.0%,1.16%,5.45%,4.57%,$1.14
zion williamson,PF/SF/F/UTIL,NOP,17.29%,0.0%,1.01%,4.97%,4.18%,$1.09
alexandre sarr,C/UTIL,WAS,22.02%,0.0%,1.18%,2.14%,3.07%,$1.06
alperen sengun,C/UTIL,HOU,22.36%,0.0%,1.28%,7.84%,9.18%,$1.01
scoot henderson,PG/G/UTIL,POR,21.44%,0.0%,1.16%,6.0%,8.31%,$1.01
brandon clarke,C/UTIL,MEM,20.28%,0.0%,1.05%,1.23%,2.27%,$0.99
stephen curry,PG/G/UTIL,GSW,20.95%,0.0%,1.14%,3.86%,4.05%,$0.89
stephon castle,PG/SG/G/UTIL,SAS,22.39%,0.0%,1.23%,12.68%,10.41%,$0.88
ryan dunn,PF/SF/F/UTIL,PHX,23.61%,0.0%,1.29%,28.84%,30.81%,$0.85
cade cunningham,PG/G/UTIL,DET,23.41%,0.0%,1.27%,15.16%,15.74%,$0.69
gary payton ii,SF/SG/G/F/UTIL,GSW,20.16%,0.0%,1.05%,7.02%,5.54%,$0.63
obi toppin,C/PF/F/UTIL,IND,22.15%,0.0%,1.17%,20.15%,17.55%,$0.62
rudy gobert,C/UTIL,MIN,21.94%,0.0%,1.14%,3.72%,5.53%,$0.58
adem bona,C/UTIL,PHI,3.41%,0.0%,0.02%,0.03%,0.05%,$0.54
jamison battle,SF/F/UTIL,TOR,22.01%,0.0%,1.14%,3.04%,4.58%,$0.5
bilal coulibaly,SF/F/UTIL,WAS,2.06%,0.0%,0.01%,0.04%,0.06%,$0.48
justin champagnie,PF/SF/F/UTIL,WAS,23.16%,0.0%,1.21%,22.58%,22.08%,$0.45
