PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
LaMelo Ball (37654739),Gradey Dick (37655002),Zaccharie Risacher (37654970),Chris Boucher (37655147),Richaun Holmes (37655113),Cade Cunningham (37654736),Scottie Barnes (37654750),Moussa Diabate (37655000),302.56,276.28999999999996,399.25,49700,0.24%,7.4%,712.8%,54.63%,169.8,$21.4,TOR 3,CHA 2,generated,1
Jordan Poole (37654812),Vit Krejci (37654976),Kyle Kuzma (37654842),Giannis Antetokounmpo (37654727),Moussa Diabate (37655000),Trae Young (37654747),Chris Boucher (37655147),Richaun Holmes (37655113),303.82,281.6,400.88,50000,0.16%,6.67%,565.2%,56.74%,188.89,$17.0,WAS 2,ATL 2,generated,1
Shai Gilgeous-Alexander (37654733),Garrison Mathews (37655081),Scottie Barnes (37654750),Tidjane Salaun (37655210),Moussa Diabate (37655000),Gradey Dick (37655002),Giannis Antetokounmpo (37654727),Tristan Vukcevic (37655242),296.12,270.74,397.66,50000,0.18%,5.71%,547.5%,46.62%,159.2,$16.4,TOR 2,CHA 2,generated,1
Jordan Poole (37654812),Carlton Carrington (37655159),Scottie Barnes (37654750),Tidjane Salaun (37655210),Tristan Vukcevic (37655242),Shai Gilgeous-Alexander (37654733),Chris Boucher (37655147),Cade Cunningham (37654736),298.21,279.58000000000004,400.22999999999996,49800,0.16%,5.7%,502.0%,49.1%,199.45,$15.1,WAS 3,TOR 2,generated,1
Trae Young (37654747),Keon Johnson (37654900),Zaccharie Risacher (37654970),Tidjane Salaun (37655210),Moussa Diabate (37655000),Scottie Barnes (37654750),Bam Adebayo (37654779),Onyeka Okongwu (37654833),301.95,276.15999999999997,393.76000000000005,50000,0.13%,6.03%,464.1%,53.7%,165.39999999999998,$13.9,ATL 3,CHA 2,generated,1
Keon Johnson (37654900),Bilal Coulibaly (37654868),Kyshawn George (37655072),Giannis Antetokounmpo (37654727),Moussa Diabate (37655000),Trae Young (37654747),Chris Boucher (37655147),Onyeka Okongwu (37654833),304.71999999999997,281.73,400.27000000000004,49700,0.14%,6.46%,463.2%,58.14%,200.2,$13.9,WAS 2,ATL 2,generated,1
Jordan Poole (37654812),Gradey Dick (37655002),Ja'Kobe Walter (37655039),Giannis Antetokounmpo (37654727),Richaun Holmes (37655113),Trae Young (37654747),Chris Boucher (37655147),Onyeka Okongwu (37654833),306.32,289.0,407.09,49700,0.11%,7.25%,446.2%,60.67%,243.7,$13.4,TOR 3,WAS 2,generated,1
Jordan Poole (37654812),Gradey Dick (37655002),Jalen Williams (37654783),Bobby Portis (37654864),Moussa Diabate (37655000),Scottie Barnes (37654750),Nikola Jovic (37654889),Onyeka Okongwu (37654833),298.31,276.00000000000006,390.41,49500,0.15%,5.28%,430.4%,49.11%,172.99,$12.9,TOR 2,WAS 1,generated,1
Shai Gilgeous-Alexander (37654733),Devin Vassell (37654818),Bilal Coulibaly (37654868),Bam Adebayo (37654779),Tristan Vukcevic (37655242),Scottie Barnes (37654750),Chris Boucher (37655147),Richaun Holmes (37655113),295.35,273.68,393.75,49900,0.14%,4.76%,409.7%,45.6%,147.54999999999998,$12.3,WAS 3,TOR 2,generated,1
Jordan Poole (37654812),Bilal Coulibaly (37654868),Scottie Barnes (37654750),Jonathan Mogbo (37655191),Moussa Diabate (37655000),Trae Young (37654747),Aaron Wiggins (37654921),Onyeka Okongwu (37654833),305.13,278.08000000000004,395.44,49600,0.09%,6.66%,408.1%,58.21%,176.87,$12.2,WAS 2,TOR 2,generated,1
Trae Young (37654747),Bilal Coulibaly (37654868),Zaccharie Risacher (37654970),Tidjane Salaun (37655210),Richaun Holmes (37655113),Scottie Barnes (37654750),Bam Adebayo (37654779),Onyeka Okongwu (37654833),302.94,280.12,394.92,49700,0.11%,6.24%,405.6%,55.09%,189.06,$12.2,ATL 3,WAS 2,generated,1
Jordan Poole (37654812),Bilal Coulibaly (37654868),Kyshawn George (37655072),Nikola Jovic (37654889),Tristan Vukcevic (37655242),Cade Cunningham (37654736),Chris Boucher (37655147),Giannis Antetokounmpo (37654727),302.15000000000003,281.58000000000004,400.1,50000,0.1%,6.07%,388.4%,54.42%,202.76,$11.7,WAS 4,MIA 1,generated,1
Jordan Poole (37654812),Carlton Carrington (37655159),Bilal Coulibaly (37654868),Dominick Barlow (37655282),Jarrett Allen (37654823),Trae Young (37654747),Scottie Barnes (37654750),Onyeka Okongwu (37654833),298.71,276.14,392.82000000000005,50000,0.13%,4.72%,372.0%,49.75%,164.64,$11.2,WAS 3,ATL 3,generated,1
Trae Young (37654747),Gradey Dick (37655002),Zaccharie Risacher (37654970),Tidjane Salaun (37655210),Tristan Vukcevic (37655242),Shai Gilgeous-Alexander (37654733),Jonathan Mogbo (37655191),Giannis Antetokounmpo (37654727),295.15000000000003,275.8,396.94,50000,0.12%,4.9%,369.2%,45.14%,186.31,$11.1,ATL 2,TOR 2,generated,1
LaMelo Ball (37654739),Garrison Mathews (37655081),Zaccharie Risacher (37654970),Giannis Antetokounmpo (37654727),Richaun Holmes (37655113),Jordan Poole (37654812),Jonathan Mogbo (37655191),Jalen Duren (37654835),292.79999999999995,274.07000000000005,388.99,49900,0.13%,4.22%,364.3%,42.61%,157.70999999999998,$10.9,ATL 2,WAS 2,generated,1
Jordan Poole (37654812),Ja'Kobe Walter (37655039),Bilal Coulibaly (37654868),Nikola Jovic (37654889),Richaun Holmes (37655113),Cade Cunningham (37654736),Jalen Williams (37654783),Onyeka Okongwu (37654833),299.75,277.68,388.26000000000005,49800,0.1%,5.59%,362.3%,50.96%,176.82999999999998,$10.9,WAS 3,TOR 1,generated,1
Trae Young (37654747),Carlton Carrington (37655159),Scottie Barnes (37654750),Zaccharie Risacher (37654970),Onyeka Okongwu (37654833),Cade Cunningham (37654736),Jonathan Mogbo (37655191),Chris Boucher (37655147),301.43,279.53000000000003,400.68999999999994,49800,0.09%,5.78%,344.0%,52.98%,182.39,$10.3,ATL 3,TOR 3,generated,1
Jordan Poole (37654812),Gradey Dick (37655002),Aaron Wiggins (37654921),Giannis Antetokounmpo (37654727),Tristan Vukcevic (37655242),Trae Young (37654747),Jonathan Mogbo (37655191),Onyeka Okongwu (37654833),298.44,278.71000000000004,398.11,49800,0.1%,4.8%,330.1%,49.32%,201.75,$9.9,WAS 2,TOR 2,generated,1
Cade Cunningham (37654736),Vit Krejci (37654976),Scottie Barnes (37654750),Jonathan Mogbo (37655191),Moussa Diabate (37655000),Tyler Herro (37654776),Chris Boucher (37655147),Jarrett Allen (37654823),291.15,269.62,388.05000000000007,49700,0.11%,3.94%,327.1%,40.07%,118.29999999999998,$9.8,TOR 3,DET 1,generated,1
