Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
collin sexton,PG/SG/G/UTIL,UTA,32.29%,0.04%,1.88%,14.01%,10.57%,$1.36
jalen williams,PF/F/UTIL,OKC,29.83%,0.03%,1.46%,18.3%,13.62%,$0.42
isaiah hartenstein,C/UTIL,OKC,30.68%,0.02%,1.37%,26.02%,37.44%,$0.27
jonas valanciunas,C/UTIL,WAS,24.18%,0.04%,1.33%,2.3%,3.74%,$0.18
devin booker,PG/SG/G/UTIL,PHX,28.02%,0.02%,1.3%,18.57%,10.45%,$0.01
kristaps porzingis,C/UTIL,BOS,26.63%,0.03%,1.28%,6.78%,9.61%,$-0.01
shai gilgeous-alexander,PG/G/UTIL,OKC,30.68%,0.02%,1.16%,51.77%,44.21%,$-0.1
jarrett allen,C/UTIL,CLE,26.13%,0.03%,1.21%,7.65%,10.81%,$-0.16
drew eubanks,C/UTIL,UTA,26.1%,0.03%,1.17%,6.66%,20.82%,$-0.21
kevin durant,C/PF/F/UTIL,PHX,27.7%,0.02%,1.19%,21.63%,10.54%,$-0.22
ricky council iv,PF/SF/F/UTIL,PHI,27.77%,0.02%,1.17%,21.45%,25.54%,$-0.24
brice sensabaugh,PF/SF/F/UTIL,UTA,28.52%,0.02%,1.14%,45.77%,50.79%,$-0.25
kyle filipowski,C/PF/F/UTIL,UTA,28.26%,0.02%,1.11%,55.17%,75.44%,$-0.34
isaiah collier,PG/SG/G/UTIL,UTA,27.25%,0.02%,1.13%,20.82%,26.91%,$-0.35
jared butler,PG/G/UTIL,WAS,24.08%,0.03%,1.04%,0.64%,1.48%,$-0.35
aaron wiggins,PF/SF/F/UTIL,OKC,26.81%,0.02%,1.1%,19.28%,23.77%,$-0.39
cason wallace,PG/SG/G/UTIL,OKC,27.0%,0.02%,1.05%,30.28%,43.45%,$-0.51
kelly oubre jr.,SG/G/UTIL,PHI,27.04%,0.02%,1.05%,9.62%,12.37%,$-0.51
mark williams,C/UTIL,CHA,24.63%,0.02%,1.07%,8.06%,14.21%,$-0.55
goga bitadze,C/UTIL,ORL,23.2%,0.03%,1.01%,0.84%,1.43%,$-0.62
isaiah joe,SF/SG/G/F/UTIL,OKC,25.88%,0.02%,1.02%,16.72%,16.17%,$-0.63
svi mykhailiuk,SF/SG/G/F/UTIL,UTA,25.5%,0.02%,1.01%,20.12%,18.87%,$-0.66
cole anthony,PG/SG/G/UTIL,ORL,26.0%,0.02%,0.98%,33.05%,34.61%,$-0.68
luguentz dort,SF/SG/G/F/UTIL,OKC,26.28%,0.01%,0.98%,25.97%,21.27%,$-0.71
pascal siakam,PF/F/UTIL,IND,24.27%,0.02%,1.0%,6.58%,6.34%,$-0.71
micah potter,C/PF/F/UTIL,UTA,25.96%,0.02%,0.96%,16.77%,21.29%,$-0.73
jaylen brown,SF/SG/G/F/UTIL,BOS,25.07%,0.02%,0.95%,17.83%,7.87%,$-0.8
tyrese martin,SF/SG/G/F/UTIL,BKN,25.06%,0.02%,0.94%,8.76%,5.74%,$-0.81
paul george,SF/SG/G/F/UTIL,PHI,24.82%,0.02%,0.94%,16.33%,7.9%,$-0.82
myles turner,C/UTIL,IND,24.51%,0.02%,0.92%,3.99%,6.06%,$-0.83
keon johnson,PG/SG/G/UTIL,BKN,24.62%,0.01%,0.89%,8.06%,7.47%,$-0.92
bradley beal,SF/SG/G/F/UTIL,PHX,23.8%,0.01%,0.89%,6.63%,3.25%,$-0.98
andrew nembhard,PG/SG/G/UTIL,IND,24.61%,0.01%,0.87%,16.2%,17.45%,$-1.0
day'ron sharpe,C/UTIL,BKN,21.43%,0.02%,0.84%,2.07%,4.55%,$-1.04
jordan hawkins,SG/G/UTIL,NOP,26.17%,0.0%,0.63%,0.02%,0.07%,$-1.05
evan mobley,C/PF/F/UTIL,CLE,22.86%,0.01%,0.85%,13.29%,6.94%,$-1.07
grayson allen,SG/G/UTIL,PHX,23.52%,0.01%,0.81%,1.75%,2.85%,$-1.11
jayson tatum,PF/SF/F/UTIL,BOS,24.41%,0.01%,0.8%,32.8%,14.61%,$-1.12
miles bridges,PF/F/UTIL,CHA,22.45%,0.01%,0.82%,4.04%,4.0%,$-1.15
lamelo ball,PG/G/UTIL,CHA,22.38%,0.01%,0.83%,12.28%,7.6%,$-1.16
t.j. mcconnell,PG/G/UTIL,IND,21.75%,0.01%,0.82%,3.85%,9.37%,$-1.19
wendell carter jr.,C/UTIL,ORL,22.63%,0.01%,0.77%,1.45%,2.91%,$-1.19
derrick white,PG/SG/G/UTIL,BOS,23.41%,0.01%,0.8%,8.34%,6.33%,$-1.21
darius garland,PG/G/UTIL,CLE,21.58%,0.02%,0.81%,7.06%,6.94%,$-1.21
dejounte murray,PG/G/UTIL,NOP,21.84%,0.01%,0.77%,5.03%,4.03%,$-1.28
jrue holiday,PG/G/UTIL,BOS,23.2%,0.01%,0.76%,3.43%,4.26%,$-1.28
bennedict mathurin,SF/SG/G/F/UTIL,IND,22.63%,0.01%,0.77%,7.37%,4.6%,$-1.29
ziaire williams,SF/SG/G/F/UTIL,BKN,22.41%,0.01%,0.75%,4.91%,3.36%,$-1.3
anthony black,PG/G/UTIL,ORL,23.0%,0.01%,0.72%,0.34%,0.7%,$-1.3
max strus,SF/SG/G/F/UTIL,CLE,23.25%,0.01%,0.74%,11.42%,9.57%,$-1.31
ben simmons,PG/G/UTIL,BKN,20.33%,0.02%,0.75%,0.91%,1.24%,$-1.31
tyrese haliburton,PG/G/UTIL,IND,21.49%,0.01%,0.77%,6.49%,5.13%,$-1.32
kyle kuzma,PF/F/UTIL,WAS,21.51%,0.01%,0.75%,2.25%,2.39%,$-1.33
guerschon yabusele,C/PF/F/UTIL,PHI,23.46%,0.01%,0.73%,8.02%,6.38%,$-1.34
brandon boston jr.,SF/SG/G/F/UTIL,NOP,22.88%,0.01%,0.72%,0.74%,0.91%,$-1.34
tyrese maxey,PG/G/UTIL,PHI,21.76%,0.01%,0.75%,10.04%,6.56%,$-1.35
oso ighodaro,C/PF/F/UTIL,PHX,23.91%,0.01%,0.73%,0.72%,0.94%,$-1.35
jonathan isaac,C/PF/F/UTIL,ORL,21.75%,0.01%,0.71%,3.16%,3.8%,$-1.38
nic claxton,C/UTIL,BKN,20.33%,0.02%,0.72%,1.82%,2.77%,$-1.39
jose alvarado,PG/G/UTIL,NOP,22.85%,0.01%,0.66%,0.61%,1.16%,$-1.41
noah clowney,C/PF/F/UTIL,BKN,22.79%,0.01%,0.7%,7.45%,6.18%,$-1.42
dean wade,PF/SF/F/UTIL,CLE,23.0%,0.01%,0.85%,0.13%,0.27%,$-1.45
tristan da silva,PF/SF/F/UTIL,ORL,22.48%,0.01%,0.67%,2.09%,1.79%,$-1.49
kenrich williams,C/PF/F/UTIL,OKC,20.99%,0.01%,0.66%,3.8%,4.94%,$-1.53
daniel theis,C/UTIL,NOP,23.08%,0.01%,0.69%,0.05%,0.1%,$-1.56
donovan mitchell,PG/SG/G/UTIL,CLE,20.06%,0.01%,0.67%,8.14%,4.91%,$-1.58
tosan evbuomwan,PF/SF/F/UTIL,BKN,19.2%,0.01%,0.75%,0.07%,0.1%,$-1.58
jaylin williams,C/UTIL,OKC,21.4%,0.01%,0.62%,1.13%,3.65%,$-1.64
adem bona,C/UTIL,PHI,21.23%,0.01%,0.53%,0.07%,0.1%,$-1.67
