PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Josh Hart (38202376),Kel'el Ware (38202520),Scotty Pippen Jr. (38202583),Deni Avdija (38202392),Karl-Anthony Towns (38202292),305.96000000000004,396.95000000000005,50000,100.00%,49996,38258.81%,6182,238.44,$1530.35,NYK 3,DET 2,user21,1,marvalshot,17825,4674061296_21
Scotty Pippen Jr. (38202583),Dennis Schroder (38202599),Deni Avdija (38202392),Kyle Filipowski (38202484),Alperen Sengun (38202314),Cameron Payne (38202623),Mikal Bridges (38202444),Santi Aldama (38202453),297.13,388.76,50000,100.00%,9377,296.86%,0,195.69,$11.87,MEM 2,NYK 2,user39,1,marvalshot,17889,4674061297_39
Dennis Schroder (38202599),Cameron Payne (38202623),Ausar Thompson (38202637),Josh Hart (38202376),Karl-Anthony Towns (38202292),Scotty Pippen Jr. (38202583),Gary Payton II (38202728),Domantas Sabonis (38202306),304.21000000000004,399.09000000000003,49900,100.00%,49828,11256.17%,744,251.15,$450.25,NYK 3,DET 2,user39,1,marvalshot,17936,4674061298_39
Dennis Schroder (38202599),Cameron Payne (38202623),Max Strus (38202630),Paolo Banchero (38202294),Jalen Duren (38202413),Scotty Pippen Jr. (38202583),Gary Payton II (38202728),Karl-Anthony Towns (38202292),298.97,394.70000000000005,49700,100.00%,23060,560.12%,2,222.2,$22.4,DET 2,NYK 2,user25,1,marvalshot,17971,4674061299_25
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Paolo Banchero (38202294),Walker Kessler (38202415),Scotty Pippen Jr. (38202583),Gary Payton II (38202728),Karl-Anthony Towns (38202292),301.83000000000004,399.37000000000006,49600,100.00%,46334,1824.86%,16,256.31,$72.99,NYK 2,DET 2,user4,1,marvalshot,17999,4674061300_4
Brandin Podziemski (38202465),Dennis Schroder (38202599),Tim Hardaway Jr. (38202761),Sandro Mamukelashvili (38202681),Alperen Sengun (38202314),Cameron Payne (38202623),Deni Avdija (38202392),Karl-Anthony Towns (38202292),297.06,389.17,49900,100.00%,9239,295.84%,0,172.59,$11.83,DET 2,NYK 2,user1,1,marvalshot,18043,4674061301_1
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Tobias Harris (38202495),Walker Kessler (38202415),Scotty Pippen Jr. (38202583),Bam Adebayo (38202361),Karl-Anthony Towns (38202292),303.17,398.61,50000,100.00%,49096,5554.93%,220,245.72000000000003,$222.2,DET 3,NYK 2,user43,1,marvalshot,18093,4674061302_43
Scotty Pippen Jr. (38202583),Dennis Schroder (38202599),Ausar Thompson (38202637),Jaren Jackson Jr. (38202380),Karl-Anthony Towns (38202292),Cameron Payne (38202623),Deni Avdija (38202392),Kel'el Ware (38202520),305.82,402.12,49800,100.00%,49996,32496.27%,4472,241.73,$1299.85,MEM 2,DET 2,user34,1,marvalshot,17835,4674061296_34
Cameron Payne (38202623),Dennis Schroder (38202599),Josh Hart (38202376),Jonathan Kuminga (38202524),Walker Kessler (38202415),Anfernee Simons (38202456),Deni Avdija (38202392),Collin Sexton (38202488),296.16,388.68000000000006,50000,100.00%,5677,249.03%,0,165.68,$9.96,NYK 2,UTA 2,user7,1,marvalshot,17857,4674061297_7
Dennis Schroder (38202599),Brandin Podziemski (38202465),Ausar Thompson (38202637),Bam Adebayo (38202361),Alperen Sengun (38202314),Cameron Payne (38202623),Deni Avdija (38202392),Scotty Pippen Jr. (38202583),303.47,396.97,50000,100.00%,49207,7818.28%,644,223.10000000000002,$312.73,DET 2,GSW 1,user2,1,marvalshot,17901,4674061298_2
Dennis Schroder (38202599),Cameron Payne (38202623),Gary Payton II (38202728),Paolo Banchero (38202294),Jalen Duren (38202413),Scotty Pippen Jr. (38202583),Jonathan Kuminga (38202524),Domantas Sabonis (38202306),297.42,397.82,49900,100.00%,11301,346.41%,0,204.23999999999998,$13.86,DET 2,GSW 2,user18,1,marvalshot,17964,4674061299_18
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Paolo Banchero (38202294),Alperen Sengun (38202314),Ty Jerome (38202641),Deni Avdija (38202392),Scotty Pippen Jr. (38202583),300.88,400.0,49700,100.00%,40766,1035.14%,10,256.39,$41.41,DET 2,NYK 1,user44,1,marvalshot,18037,4674061300_44
Fred VanVleet (38202469),Dennis Schroder (38202599),Tim Hardaway Jr. (38202761),Sandro Mamukelashvili (38202681),Karl-Anthony Towns (38202292),Cameron Payne (38202623),Deni Avdija (38202392),Alperen Sengun (38202314),296.8,389.05,49800,100.00%,7530,276.28%,0,179.32999999999998,$11.05,HOU 2,DET 2,user6,1,marvalshot,18048,4674061301_6
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Tobias Harris (38202495),Alperen Sengun (38202314),Scotty Pippen Jr. (38202583),Evan Mobley (38202340),Deni Avdija (38202392),303.07,400.14,49900,100.00%,48993,5288.82%,281,227.51000000000002,$211.55,DET 3,NYK 1,user30,1,marvalshot,18081,4674061302_30
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Deni Avdija (38202392),Domantas Sabonis (38202306),Scotty Pippen Jr. (38202583),Gary Payton II (38202728),Karl-Anthony Towns (38202292),305.72,402.68000000000006,49600,100.00%,49999,30734.31%,4395,253.20999999999998,$1229.37,NYK 2,DET 2,user42,1,marvalshot,17843,4674061296_42
Scotty Pippen Jr. (38202583),Dennis Schroder (38202599),Deni Avdija (38202392),Jaren Jackson Jr. (38202380),Evan Mobley (38202340),Vince Williams Jr. (38202796),Josh Hart (38202376),Cameron Payne (38202623),296.34000000000003,387.91,49800,100.00%,4870,243.65%,0,192.66000000000003,$9.75,MEM 3,NYK 2,user42,1,marvalshot,17892,4674061297_42
Dennis Schroder (38202599),Gary Payton II (38202728),Ausar Thompson (38202637),Deni Avdija (38202392),Karl-Anthony Towns (38202292),Cameron Payne (38202623),Jonathan Kuminga (38202524),Alperen Sengun (38202314),303.6,402.40000000000003,49900,100.00%,49517,7181.0%,459,219.21,$287.24,DET 2,GSW 2,user27,1,marvalshot,17924,4674061298_27
Dennis Schroder (38202599),Cameron Payne (38202623),Deni Avdija (38202392),Paolo Banchero (38202294),Jalen Duren (38202413),Darius Garland (38202373),Svi Mykhailiuk (38203035),Scotty Pippen Jr. (38202583),296.61,392.33000000000004,50000,100.00%,6536,270.91%,0,195.51999999999998,$10.84,DET 2,NYK 1,user24,1,marvalshot,17970,4674061299_24
Scotty Pippen Jr. (38202583),Dennis Schroder (38202599),Ausar Thompson (38202637),Paolo Banchero (38202294),Alperen Sengun (38202314),Cameron Payne (38202623),Evan Mobley (38202340),Gary Payton II (38202728),299.74,400.02,50000,100.00%,30485,641.46%,0,235.16,$25.66,DET 2,MEM 1,user6,1,marvalshot,18001,4674061300_6
Anfernee Simons (38202456),Dennis Schroder (38202599),Tim Hardaway Jr. (38202761),Sandro Mamukelashvili (38202681),Alperen Sengun (38202314),Cameron Payne (38202623),Deni Avdija (38202392),Karl-Anthony Towns (38202292),296.51000000000005,390.79,50000,100.00%,6357,259.3%,0,177.82999999999998,$10.37,POR 2,DET 2,user7,1,marvalshot,18049,4674061301_7
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Tobias Harris (38202495),Karl-Anthony Towns (38202292),Gary Payton II (38202728),Evan Mobley (38202340),Deni Avdija (38202392),301.99,395.42,49800,100.00%,46918,2095.89%,45,220.42000000000002,$83.84,DET 3,NYK 2,user32,1,marvalshot,18083,4674061302_32
Cameron Payne (38202623),Dennis Schroder (38202599),Ausar Thompson (38202637),Jonathan Kuminga (38202524),Karl-Anthony Towns (38202292),Scotty Pippen Jr. (38202583),Josh Hart (38202376),Deni Avdija (38202392),305.59000000000003,399.40000000000003,50000,100.00%,49991,27934.28%,3648,236.05999999999997,$1117.37,NYK 3,DET 2,user49,1,marvalshot,17850,4674061296_49
Anfernee Simons (38202456),Dennis Schroder (38202599),Deni Avdija (38202392),Evan Mobley (38202340),Jaren Jackson Jr. (38202380),Cameron Payne (38202623),Gary Payton II (38202728),Santi Aldama (38202453),295.45,388.67999999999995,50000,100.00%,2893,211.47%,0,176.73000000000002,$8.46,POR 2,MEM 2,user6,1,marvalshot,17856,4674061297_6
Dennis Schroder (38202599),Cameron Payne (38202623),Ausar Thompson (38202637),Deni Avdija (38202392),Karl-Anthony Towns (38202292),Fred VanVleet (38202469),Gary Payton II (38202728),Josh Hart (38202376),302.61,389.42,49600,100.00%,48188,3288.13%,87,223.63,$131.53,NYK 3,DET 2,user31,1,marvalshot,17928,4674061298_31
