Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Trae Young,PG/G/UTIL,ATL,54.98343750000001,17.62573134613963,35.84%,3.18%,13.31%,6.02%,$1.50,46
Miles Bridges,PF/F/UTIL,CHA,55.48578125,13.886349668284593,41.68%,2.03%,46.93%,7.6%,$0.32,46
LaMelo Ball,PG/G/UTIL,CHA,52.7178125,14.928312792061908,34.29%,2.09%,28.39%,17.15%,$0.20,46
Jared Rhoden,SG/G/UTIL,TOR,28.52,7.53,33.45%,1.85%,34.44%,33.3%,$0.19,48
Onyeka Okongwu,C/UTIL,ATL,42.37798611111111,12.162728426148286,32.08%,1.86%,26.69%,6.45%,$0.09,46
Colin Castleton,C/UTIL,TOR,27.2,8.6,33.95%,1.88%,8.33%,30.8%,$-0.45,48
Jamison Battle,SF/F/UTIL,TOR,24.4,8.64,29.86%,1.25%,44.58%,20.02%,$-0.64,48
Jared Butler,PG/SG/G/UTIL,PHI,31.8,11.38,26.02%,1.54%,15.0%,30.91%,$-0.64,48
Mason Plumlee,C/UTIL,PHX,25.2,9.53,30.05%,1.13%,7.66%,16.37%,$-0.64,48
Jamal Shead,PG/G/UTIL,TOR,33.0,9.24,30.7%,1.33%,63.62%,42.29%,$-0.66,48
Naji Marshall,PF/SF/F/UTIL,DAL,43.57,9.76,25.65%,1.62%,31.46%,22.76%,$-0.70,48
Collin Sexton,PG/SG/G/UTIL,UTA,35.87,12.63,25.1%,1.07%,11.86%,13.87%,$-1.13,48
Royce O'Neale,PF/SF/F/UTIL,PHX,26.06,6.54,22.59%,0.94%,21.94%,32.07%,$-1.16,48
AJ Lawson,SG/G/UTIL,TOR,28.8,9.1,25.0%,0.92%,33.84%,38.45%,$-1.20,48
Ivica Zubac,C/UTIL,LAC,46.64,12.73,28.63%,1.52%,8.65%,7.79%,$-1.22,48
Andre Drummond,C/UTIL,PHI,31.17,14.28,11.37%,0.4%,4.58%,6.87%,$-1.24,48
Brandon Clarke,C/UTIL,MEM,27.4,11.48,25.61%,0.79%,3.71%,7.47%,$-1.24,48
Isaiah Hartenstein,C/UTIL,OKC,33.95,13.0,8.38%,0.0%,0.77%,2.85%,$-1.24,48
John Collins,C/PF/F/UTIL,UTA,37.94,13.43,23.13%,0.99%,19.47%,13.85%,$-1.31,48
Zach Edey,C/UTIL,MEM,29.71,11.91,24.65%,0.92%,4.48%,7.34%,$-1.47,48
Vince Williams Jr.,SF/SG/G/F/UTIL,MEM,25.45,9.9,21.66%,0.64%,20.86%,22.11%,$-1.56,48
Jayson Tatum,PF/SF/F/UTIL,BOS,52.28,15.48,21.48%,0.52%,31.32%,8.24%,$-1.58,48
Kessler Edwards,C/PF/F/UTIL,DAL,27.78,7.83,23.78%,0.85%,10.23%,10.21%,$-1.58,48
Gregory Jackson,PF/SF/F/UTIL,MEM,26.89,9.55,21.96%,0.87%,12.5%,17.25%,$-1.62,48
Chris Boucher,PF/F/UTIL,TOR,22.15,11.65,20.31%,0.61%,23.3%,27.15%,$-1.67,48
Jakob Poeltl,C/UTIL,TOR,33.87,15.17,16.85%,0.58%,13.04%,6.08%,$-1.77,48
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,53.93,18.07,17.94%,0.17%,26.27%,8.54%,$-1.88,48
Desmond Bane,SG/G/UTIL,MEM,42.22,12.79,22.02%,0.39%,7.7%,5.91%,$-1.91,48
Ja Morant,PG/G/UTIL,MEM,46.85,16.91,16.42%,0.47%,7.55%,6.38%,$-1.99,48
Walker Kessler,C/UTIL,UTA,35.62,11.86,21.37%,0.24%,2.8%,2.88%,$-2.05,48
Mark Williams,C/UTIL,CHA,38.54611111111111,15.162024146927848,20.18%,0.35%,7.31%,5.75%,$-2.09,46
Brandon Williams,PG/G/UTIL,DAL,26.8,10.56,17.64%,0.68%,3.84%,8.57%,$-2.12,48
Steven Adams,C/UTIL,HOU,18.93,9.41,18.42%,0.13%,5.36%,11.63%,$-2.14,48
Alperen Sengun,C/UTIL,HOU,47.5,16.53,18.82%,0.35%,10.78%,10.26%,$-2.15,48
Orlando Robinson,C/UTIL,TOR,28.19,11.11,15.18%,0.48%,1.6%,11.49%,$-2.15,48
Jaylen Brown,SF/SG/G/F/UTIL,BOS,42.64,12.58,14.86%,0.32%,7.65%,5.06%,$-2.16,48
James Harden,PG/G/UTIL,LAC,49.7,14.76,16.97%,0.25%,12.06%,6.25%,$-2.17,48
Tari Eason,PF/F/UTIL,HOU,30.58,10.95,16.06%,0.15%,9.64%,11.25%,$-2.24,48
Devin Vassell,SF/SG/G/F/UTIL,SAS,31.95,9.55,16.62%,0.39%,9.22%,6.25%,$-2.26,48
Dillon Brooks,PF/F/UTIL,HOU,24.28,7.31,16.62%,0.14%,3.37%,6.0%,$-2.27,48
Klay Thompson,SF/SG/G/F/UTIL,DAL,31.55,10.63,13.04%,0.07%,5.83%,3.52%,$-2.30,48
Bogdan Bogdanovic,SF/SG/G/F/UTIL,LAC,25.15,8.55,16.49%,0.01%,2.34%,1.83%,$-2.31,48
Mouhamed Gueye,C/PF/F/UTIL,ATL,23.713211805555556,8.881031484905714,6.76%,0.57%,2.1%,8.72%,$-2.32,46
Keldon Johnson,PF/SF/F/UTIL,SAS,24.9,10.08,15.79%,0.26%,6.23%,7.64%,$-2.33,48
Lonnie Walker IV,SG/G/UTIL,PHI,24.57,9.29,14.39%,0.05%,7.64%,35.75%,$-2.34,48
Lauri Markkanen,PF/SF/F/UTIL,UTA,33.56,11.21,14.79%,0.06%,3.04%,2.29%,$-2.38,48
Devin Booker,PG/SG/G/UTIL,PHX,44.34,11.22,14.66%,0.13%,6.52%,4.73%,$-2.41,48
Adem Bona,C/UTIL,PHI,21.88,8.9,12.73%,0.04%,1.67%,11.21%,$-2.43,48
Max Christie,SG/G/UTIL,DAL,28.07,7.58,14.19%,0.01%,4.27%,6.08%,$-2.43,48
Jalen Green,PG/SG/G/UTIL,HOU,35.37,10.79,13.67%,0.09%,4.78%,3.55%,$-2.43,48
Bradley Beal,SF/SG/G/F/UTIL,PHX,32.2,7.73,15.46%,0.02%,5.24%,3.56%,$-2.44,48
De'Aaron Fox,PG/SG/G/UTIL,SAS,41.73,12.31,12.89%,0.1%,7.62%,5.32%,$-2.45,48
Nicolas Batum,C/PF/F/UTIL,LAC,20.05,5.61,14.29%,0.04%,3.62%,3.64%,$-2.46,48
Svi Mykhailiuk,SF/SG/G/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Kristaps Porzingis,C/UTIL,BOS,0,0.0,0.0%,0.0%,0.03%,0.08%,$-2.52,48
Josh Christopher,PG/G/UTIL,MIA,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Seth Lundy,SG/G/UTIL,LAC,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Nick Richards,C/UTIL,PHX,0,0.0,0.0%,0.0%,0.02%,0.04%,$-2.52,48
Monte Morris,PG/G/UTIL,PHX,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Kevin Love,C/UTIL,MIA,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Ben Simmons,C/UTIL,LAC,0,0.0,0.0%,0.0%,0.03%,0.05%,$-2.52,48
Cody Martin,SF/F/UTIL,PHX,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Nikola Jovic,C/UTIL,MIA,0,0.0,0.0%,0.0%,0.02%,0.04%,$-2.52,48
Davion Mitchell,PG/G/UTIL,MIA,19.18,5.81,0.0%,0.0%,0.02%,0.1%,$-2.52,48
Cam Spencer,SG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Trentyn Flowers,SG/G/UTIL,LAC,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Dominick Barlow,C/PF/F/UTIL,ATL,14.271979166666666,8.063041742874924,0.0%,0.0%,0.03%,4.88%,$-2.52,46
Alex Reese,C/UTIL,PHI,16.8,7.9,0.0%,0.0%,0.03%,0.45%,$-2.52,48
Kai Jones,C/UTIL,DAL,0,0.0,0.0%,0.0%,0.03%,0.05%,$-2.52,48
Keaton Wallace,PG/G/UTIL,ATL,4.187916666666666,2.9019159895854196,0.0%,0.0%,0.03%,0.1%,$-2.52,46
Alec Burks,PG/SG/G/UTIL,MIA,0,0.0,0.0%,0.0%,0.01%,0.04%,$-2.52,48
Jacob Toppin,PF/F/UTIL,ATL,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,46
Wendell Moore Jr.,SF/SG/G/F/UTIL,CHA,8.688090277777778,5.26824345760306,0.0%,0.0%,0.02%,0.1%,$-2.52,46
Vit Krejci,PG/G/UTIL,ATL,11.948420138888888,6.397848339455103,0.0%,0.0%,0.01%,0.1%,$-2.52,46
Malachi Flynn,PG/G/UTIL,CHA,0,0.0,0.0%,0.0%,0.01%,0.1%,$-2.52,46
Neemias Queta,C/UTIL,BOS,5.61,3.89,0.0%,0.0%,0.02%,0.1%,$-2.52,48
Jordan Walsh,SF/SG/G/F/UTIL,BOS,0,0.0,0.0%,0.0%,0.01%,0.1%,$-2.52,48
Tidjane Salaun,PF/F/UTIL,CHA,3.5634027777777777,2.561086930405924,0.0%,0.0%,0.01%,0.03%,$-2.52,46
Seth Curry,SG/G/UTIL,CHA,10.359583333333333,5.716190221096112,0.0%,0.0%,0.02%,0.1%,$-2.52,46
Xavier Tillman,C/PF/F/UTIL,BOS,0,0.0,0.0%,0.0%,0.01%,0.1%,$-2.52,48
Andrew Wiggins,SF/F/UTIL,MIA,30.64,9.41,13.87%,0.03%,3.04%,3.26%,$-2.53,48
Chris Paul,PG/G/UTIL,SAS,25.44,9.72,11.86%,0.0%,3.24%,6.85%,$-2.54,48
Kevin Durant,PF/SF/F/UTIL,PHX,44.18,10.91,11.4%,0.14%,5.11%,2.34%,$-2.55,48
Justin Edwards,PF/SF/F/UTIL,PHI,20.51,6.62,10.35%,0.02%,1.49%,1.98%,$-2.56,48
Jabari Smith Jr.,C/PF/F/UTIL,HOU,24.1,8.46,12.16%,0.05%,2.48%,2.08%,$-2.56,48
Tyler Herro,PG/SG/G/UTIL,MIA,40.31,11.17,10.68%,0.05%,7.29%,5.21%,$-2.56,48
Jaylen Wells,SF/SG/G/F/UTIL,MEM,20.99,7.1,11.81%,0.0%,0.33%,0.41%,$-2.58,48
Stephon Castle,PG/SG/G/UTIL,SAS,32.76,12.88,10.93%,0.05%,4.31%,4.47%,$-2.59,48
Chet Holmgren,C/PF/F/UTIL,OKC,37.98,12.15,9.46%,0.01%,1.86%,3.14%,$-2.61,48
Dyson Daniels,PG/SG/G/UTIL,ATL,35.25256944444445,10.098278124832483,10.78%,0.01%,4.74%,2.67%,$-2.62,46
Harrison Barnes,PF/SF/F/UTIL,SAS,20.99,7.83,10.57%,0.0%,1.23%,1.37%,$-2.62,48
Kris Dunn,PG/SG/G/UTIL,LAC,24.19,7.45,9.21%,0.03%,2.37%,3.6%,$-2.62,48
Spencer Dinwiddie,PG/G/UTIL,DAL,28.68,9.44,11.91%,0.01%,1.21%,2.15%,$-2.62,48
Derrick Jones Jr.,PF/F/UTIL,LAC,19.7,7.56,11.07%,0.0%,0.46%,0.85%,$-2.62,48
Jeremy Sochan,C/PF/F/UTIL,SAS,22.91,10.1,9.98%,0.0%,2.57%,2.33%,$-2.63,48
Kel'el Ware,C/UTIL,MIA,24.98,9.92,11.13%,0.0%,3.74%,5.96%,$-2.64,48
Bam Adebayo,C/PF/F/UTIL,MIA,41.59,12.56,9.09%,0.01%,5.3%,2.41%,$-2.65,48
Oso Ighodaro,C/PF/F/UTIL,PHX,13.52,6.57,9.8%,0.0%,0.34%,0.1%,$-2.65,48
Drew Eubanks,C/UTIL,LAC,11.8,7.1,8.02%,0.0%,0.19%,0.1%,$-2.65,48
Ricky Council IV,PF/SF/F/UTIL,PHI,18.71,8.74,8.0%,0.03%,1.35%,3.05%,$-2.66,48
Caris LeVert,SF/SG/G/F/UTIL,ATL,23.23559027777778,10.049588259235414,8.45%,0.05%,4.42%,3.37%,$-2.68,46
Dante Exum,SF/SG/G/F/UTIL,DAL,18.8,8.52,10.34%,0.0%,0.88%,0.87%,$-2.69,48
Zaccharie Risacher,PF/SF/F/UTIL,ATL,19.188958333333336,8.40387080205442,2.8%,0.0%,2.68%,4.73%,$-2.70,46
Georges Niang,PF/SF/F/UTIL,ATL,19.617083333333337,8.627844183800946,7.92%,0.0%,2.3%,2.55%,$-2.70,46
Fred VanVleet,PG/G/UTIL,HOU,32.28,8.33,10.52%,0.0%,1.01%,1.48%,$-2.70,48
DaQuan Jeffries,PF/SF/F/UTIL,CHA,18.074166666666667,5.521430758707829,6.6%,0.02%,0.75%,6.81%,$-2.71,46
Scotty Pippen Jr.,PG/G/UTIL,MEM,19.84,10.3,8.4%,0.0%,3.28%,8.58%,$-2.71,48
Duncan Robinson,SF/SG/G/F/UTIL,MIA,20.98,7.11,7.58%,0.01%,0.5%,0.4%,$-2.72,48
Dwight Powell,C/UTIL,DAL,11.33,6.37,7.2%,0.0%,0.11%,0.1%,$-2.74,48
Al Horford,C/PF/F/UTIL,BOS,26.44,7.3,5.01%,0.0%,4.88%,2.0%,$-2.75,48
Luguentz Dort,SF/SG/G/F/UTIL,OKC,23.87,5.73,2.03%,0.0%,2.81%,0.96%,$-2.76,48
Luke Kennard,PG/SG/G/UTIL,MEM,22.17,8.56,8.18%,0.0%,2.01%,3.25%,$-2.76,48
Aaron Holiday,PG/SG/G/UTIL,HOU,15.04,7.07,5.12%,0.0%,0.5%,0.49%,$-2.79,48
Cason Wallace,PG/SG/G/UTIL,OKC,24.51,6.37,5.01%,0.0%,1.09%,2.56%,$-2.80,48
