PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Keon Johnson (37747374),Quentin Grimes (37747385),Deni Avdija (37747326),Trendon Watford (37747448),Nikola Jokic (37747248),Killian Hayes (37747544),Aaron Gordon (37747407),Alperen Sengun (37747270),278.67,276.24,373.21000000000004,49900,0.13%,7.38%,595.8%,55.1%,271.2,$23.8,BKN 3,DEN 2,generated,1
Killian Hayes (37747544),Jalen Green (37747285),Cameron Johnson (37747352),Jabari Smith Jr. (37747398),Day'Ron Sharpe (37747441),Toumani Camara (37747362),Deni Avdija (37747326),Nikola Jokic (37747248),275.45,270.56,365.83000000000004,49700,0.12%,6.62%,538.6%,50.8%,193.77,$21.5,BKN 3,HOU 2,generated,1
Russell Westbrook (37747344),Quentin Grimes (37747385),Ziaire Williams (37747420),Aaron Gordon (37747407),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Deni Avdija (37747326),Nikola Jokic (37747248),275.32,274.05,368.91,49800,0.15%,5.93%,525.7%,50.27%,231.24,$21.0,DEN 3,BKN 2,generated,1
Killian Hayes (37747544),Quentin Grimes (37747385),Lauri Markkanen (37747288),Aaron Gordon (37747407),Day'Ron Sharpe (37747441),Jamal Murray (37747281),Jabari Smith Jr. (37747398),Nikola Jokic (37747248),276.15000000000003,273.43,365.39000000000004,49900,0.13%,6.24%,511.5%,51.68%,254.83999999999997,$20.5,DEN 3,BKN 2,generated,1
Jamal Murray (37747281),Shaedon Sharpe (37747390),Ziaire Williams (37747420),Aaron Gordon (37747407),Day'Ron Sharpe (37747441),Keyonte George (37747318),Jabari Smith Jr. (37747398),Nikola Jokic (37747248),273.8,270.37,366.5400000000001,50000,0.15%,5.42%,503.1%,48.65%,214.54000000000002,$20.1,DEN 3,BKN 2,generated,1
Killian Hayes (37747544),Keyonte George (37747318),Kelly Oubre Jr. (37747347),Aaron Gordon (37747407),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Michael Porter Jr. (37747322),Nikola Jokic (37747248),277.69,271.18,367.34000000000003,49700,0.12%,6.59%,498.0%,53.81%,218.99,$19.9,DEN 3,BKN 2,generated,1
Russell Westbrook (37747344),Toumani Camara (37747362),Michael Porter Jr. (37747322),John Collins (37747295),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Deni Avdija (37747326),Alperen Sengun (37747270),273.46999999999997,267.68,366.0799999999999,49900,0.12%,5.78%,497.7%,47.88%,152.46,$19.9,POR 3,DEN 2,generated,1
Killian Hayes (37747544),Keyonte George (37747318),Cameron Johnson (37747352),Jabari Smith Jr. (37747398),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Kelly Oubre Jr. (37747347),Nikola Jokic (37747248),275.17,267.36,363.33,49400,0.11%,6.25%,490.4%,50.42%,188.73,$19.6,BKN 3,UTA 1,generated,1
Jamal Murray (37747281),Quentin Grimes (37747385),Deni Avdija (37747326),Trendon Watford (37747448),Day'Ron Sharpe (37747441),Shaedon Sharpe (37747390),Aaron Gordon (37747407),Nikola Jokic (37747248),273.61,271.74,369.21000000000004,49700,0.12%,5.38%,485.4%,48.58%,232.44,$19.4,DEN 3,POR 2,generated,1
Keyonte George (37747318),Jalen Green (37747285),Cameron Johnson (37747352),Aaron Gordon (37747407),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Deni Avdija (37747326),Alperen Sengun (37747270),275.90999999999997,268.13,369.4599999999999,49500,0.12%,6.02%,484.9%,51.18%,196.63,$19.4,HOU 2,BKN 2,generated,1
Keon Johnson (37747374),Keyonte George (37747318),Michael Porter Jr. (37747322),Aaron Gordon (37747407),Day'Ron Sharpe (37747441),Scoot Henderson (37747356),Jabari Smith Jr. (37747398),Nikola Jokic (37747248),271.67,266.9200000000001,365.1,49800,0.12%,5.34%,463.6%,45.88%,203.67000000000002,$18.5,DEN 3,BKN 2,generated,1
Killian Hayes (37747544),Keyonte George (37747318),Deni Avdija (37747326),Jabari Smith Jr. (37747398),Day'Ron Sharpe (37747441),Luka Doncic (37747250),Jerami Grant (37747382),Alperen Sengun (37747270),271.77000000000004,267.0,364.9100000000001,49600,0.12%,5.2%,457.7%,45.75%,187.86,$18.3,BKN 2,POR 2,generated,1
Killian Hayes (37747544),Keyonte George (37747318),Michael Porter Jr. (37747322),Aaron Gordon (37747407),Nic Claxton (37747367),Anfernee Simons (37747307),Jabari Smith Jr. (37747398),Nikola Jokic (37747248),279.97,272.61,369.17,49900,0.09%,7.06%,456.8%,56.73%,243.21,$18.3,DEN 3,BKN 2,generated,1
Keon Johnson (37747374),Svi Mykhailiuk (37747436),Deni Avdija (37747326),Aaron Gordon (37747407),Nikola Jokic (37747248),Killian Hayes (37747544),Jabari Smith Jr. (37747398),Alperen Sengun (37747270),280.18,275.93,372.96000000000004,49900,0.12%,7.19%,438.3%,57.5%,266.14,$17.5,BKN 2,DEN 2,generated,2
Killian Hayes (37747544),Kelly Oubre Jr. (37747347),Toumani Camara (37747362),Paul George (37747291),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Jabari Smith Jr. (37747398),Nikola Jokic (37747248),275.73,269.39,356.91,49800,0.09%,6.02%,409.4%,51.1%,187.17000000000002,$16.4,BKN 2,PHI 2,generated,1
Killian Hayes (37747544),Quentin Grimes (37747385),Cameron Johnson (37747352),Aaron Gordon (37747407),Nikola Jokic (37747248),Tyrese Martin (37747575),John Collins (37747295),Alperen Sengun (37747270),275.06,276.53000000000003,367.02,50000,0.1%,5.46%,404.9%,50.13%,264.90999999999997,$16.2,BKN 3,DEN 2,generated,1
Killian Hayes (37747544),Anfernee Simons (37747307),Michael Porter Jr. (37747322),Trendon Watford (37747448),Alperen Sengun (37747270),Luka Doncic (37747250),Aaron Gordon (37747407),Donovan Clingan (37747372),269.91999999999996,267.31,362.20000000000005,49900,0.1%,4.67%,400.1%,43.42%,207.26,$16.0,BKN 2,POR 2,generated,1
Killian Hayes (37747544),Jamal Murray (37747281),Toumani Camara (37747362),Jerami Grant (37747382),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Miles Bridges (37747272),Alperen Sengun (37747270),271.44,262.27,357.78,49600,0.1%,4.78%,399.0%,45.34%,152.16000000000003,$16.0,POR 3,BKN 2,generated,1
Killian Hayes (37747544),Anfernee Simons (37747307),Svi Mykhailiuk (37747436),Deni Avdija (37747326),Nikola Jokic (37747248),Aaron Holiday (37747562),Shaedon Sharpe (37747390),Alperen Sengun (37747270),272.02000000000004,267.18,366.98,49800,0.1%,5.25%,398.2%,46.75%,192.66,$15.9,POR 3,HOU 2,generated,1
Aaron Holiday (37747562),Quentin Grimes (37747385),Deni Avdija (37747326),Jabari Smith Jr. (37747398),Nikola Jokic (37747248),Svi Mykhailiuk (37747436),Jerami Grant (37747382),Alperen Sengun (37747270),275.37000000000006,273.08000000000004,365.1,49900,0.1%,5.55%,397.5%,50.97%,229.53000000000003,$15.9,HOU 3,POR 2,generated,1
Aaron Holiday (37747562),Ziaire Williams (37747420),LeBron James (37747253),John Collins (37747295),Day'Ron Sharpe (37747441),Kelly Oubre Jr. (37747347),Deni Avdija (37747326),Alperen Sengun (37747270),269.79,264.63000000000005,363.82000000000005,50000,0.12%,4.65%,391.4%,43.37%,149.13,$15.7,HOU 2,BKN 2,generated,1
Killian Hayes (37747544),Jalen Green (37747285),Deni Avdija (37747326),Michael Porter Jr. (37747322),Day'Ron Sharpe (37747441),Shaedon Sharpe (37747390),Aaron Gordon (37747407),Nikola Jokic (37747248),272.87,270.17,368.28000000000003,49600,0.09%,5.34%,378.0%,47.35%,220.88,$15.1,DEN 3,BKN 2,generated,1
LaMelo Ball (37747257),Quentin Grimes (37747385),Deni Avdija (37747326),Aaron Gordon (37747407),Day'Ron Sharpe (37747441),Anfernee Simons (37747307),Dillon Brooks (37747402),Alperen Sengun (37747270),273.36,270.49,363.24,50000,0.1%,5.07%,377.6%,47.97%,220.29,$15.1,POR 2,HOU 2,generated,1
Killian Hayes (37747544),Keyonte George (37747318),LeBron James (37747253),Aaron Gordon (37747407),Alperen Sengun (37747270),Russell Westbrook (37747344),John Collins (37747295),Robert Williams (37747496),269.57,267.97999999999996,365.68,50000,0.11%,4.69%,376.3%,42.84%,205.02999999999997,$15.1,UTA 2,DEN 2,generated,1
