Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4669104771,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Luka Doncic (38128897),Jordan Goodwin (38129372),Ricky Council IV (38129289),Bam Adebayo (38128989),Kenrich Williams (38129703),Scoot Henderson (38129224),Justin Champagnie (38129236),Jaylin Williams (38129406)
4669104772,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Jared Butler (38129166),Anthony Edwards (38128924),Jaime Jaquez Jr. (38129483),Aaron Wiggins (38129293),Jaylin Williams (38129406),Isaiah Joe (38129456),Kenrich Williams (38129703),Nikola Jokic (38128895)
4669104773,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Cade Cunningham (38128911),Donovan Mitchell (38128954),Aaron Wiggins (38129293),Pascal Siakam (38129000),Kenrich Williams (38129703),Jalen Hood-Schifino (38129471),Ricky Council IV (38129289),Jaylin Williams (38129406)
4669104774,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Cade Cunningham (38128911),Jordan Goodwin (38129372),Aaron Wiggins (38129293),Ricky Council IV (38129289),Jaylin Williams (38129406),Luka Doncic (38128897),Kenrich Williams (38129703),Isaiah Joe (38129456)
4669104775,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Donovan Mitchell (38128954),Devin Booker (38128933),Josh Giddey (38128984),Kenrich Williams (38129703),Jaylin Williams (38129406),Jalen Hood-Schifino (38129471),Aaron Wiggins (38129293),Jared Butler (38129166)
4669104776,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Scotty Pippen Jr. (38129353),Stephon Castle (38129105),Aaron Wiggins (38129293),Oshae Brissett (38129486),Jaylin Williams (38129406),Josh Giddey (38128984),Kenrich Williams (38129703),Nikola Jokic (38128895)
4669104777,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Luka Doncic (38128897),Jordan Goodwin (38129372),Jaime Jaquez Jr. (38129483),Paolo Banchero (38128916),Jaylin Williams (38129406),Ty Jerome (38129412),Kenrich Williams (38129703),Jared Butler (38129166)
