PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Brandin Podziemski (37548551),Buddy Hield (37548566),Deni Avdija (37548406),Tari Eason (37548477),Quinten Post (37548619),Stephen Curry (37548336),Kawhi Leonard (37548391),LeBron James (37548296),315.23,412.13,50000,100.00%,41113,324.08%,0,258.37,$12.96,GSW 4,POR 1,user,50,marvalshot,13764,4633791885
Payton Pritchard (37548518),Brandin Podziemski (37548551),Rui Hachimura (37548480),Tari Eason (37548477),Daniel Gafford (37548374),Buddy Hield (37548566),LeBron James (37548296),Stephen Curry (37548336),317.4473611111111,408.70521875587,50000,100.00%,48664,527.41%,0,247.70999999999998,$21.1,GSW 3,LAL 2,user,51,marvalshot,6762,4633791886
Stephen Curry (37548336),Brandin Podziemski (37548551),Kawhi Leonard (37548391),Tari Eason (37548477),Ivica Zubac (37548372),Buddy Hield (37548566),LeBron James (37548296),Jarred Vanderbilt (37548706),312.46999999999997,410.11,50000,100.00%,16567,209.57%,0,250.12,$8.38,GSW 3,LAC 2,user,50,marvalshot,13765,4633791887
Brandin Podziemski (37548551),Buddy Hield (37548566),DeMar DeRozan (37548403),Deni Avdija (37548406),Quinten Post (37548619),Stephen Curry (37548336),Rui Hachimura (37548480),LeBron James (37548296),312.14,403.11,50000,100.00%,13996,200.96%,0,228.55,$8.04,GSW 4,LAL 2,user45,1,marvalshot,17837,4633791888_45
Stephen Curry (37548336),Payton Pritchard (37548518),Dorian Finney-Smith (37548605),LeBron James (37548296),Deandre Ayton (37548380),Buddy Hield (37548566),Kawhi Leonard (37548391),Brandin Podziemski (37548551),306.93333333333334,400.34055057375826,50000,100.00%,50,117.18%,0,255.08999999999997,$4.69,GSW 3,LAL 2,user,50,marvalshot,16822,4633791889
Payton Pritchard (37548518),Buddy Hield (37548566),Rui Hachimura (37548480),Tari Eason (37548477),Deandre Ayton (37548380),Stephen Curry (37548336),LeBron James (37548296),Brandin Podziemski (37548551),309.93333333333334,400.78055057375826,49900,100.00%,2654,153.76%,0,248.45999999999998,$6.15,GSW 3,LAL 2,user,1,marvalshot,16824,4633791890
Stephen Curry (37548336),Buddy Hield (37548566),Deni Avdija (37548406),Al Horford (37548589),Ivica Zubac (37548372),Brandin Podziemski (37548551),Derrick Jones Jr. (37548560),LeBron James (37548296),308.74583333333334,400.7271558791691,49700,100.00%,975,137.88%,0,245.49,$5.52,GSW 3,LAC 2,user,50,marvalshot,10396,4633791891
Stephen Curry (37548336),Jaylen Brown (37548342),Rui Hachimura (37548480),LeBron James (37548296),Quinten Post (37548619),Brandin Podziemski (37548551),Tari Eason (37548477),Buddy Hield (37548566),322.3278472222222,414.20197596432104,49900,100.00%,49999,2719.58%,0,242.59,$108.78,GSW 4,LAL 2,user,1,marvalshot,5753,4633791892
Brandin Podziemski (37548551),Buddy Hield (37548566),Dorian Finney-Smith (37548605),LeBron James (37548296),Quinten Post (37548619),Stephen Curry (37548336),Tari Eason (37548477),Domantas Sabonis (37548311),314.13,407.49,50000,100.00%,32227,284.73%,0,255.01000000000002,$11.39,GSW 4,LAL 2,user4,2,marvalshot,14981,4633791893_4
Payton Pritchard (37548518),Buddy Hield (37548566),Dorian Finney-Smith (37548605),LeBron James (37548296),Daniel Gafford (37548374),Brandin Podziemski (37548551),DeMar DeRozan (37548403),Stephen Curry (37548336),312.26736111111114,401.53521875587006,50000,100.00%,14989,205.42%,0,239.65,$8.22,GSW 3,LAL 2,user,50,marvalshot,6824,4633791894
Brandin Podziemski (37548551),Buddy Hield (37548566),Deni Avdija (37548406),Tari Eason (37548477),Quinten Post (37548619),Stephen Curry (37548336),Kawhi Leonard (37548391),LeBron James (37548296),315.23,412.13,50000,100.00%,41113,324.08%,0,258.37,$12.96,GSW 4,POR 1,user1,50,marvalshot,13764,4633791885_1
Payton Pritchard (37548518),Brandin Podziemski (37548551),Rui Hachimura (37548480),Tari Eason (37548477),Daniel Gafford (37548374),Buddy Hield (37548566),LeBron James (37548296),Stephen Curry (37548336),317.4473611111111,408.70521875587,50000,100.00%,48664,527.41%,0,247.70999999999998,$21.1,GSW 3,LAL 2,user1,51,marvalshot,6762,4633791886_1
Stephen Curry (37548336),Brandin Podziemski (37548551),Kawhi Leonard (37548391),Tari Eason (37548477),Ivica Zubac (37548372),Buddy Hield (37548566),LeBron James (37548296),Jarred Vanderbilt (37548706),312.46999999999997,410.11,50000,100.00%,16567,209.57%,0,250.12,$8.38,GSW 3,LAC 2,user1,50,marvalshot,13765,4633791887_1
Anfernee Simons (37548416),Brandin Podziemski (37548551),Rui Hachimura (37548480),LeBron James (37548296),Quinten Post (37548619),Buddy Hield (37548566),Kawhi Leonard (37548391),Stephen Curry (37548336),312.1,406.52000000000004,50000,100.00%,13572,199.93%,0,232.62,$8.0,GSW 4,LAL 2,user31,1,marvalshot,17824,4633791888_31
Stephen Curry (37548336),Payton Pritchard (37548518),Dorian Finney-Smith (37548605),LeBron James (37548296),Deandre Ayton (37548380),Buddy Hield (37548566),Kawhi Leonard (37548391),Brandin Podziemski (37548551),306.93333333333334,400.34055057375826,50000,100.00%,50,117.18%,0,255.08999999999997,$4.69,GSW 3,LAL 2,user1,50,marvalshot,16822,4633791889_1
Payton Pritchard (37548518),Brandin Podziemski (37548551),Kawhi Leonard (37548391),Tari Eason (37548477),Rudy Gobert (37548398),Buddy Hield (37548566),LeBron James (37548296),Deandre Ayton (37548380),304.6733333333333,396.0305505737582,50000,100.00%,1,99.93%,0,235.57999999999998,$4.0,GSW 2,BOS 1,user1,49,marvalshot,17842,4633791890_1
Stephen Curry (37548336),Buddy Hield (37548566),Deni Avdija (37548406),Al Horford (37548589),Ivica Zubac (37548372),Brandin Podziemski (37548551),Derrick Jones Jr. (37548560),LeBron James (37548296),308.74583333333334,400.7271558791691,49700,100.00%,975,137.88%,0,245.49,$5.52,GSW 3,LAC 2,user2,50,marvalshot,10396,4633791891_2
Brandin Podziemski (37548551),Jaylen Brown (37548342),Deni Avdija (37548406),Rui Hachimura (37548480),Quinten Post (37548619),Buddy Hield (37548566),LeBron James (37548296),Kawhi Leonard (37548391),317.5878472222222,410.501975964321,49900,100.00%,48745,545.02%,0,229.68,$21.8,GSW 3,LAL 2,user1,49,marvalshot,17843,4633791892_1
Brandin Podziemski (37548551),Buddy Hield (37548566),Deni Avdija (37548406),LeBron James (37548296),Quinten Post (37548619),Stephen Curry (37548336),Tari Eason (37548477),DeMar DeRozan (37548403),313.05,405.4,49900,100.00%,22091,228.53%,0,243.68,$9.14,GSW 4,POR 1,user2,1,marvalshot,17845,4633791893_2
