Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
trae young,PG/G/UTIL,ATL,33.1%,0.01%,1.64%,20.15%,23.0%,$1.03
jonathan kuminga,PF/F/UTIL,GSW,30.74%,0.01%,1.61%,14.47%,17.92%,$1.01
jusuf nurkic,C/UTIL,CHA,27.09%,0.02%,1.34%,2.0%,4.03%,$0.86
moussa diabate,C/UTIL,CHA,31.87%,0.01%,1.49%,30.57%,63.67%,$0.71
mark williams,C/UTIL,CHA,26.79%,0.01%,1.37%,8.97%,18.83%,$0.37
kevin porter jr.,PG/G/UTIL,MIL,26.49%,0.01%,1.2%,2.65%,2.77%,$0.2
lamelo ball,PG/G/UTIL,CHA,30.49%,0.01%,1.22%,39.9%,51.34%,$0.02
georges niang,PF/F/UTIL,ATL,27.41%,0.01%,1.18%,11.48%,14.58%,$-0.1
day'ron sharpe,C/UTIL,BKN,25.79%,0.01%,1.01%,0.1%,0.14%,$-0.22
onyeka okongwu,C/UTIL,ATL,26.81%,0.01%,1.1%,10.24%,18.26%,$-0.31
draymond green,C/PF/F/UTIL,GSW,27.51%,0.01%,1.1%,16.99%,12.08%,$-0.35
daquan jeffries,PF/SF/F/UTIL,CHA,27.63%,0.01%,1.08%,53.77%,57.92%,$-0.38
terance mann,PG/SF/G/F/UTIL,ATL,26.92%,0.01%,1.08%,11.28%,7.0%,$-0.38
wendell moore jr.,PF/SF/F/UTIL,CHA,26.5%,0.01%,1.07%,9.79%,7.54%,$-0.38
gary payton ii,SF/SG/G/F/UTIL,GSW,27.57%,0.01%,1.06%,59.62%,46.01%,$-0.43
kristaps porzingis,C/UTIL,BOS,25.72%,0.01%,1.01%,10.71%,21.87%,$-0.56
dominick barlow,C/PF/F/UTIL,ATL,25.12%,0.01%,0.96%,2.64%,1.98%,$-0.63
nic claxton,C/UTIL,BKN,24.71%,0.01%,0.94%,3.63%,4.64%,$-0.65
giannis antetokounmpo,C/PF/F/UTIL,MIL,27.12%,0.01%,0.95%,37.07%,47.55%,$-0.67
josh green,SF/SG/G/F/UTIL,CHA,26.45%,0.01%,0.98%,16.74%,9.87%,$-0.7
jayson tatum,PF/SF/F/UTIL,BOS,25.45%,0.01%,0.97%,18.36%,19.98%,$-0.71
