PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Jalen Brunson (37338088),Jaden Hardy (37338402),OG Anunoby (37338270),Andrew Wiggins (37338228),Bobby Portis (37338274),Keyonte George (37338282),Brice Sensabaugh (37338383),Alperen Sengun (37338065),277.77625,311.0065899504357,49000,100.00%,0,80.63%,0,91.82,$3.23,NYK 2,UTA 2,opp,1,Firedog50,567,4610657521
Keaton Wallace (37338930),Jamal Murray (37338169),Devin Vassell (37338234),Keldon Johnson (37338409),Nikola Vucevic (37338099),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Giannis Antetokounmpo (37338014),277.66,313.07053939154275,49400,100.00%,0,80.62%,0,126.38999999999999,$3.22,ATL 2,SAS 2,opp,1,snapgolf,3525,4610928288
Jalen Brunson (37338088),Desmond Bane (37338134),Andrew Wiggins (37338228),Brice Sensabaugh (37338383),Giannis Antetokounmpo (37338014),Keyonte George (37338282),Jeremiah Robinson-Earl (37338708),David Roddy (37338933),277.693125,313.76263692579795,49700,100.00%,0,80.6%,0,105.24000000000001,$3.22,UTA 2,NYK 1,opp,1,papagates,1684,4611025971
Jalen Brunson (37338088),Anthony Edwards (37338044),Garrison Mathews (37338609),Precious Achiuwa (37338518),Nikola Jokic (37338012),Keyonte George (37338282),Jonathan Isaac (37338510),Nickeil Alexander-Walker (37338562),277.70437499999997,313.2161229517008,49700,100.00%,0,80.58%,0,103.30000000000001,$3.22,NYK 2,MIN 2,opp,1,iamthesqweez,1079,4611048216
Jalen Brunson (37338088),Jamal Murray (37338169),Garrison Mathews (37338609),Josh Hart (37338127),Jalen Smith (37338540),Amen Thompson (37338122),Nickeil Alexander-Walker (37338562),Ja Morant (37338082),277.72375,308.1589600893318,49800,100.00%,0,80.54%,0,66.15,$3.22,NYK 2,DEN 1,opp,1,lozingitall,384,4611045867
Stephon Castle (37338477),CJ McCollum (37338156),OG Anunoby (37338270),Julius Randle (37338149),Alperen Sengun (37338065),Jordan Hawkins (37338687),Brice Sensabaugh (37338383),Paolo Banchero (37338047),277.743125,311.44045876183117,49600,100.00%,0,80.51%,0,103.24,$3.22,NOP 2,SAS 1,opp,1,RoyalPain21,2618,4610916067
Keaton Wallace (37338930),Vit Krejci (37338481),Garrison Mathews (37338609),Giannis Antetokounmpo (37338014),Julius Randle (37338149),Coby White (37338195),Bogdan Bogdanovic (37338369),Stephen Curry (37338062),277.70000000000005,312.68760780619334,49200,100.00%,0,80.46%,0,144.15999999999997,$3.22,ATL 4,MIL 1,opp,1,truegritzombie,4288,4611345209
Keyonte George (37338282),Bogdan Bogdanovic (37338369),Quentin Grimes (37338318),Jonathan Isaac (37338510),Naz Reid (37338300),Ja Morant (37338082),Devin Vassell (37338234),Victor Wembanyama (37338018),277.73,313.71449388278234,49700,100.00%,0,80.44%,0,103.39999999999999,$3.22,SAS 2,UTA 1,opp,1,papagates,3665,4611025966
Derrick White (37338185),Jalen Green (37338162),Josh Hart (37338127),Andrew Wiggins (37338228),Alperen Sengun (37338065),Trey Murphy III (37338144),David Roddy (37338933),Jeremiah Robinson-Earl (37338708),277.7277907986111,306.24606729636764,49800,100.00%,0,80.44%,0,68.72999999999999,$3.22,HOU 2,NOP 2,opp,1,mflynn1,2239,4610904963
Dejounte Murray (37338096),Anthony Edwards (37338044),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Onyeka Okongwu (37338359),Stephon Castle (37338477),Jake LaRavia (37338489),Coby White (37338195),277.720625,307.91763681601395,49100,100.00%,0,80.43%,0,111.17,$3.22,ATL 2,NOP 1,opp,1,wingchester1,2276,4611063083
