PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Russell Westbrook (37451357),Gradey Dick (37451573),Kyshawn George (37451686),LeBron James (37451149),Nikola Jokic (37451134),Nickeil Alexander-Walker (37451747),Patrick Williams (37451660),Daniel Gafford (37451322),287.16999999999996,289.0,385.13000000000005,49900,0.13%,5.93%,426.5%,48.85%,184.37,$12.8,DEN 2,TOR 1,generated,1
Keaton Wallace (37451653),Jaylen Brown (37451268),Kyshawn George (37451686),Julius Randle (37451257),Domantas Sabonis (37451147),Russell Westbrook (37451357),Christian Braun (37451519),Daniel Gafford (37451322),289.77,281.9,378.62,50000,0.12%,5.15%,366.8%,52.4%,164.10000000000002,$11.0,DEN 2,ATL 1,generated,1
Lonzo Ball (37451534),Zach LaVine (37451217),Nickeil Alexander-Walker (37451747),Alexandre Sarr (37451416),Nikola Jokic (37451134),Russell Westbrook (37451357),Kyshawn George (37451686),Daniel Gafford (37451322),291.79999999999995,293.28999999999996,389.6700000000001,50000,0.08%,6.47%,352.0%,54.76%,191.86,$10.6,CHI 2,WAS 2,generated,1
Ty Jerome (37451590),Anthony Edwards (37451166),Josh Okogie (37451690),Kyshawn George (37451686),Jalen Duren (37451389),Russell Westbrook (37451357),Alexandre Sarr (37451416),Nikola Jokic (37451134),284.11,284.61,382.32,50000,0.11%,4.79%,341.0%,45.23%,145.65,$10.2,WAS 2,DEN 2,generated,1
Russell Westbrook (37451357),Max Strus (37451551),Michael Porter Jr. (37451405),Patrick Williams (37451660),Rudy Gobert (37451384),Keaton Wallace (37451653),Zach LaVine (37451217),Nikola Jokic (37451134),288.94,283.56,381.08,49700,0.1%,4.97%,326.5%,51.65%,145.01,$9.8,DEN 3,CHI 2,generated,1
Ty Jerome (37451590),Nickeil Alexander-Walker (37451747),Zach LaVine (37451217),Patrick Williams (37451660),Anthony Davis (37451142),Keaton Wallace (37451653),Kyshawn George (37451686),Nikola Jokic (37451134),282.28,279.08000000000004,378.39,49400,0.1%,4.66%,313.4%,43.77%,125.84,$9.4,CHI 2,CLE 1,generated,1
Ty Jerome (37451590),Jamal Murray (37451287),Michael Porter Jr. (37451405),Trey Lyles (37451841),Nikola Jokic (37451134),Josh Giddey (37451294),Corey Kispert (37451673),Daniel Gafford (37451322),285.3,286.74,383.53,49700,0.09%,4.92%,312.3%,46.82%,152.47000000000003,$9.4,DEN 3,CLE 1,generated,1
Keaton Wallace (37451653),Jamal Murray (37451287),Kyshawn George (37451686),Patrick Williams (37451660),Nikola Jokic (37451134),Josh Giddey (37451294),Alexandre Sarr (37451416),Daniel Gafford (37451322),287.82,287.28,383.02000000000004,49700,0.08%,5.55%,306.6%,50.01%,159.29000000000002,$9.2,DEN 2,WAS 2,generated,1
Russell Westbrook (37451357),Malik Monk (37451301),Ausar Thompson (37451495),Alexandre Sarr (37451416),Karl-Anthony Towns (37451152),Lonzo Ball (37451534),Michael Porter Jr. (37451405),Daniel Gafford (37451322),288.53000000000003,290.61999999999995,383.47,50000,0.09%,4.74%,306.0%,51.08%,182.79000000000002,$9.2,DEN 2,SAC 1,generated,1
Ty Jerome (37451590),Gradey Dick (37451573),RJ Barrett (37451247),Santi Aldama (37451483),Nikola Jokic (37451134),Keaton Wallace (37451653),Zach LaVine (37451217),Jonas Valanciunas (37451473),273.43,271.27,376.37,49800,0.1%,3.58%,292.0%,34.26%,87.57000000000001,$8.8,TOR 2,CLE 1,generated,1
Ty Jerome (37451590),Corey Kispert (37451673),Kyshawn George (37451686),Zion Williamson (37451182),Jalen Duren (37451389),Russell Westbrook (37451357),Julius Randle (37451257),Domantas Sabonis (37451147),279.72999999999996,274.19,373.37,49900,0.09%,3.83%,281.2%,39.65%,132.98,$8.4,WAS 2,CLE 1,generated,1
Ty Jerome (37451590),Zach LaVine (37451217),Michael Porter Jr. (37451405),Kyshawn George (37451686),Daniel Gafford (37451322),Russell Westbrook (37451357),Kyle Kuzma (37451350),Jalen Brunson (37451179),291.15,287.07,382.89,49700,0.07%,5.21%,280.3%,54.31%,176.96,$8.4,DEN 2,WAS 2,generated,1
Russell Westbrook (37451357),Gradey Dick (37451573),Zach LaVine (37451217),Patrick Williams (37451660),Mark Williams (37451211),Jamal Murray (37451287),Michael Porter Jr. (37451405),Daniel Gafford (37451322),286.68,283.77,381.15999999999997,50000,0.08%,4.51%,278.7%,47.95%,163.44,$8.4,DEN 3,CHI 2,generated,1
