Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
tristan vukcevic,C/UTIL,WAS,29.61%,0.02%,1.43%,19.04%,35.17%,$0.45
isaiah hartenstein,C/UTIL,OKC,26.92%,0.02%,1.35%,7.7%,8.81%,$0.27
jaylen martin,SF/F/UTIL,WAS,27.94%,0.02%,1.3%,12.5%,20.44%,$0.15
tyler herro,PG/G/UTIL,MIA,28.82%,0.01%,1.27%,24.23%,31.86%,$0.08
sandro mamukelashvili,C/PF/F/UTIL,SAS,24.86%,0.02%,1.19%,1.56%,1.56%,$0.05
kyle anderson,PF/F/UTIL,MIA,26.88%,0.02%,1.24%,7.83%,13.67%,$0.01
shai gilgeous-alexander,PG/G/UTIL,OKC,29.2%,0.01%,1.21%,30.93%,33.02%,$-0.03
jaime jaquez jr.,SF/SG/G/F/UTIL,MIA,27.05%,0.01%,1.17%,24.08%,22.06%,$-0.2
colby jones,SF/SG/G/F/UTIL,WAS,27.78%,0.01%,1.14%,44.11%,43.86%,$-0.26
jared butler,PG/SG/G/UTIL,PHI,26.37%,0.01%,1.14%,12.9%,10.1%,$-0.26
bam adebayo,C/PF/F/UTIL,MIA,28.3%,0.01%,1.11%,33.67%,24.86%,$-0.29
alexandre sarr,C/UTIL,WAS,26.73%,0.01%,1.13%,14.78%,17.97%,$-0.3
nikola vucevic,C/UTIL,CHI,25.84%,0.01%,1.12%,10.55%,9.01%,$-0.34
kel'el ware,C/UTIL,MIA,25.47%,0.02%,1.08%,4.36%,5.8%,$-0.36
jalen wilson,SF/SG/G/F/UTIL,BKN,27.18%,0.01%,1.1%,27.53%,25.04%,$-0.37
ziaire williams,SF/F/UTIL,BKN,26.76%,0.01%,1.08%,7.66%,9.8%,$-0.38
davion mitchell,PG/G/UTIL,MIA,26.62%,0.01%,1.08%,7.26%,12.09%,$-0.41
justin champagnie,PF/SF/F/UTIL,WAS,26.28%,0.01%,1.08%,16.87%,15.03%,$-0.44
keon johnson,PG/SG/G/UTIL,BKN,26.6%,0.01%,1.05%,23.4%,20.48%,$-0.49
kristaps porzingis,C/UTIL,BOS,23.98%,0.02%,1.01%,3.15%,4.45%,$-0.5
pascal siakam,PF/F/UTIL,IND,24.63%,0.01%,1.04%,8.37%,8.05%,$-0.54
blake wesley,PG/G/UTIL,SAS,24.99%,0.01%,1.02%,8.55%,16.65%,$-0.56
jalen williams,PF/SF/F/UTIL,OKC,23.74%,0.01%,1.03%,8.69%,6.8%,$-0.59
patrick williams,PF/F/UTIL,CHI,25.82%,0.01%,1.02%,7.61%,11.86%,$-0.59
isaiah joe,SG/G/UTIL,OKC,25.21%,0.01%,1.01%,6.28%,10.49%,$-0.6
josh giddey,PG/G/UTIL,CHI,26.46%,0.01%,1.0%,29.97%,33.89%,$-0.61
haywood highsmith,PF/SF/F/UTIL,MIA,26.32%,0.01%,1.01%,25.88%,28.76%,$-0.62
anthony davis,C/PF/F/UTIL,DAL,24.06%,0.01%,1.04%,19.27%,10.36%,$-0.63
kenrich williams,C/PF/F/UTIL,OKC,26.27%,0.01%,0.99%,31.69%,31.63%,$-0.65
lebron james,PF/SF/F/UTIL,LAL,26.74%,0.01%,0.97%,45.52%,35.55%,$-0.66
chris paul,PG/G/UTIL,SAS,24.09%,0.01%,0.98%,5.04%,8.5%,$-0.66
adem bona,C/UTIL,PHI,32.42%,0.01%,0.95%,0.04%,0.06%,$-0.71
myles turner,C/UTIL,IND,24.6%,0.01%,0.94%,4.33%,5.46%,$-0.72
tyrese martin,SG/G/UTIL,BKN,24.49%,0.01%,0.95%,6.01%,8.6%,$-0.74
luka doncic,PG/G/UTIL,LAL,23.8%,0.01%,0.99%,16.79%,13.63%,$-0.75
stephon castle,PG/SG/G/UTIL,SAS,23.63%,0.01%,0.95%,7.74%,5.35%,$-0.76
trendon watford,C/PF/F/UTIL,BKN,23.06%,0.01%,0.94%,5.14%,3.58%,$-0.77
aj johnson,PG/SG/G/UTIL,WAS,24.95%,0.01%,0.94%,15.53%,16.66%,$-0.79
jordan poole,PG/G/UTIL,WAS,21.31%,0.02%,0.89%,1.46%,1.6%,$-0.79
keldon johnson,PF/SF/F/UTIL,SAS,23.68%,0.01%,0.92%,6.44%,5.75%,$-0.85
coby white,SF/SG/G/F/UTIL,CHI,24.21%,0.01%,0.92%,10.82%,6.24%,$-0.86
kevin huerter,SF/SG/G/F/UTIL,CHI,25.08%,0.01%,0.9%,20.3%,14.18%,$-0.89
jayson tatum,PF/SF/F/UTIL,BOS,22.62%,0.01%,0.92%,12.17%,6.12%,$-0.92
dalen terry,SF/SG/G/F/UTIL,CHI,25.39%,0.01%,0.88%,0.08%,0.1%,$-0.94
cason wallace,PG/SG/G/UTIL,OKC,24.33%,0.01%,0.87%,13.44%,14.98%,$-0.99
jaren jackson jr.,C/PF/F/UTIL,MEM,23.08%,0.01%,0.87%,11.71%,7.21%,$-0.99
cameron johnson,PF/F/UTIL,BKN,22.55%,0.01%,0.85%,6.28%,4.75%,$-1.05
carlton carrington,PG/SG/G/UTIL,WAS,23.89%,0.01%,0.84%,16.49%,16.54%,$-1.06
santi aldama,PF/F/UTIL,MEM,22.93%,0.01%,0.83%,7.82%,7.9%,$-1.07
matas buzelis,PF/F/UTIL,CHI,23.09%,0.01%,0.81%,3.39%,4.71%,$-1.11
tyrese haliburton,PG/G/UTIL,IND,21.77%,0.01%,0.82%,4.4%,3.99%,$-1.11
kai jones,C/UTIL,DAL,22.4%,0.01%,0.79%,1.73%,2.44%,$-1.13
alec burks,PG/SG/G/UTIL,MIA,22.97%,0.01%,0.8%,4.13%,5.3%,$-1.15
scotty pippen jr.,PG/G/UTIL,MEM,21.56%,0.01%,0.82%,0.13%,0.14%,$-1.2
t.j. mcconnell,PG/G/UTIL,IND,20.74%,0.01%,0.73%,0.33%,0.46%,$-1.24
