Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
scotty pippen jr.,PG/G/UTIL,MEM,28.79%,0.01%,1.4%,17.5%,33.45%,$0.32
isaiah hartenstein,C/UTIL,OKC,26.87%,0.01%,1.33%,6.11%,6.52%,$0.27
jonathan kuminga,PF/F/UTIL,GSW,24.39%,0.01%,1.2%,1.9%,2.19%,$0.17
nikola jokic,C/UTIL,DEN,28.21%,0.01%,1.37%,16.08%,19.75%,$0.15
mo bamba,C/UTIL,NOP,26.07%,0.01%,1.25%,6.06%,12.26%,$0.11
shai gilgeous-alexander,PG/G/UTIL,OKC,26.2%,0.01%,1.33%,11.69%,16.23%,$0.08
jaime jaquez jr.,PF/SF/F/UTIL,MIA,29.06%,0.01%,1.29%,41.6%,40.55%,$0.08
alperen sengun,C/UTIL,HOU,27.63%,0.01%,1.26%,13.67%,16.13%,$0.0
russell westbrook,PG/G/UTIL,DEN,28.81%,0.01%,1.22%,32.91%,58.51%,$-0.04
justin champagnie,PF/SF/F/UTIL,WAS,27.86%,0.01%,1.21%,17.86%,14.85%,$-0.06
jabari smith jr.,C/PF/F/UTIL,HOU,28.34%,0.01%,1.22%,19.37%,15.35%,$-0.06
alexandre sarr,C/UTIL,WAS,25.48%,0.01%,1.15%,4.06%,5.54%,$-0.08
jordan hawkins,PG/SG/G/UTIL,NOP,27.34%,0.01%,1.2%,25.92%,27.66%,$-0.09
stephon castle,PG/SG/G/UTIL,SAS,28.29%,0.01%,1.15%,42.64%,45.94%,$-0.16
aaron wiggins,PF/SF/F/UTIL,OKC,26.66%,0.01%,1.13%,16.29%,13.22%,$-0.22
kelly olynyk,C/PF/F/UTIL,NOP,25.1%,0.01%,1.11%,10.24%,7.84%,$-0.27
jose alvarado,PG/G/UTIL,NOP,25.4%,0.01%,1.09%,11.11%,19.01%,$-0.29
steven adams,C/UTIL,HOU,23.98%,0.01%,1.02%,2.27%,4.58%,$-0.29
trey murphy iii,SF/SG/G/F/UTIL,NOP,27.06%,0.01%,1.09%,26.52%,16.98%,$-0.32
karlo matkovic,C/PF/F/UTIL,NOP,26.51%,0.01%,1.07%,24.14%,19.74%,$-0.36
gary payton ii,SF/SG/G/F/UTIL,GSW,24.16%,0.01%,1.02%,4.0%,2.69%,$-0.39
karl-anthony towns,C/UTIL,NYK,24.68%,0.01%,1.05%,11.89%,14.29%,$-0.41
corey kispert,PF/SF/F/UTIL,WAS,24.77%,0.01%,1.0%,3.79%,3.22%,$-0.43
kevin huerter,SF/SG/G/F/UTIL,CHI,26.13%,0.01%,1.01%,26.92%,19.14%,$-0.47
tre jones,PG/G/UTIL,CHI,26.21%,0.01%,1.01%,23.85%,42.25%,$-0.48
cj mccollum,PG/G/UTIL,NOP,24.13%,0.01%,0.98%,8.81%,11.59%,$-0.5
giannis antetokounmpo,C/PF/F/UTIL,MIL,26.73%,0.01%,0.95%,39.23%,27.91%,$-0.51
jalen green,PG/SG/G/UTIL,HOU,25.49%,0.01%,0.98%,12.69%,10.19%,$-0.52
dillon brooks,PF/SF/F/UTIL,HOU,25.73%,0.01%,0.99%,10.01%,8.11%,$-0.52
marcus smart,SF/SG/G/F/UTIL,WAS,24.18%,0.01%,0.97%,10.21%,6.84%,$-0.53
blake wesley,PG/G/UTIL,SAS,24.15%,0.01%,0.97%,7.11%,11.62%,$-0.53
keldon johnson,PF/SF/F/UTIL,SAS,23.96%,0.01%,0.97%,8.87%,7.22%,$-0.54
jalen duren,C/UTIL,DET,21.26%,0.01%,0.89%,1.41%,1.5%,$-0.54
cade cunningham,PG/G/UTIL,DET,22.66%,0.01%,0.95%,9.83%,10.01%,$-0.6
lamar stevens,PF/F/UTIL,MEM,21.64%,0.01%,0.85%,0.06%,0.1%,$-0.6
jamal murray,PG/SG/G/UTIL,DEN,23.55%,0.01%,0.92%,8.58%,5.82%,$-0.62
pascal siakam,PF/F/UTIL,IND,22.23%,0.01%,0.89%,2.4%,1.86%,$-0.62
cason wallace,PG/SG/G/UTIL,OKC,24.6%,0.01%,0.92%,8.87%,8.24%,$-0.64
jeremy sochan,C/PF/F/UTIL,SAS,23.34%,0.01%,0.9%,7.75%,5.91%,$-0.67
quinten post,C/UTIL,GSW,23.04%,0.01%,0.86%,0.83%,1.4%,$-0.67
jeremiah robinson-earl,C/PF/F/UTIL,NOP,23.17%,0.01%,0.91%,0.09%,0.1%,$-0.67
andrew wiggins,SF/F/UTIL,MIA,24.39%,0.01%,0.91%,11.94%,13.79%,$-0.68
ausar thompson,PF/SF/F/UTIL,DET,22.39%,0.01%,0.85%,4.4%,3.66%,$-0.76
devin vassell,SF/SG/G/F/UTIL,SAS,23.8%,0.0%,0.85%,13.61%,8.26%,$-0.79
tyler herro,PG/SG/G/UTIL,MIA,23.37%,0.0%,0.84%,11.38%,7.98%,$-0.8
og anunoby,PF/SF/F/UTIL,NYK,24.58%,0.0%,0.84%,7.37%,4.87%,$-0.8
julian champagnie,SF/SG/G/F/UTIL,SAS,23.0%,0.01%,0.85%,10.24%,7.26%,$-0.8
nikola vucevic,C/UTIL,CHI,20.54%,0.01%,0.78%,1.22%,1.24%,$-0.81
christian braun,SF/SG/G/F/UTIL,DEN,22.98%,0.01%,0.82%,3.92%,2.36%,$-0.82
draymond green,C/UTIL,GSW,22.45%,0.01%,0.8%,0.89%,1.19%,$-0.82
khris middleton,SF/SG/G/F/UTIL,WAS,21.76%,0.01%,0.82%,5.7%,3.35%,$-0.85
zeke nnaji,C/PF/F/UTIL,DEN,22.86%,0.0%,0.83%,8.09%,6.93%,$-0.85
coby white,SF/SG/G/F/UTIL,CHI,23.21%,0.0%,0.82%,8.62%,4.97%,$-0.85
stephen curry,PG/G/UTIL,GSW,21.1%,0.01%,0.8%,6.62%,6.79%,$-0.87
damian lillard,PG/G/UTIL,MIL,21.64%,0.01%,0.8%,5.9%,6.44%,$-0.87
myles turner,C/UTIL,IND,22.18%,0.01%,0.76%,1.52%,1.82%,$-0.89
michael porter jr.,PF/SF/F/UTIL,DEN,22.32%,0.0%,0.79%,7.56%,5.25%,$-0.9
josh hart,PF/SF/F/UTIL,NYK,23.46%,0.0%,0.78%,10.51%,6.15%,$-0.92
kyshawn george,PF/F/UTIL,WAS,23.3%,0.0%,0.78%,7.92%,9.46%,$-0.93
harrison barnes,PF/SF/F/UTIL,SAS,22.9%,0.0%,0.77%,1.38%,1.02%,$-0.94
brandon clarke,C/UTIL,MEM,21.73%,0.01%,0.73%,0.55%,0.99%,$-0.94
luguentz dort,SF/SG/G/F/UTIL,OKC,23.7%,0.0%,0.78%,4.42%,2.64%,$-0.94
aaron holiday,PG/SG/G/UTIL,HOU,22.8%,0.0%,0.72%,0.11%,0.1%,$-0.96
jeff green,C/PF/F/UTIL,HOU,23.36%,0.0%,0.82%,0.11%,0.1%,$-0.96
patrick williams,PF/SF/F/UTIL,CHI,22.03%,0.0%,0.75%,2.3%,2.03%,$-0.98
duncan robinson,SF/SG/G/F/UTIL,MIA,22.76%,0.0%,0.76%,4.16%,2.47%,$-0.98
gregory jackson,PF/SF/F/UTIL,MEM,21.66%,0.0%,0.75%,1.31%,1.09%,$-0.99
miles mcbride,PG/SG/G/UTIL,NYK,23.01%,0.0%,0.75%,9.35%,8.98%,$-0.99
kevin porter jr.,PG/G/UTIL,MIL,20.7%,0.0%,0.7%,0.08%,0.1%,$-0.99
jimmy butler,PF/SF/F/UTIL,GSW,20.81%,0.0%,0.73%,4.47%,2.13%,$-1.01
isaiah stewart,C/UTIL,DET,21.49%,0.0%,0.74%,0.66%,1.44%,$-1.01
richaun holmes,C/UTIL,WAS,19.48%,0.01%,0.67%,0.06%,0.08%,$-1.01
tyrese haliburton,PG/G/UTIL,IND,20.94%,0.0%,0.72%,3.44%,3.33%,$-1.02
jordan poole,PG/G/UTIL,WAS,19.32%,0.01%,0.68%,1.23%,1.2%,$-1.04
julian phillips,PF/F/UTIL,CHI,22.47%,0.0%,0.74%,1.0%,1.37%,$-1.04
jaylin williams,C/UTIL,OKC,20.22%,0.01%,0.72%,0.09%,0.19%,$-1.04
tobias harris,PF/F/UTIL,DET,22.75%,0.0%,0.72%,4.88%,5.32%,$-1.05
bam adebayo,C/PF/F/UTIL,MIA,21.01%,0.0%,0.72%,10.75%,6.02%,$-1.07
gary trent jr.,SF/SG/G/F/UTIL,MIL,21.79%,0.0%,0.72%,0.59%,0.29%,$-1.08
kyle kuzma,PF/SF/F/UTIL,MIL,21.64%,0.0%,0.7%,6.13%,4.69%,$-1.09
dennis schroder,PG/SG/G/UTIL,DET,20.61%,0.0%,0.68%,1.59%,1.43%,$-1.09
thomas bryant,C/UTIL,IND,20.21%,0.01%,0.71%,0.18%,0.26%,$-1.1
chris paul,PG/G/UTIL,SAS,20.6%,0.0%,0.68%,2.36%,3.87%,$-1.12
alex caruso,PG/SF/G/F/UTIL,OKC,20.86%,0.0%,0.69%,1.81%,1.27%,$-1.12
antonio reeves,SG/G/UTIL,NOP,21.08%,0.0%,0.72%,0.05%,0.1%,$-1.13
bruce brown,SF/F/UTIL,NOP,20.87%,0.0%,0.67%,9.37%,12.01%,$-1.19
tim hardaway jr.,SF/SG/G/F/UTIL,DET,21.6%,0.0%,0.67%,3.19%,2.11%,$-1.19
aaron nesmith,SF/SG/G/F/UTIL,IND,21.31%,0.0%,0.65%,2.88%,1.82%,$-1.19
sandro mamukelashvili,C/PF/F/UTIL,SAS,18.38%,0.0%,0.65%,0.13%,0.1%,$-1.19
carlton carrington,PG/SG/G/UTIL,WAS,20.88%,0.0%,0.63%,5.85%,5.47%,$-1.24
obi toppin,C/PF/F/UTIL,IND,19.84%,0.0%,0.63%,0.45%,0.41%,$-1.24
mikal bridges,SF/SG/G/F/UTIL,NYK,21.38%,0.0%,0.62%,3.85%,2.36%,$-1.26
taurean prince,SG/G/UTIL,MIL,21.3%,0.0%,0.65%,0.97%,1.3%,$-1.26
zach edey,C/UTIL,MEM,19.94%,0.0%,0.61%,0.87%,1.46%,$-1.27
moses moody,PF/SF/F/UTIL,GSW,20.8%,0.0%,0.59%,3.41%,2.65%,$-1.33
davion mitchell,PG/G/UTIL,MIA,20.49%,0.0%,0.54%,0.06%,0.1%,$-1.34
t.j. mcconnell,PG/G/UTIL,IND,19.68%,0.0%,0.7%,0.04%,0.14%,$-1.35
brook lopez,C/UTIL,MIL,21.41%,0.0%,0.56%,0.53%,0.76%,$-1.36
ronald holland ii,SF/F/UTIL,DET,20.12%,0.0%,0.55%,0.07%,0.1%,$-1.37
peyton watson,PF/SF/F/UTIL,DEN,18.97%,0.0%,0.53%,0.26%,0.16%,$-1.41
fred vanvleet,PG/G/UTIL,HOU,19.99%,0.0%,0.54%,0.12%,0.13%,$-1.41
kenrich williams,C/PF/F/UTIL,OKC,19.62%,0.0%,0.52%,0.17%,0.13%,$-1.41
jalen pickett,PG/SG/G/UTIL,DEN,19.63%,0.0%,0.56%,1.48%,1.51%,$-1.42
matas buzelis,PF/F/UTIL,CHI,19.27%,0.0%,0.54%,0.62%,0.61%,$-1.44
bennedict mathurin,SF/F/UTIL,IND,20.22%,0.0%,0.54%,0.08%,0.1%,$-1.44
kevon looney,C/UTIL,GSW,19.17%,0.0%,0.54%,1.77%,3.95%,$-1.45
buddy hield,SF/SG/G/F/UTIL,GSW,19.65%,0.0%,0.55%,0.13%,0.09%,$-1.47
ja morant,PG/G/UTIL,MEM,16.48%,0.0%,0.51%,3.1%,3.58%,$-1.49
jaren jackson jr.,C/PF/F/UTIL,MEM,16.14%,0.0%,0.49%,1.8%,1.02%,$-1.51
malik beasley,SF/SG/G/F/UTIL,DET,18.6%,0.0%,0.49%,2.63%,1.67%,$-1.53
cameron payne,PG/SG/G/UTIL,NYK,18.41%,0.0%,0.5%,0.57%,0.61%,$-1.53
dalen terry,PF/SF/F/UTIL,CHI,19.83%,0.0%,0.49%,0.15%,0.1%,$-1.53
zach collins,C/UTIL,CHI,16.17%,0.0%,0.47%,0.2%,0.27%,$-1.55
aj green,SG/G/UTIL,MIL,18.11%,0.0%,0.43%,0.11%,0.1%,$-1.58
jericho sims,C/UTIL,MIL,18.8%,0.0%,0.43%,0.07%,0.1%,$-1.6
mitchell robinson,C/UTIL,NYK,18.41%,0.0%,0.53%,0.06%,0.1%,$-1.6
andrew nembhard,PG/SG/G/UTIL,IND,18.13%,0.0%,0.44%,0.71%,0.64%,$-1.65
jaylen wells,SF/SG/G/F/UTIL,MEM,17.6%,0.0%,0.44%,0.11%,0.1%,$-1.66
