Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
deandre jordan,C/UTIL,DEN,27.37%,0.01%,1.58%,11.49%,32.15%,$1.17
yves missi,C/UTIL,NOP,27.2%,0.01%,1.55%,8.84%,19.68%,$1.07
jared butler,PG/SG/G/UTIL,PHI,26.2%,0.01%,1.44%,13.77%,11.02%,$0.75
jordan hawkins,PG/SG/G/UTIL,NOP,28.0%,0.01%,1.43%,42.09%,56.57%,$0.6
anthony edwards,SG/G/UTIL,MIN,26.86%,0.01%,1.39%,15.5%,8.65%,$0.5
keion brooks jr.,SF/F/UTIL,NOP,25.01%,0.01%,1.36%,14.8%,31.78%,$0.49
alexandre sarr,C/UTIL,WAS,23.23%,0.01%,1.22%,4.05%,5.65%,$0.33
scottie barnes,PG/SF/G/F/UTIL,TOR,22.48%,0.01%,1.25%,7.57%,2.91%,$0.25
jose alvarado,PG/G/UTIL,NOP,25.62%,0.01%,1.27%,29.17%,53.15%,$0.13
pascal siakam,PF/F/UTIL,IND,23.62%,0.01%,1.19%,6.2%,4.38%,$0.09
nikola vucevic,C/UTIL,CHI,23.35%,0.01%,1.16%,6.03%,5.51%,$-0.04
jamal murray,PG/SG/G/UTIL,DEN,25.37%,0.01%,1.2%,21.06%,11.53%,$-0.06
lebron james,PF/SF/F/UTIL,LAL,25.17%,0.01%,1.16%,24.66%,8.22%,$-0.21
josh giddey,PG/SF/G/F/UTIL,CHI,25.12%,0.01%,1.15%,24.15%,9.55%,$-0.22
anthony davis,C/PF/F/UTIL,DAL,22.33%,0.01%,1.16%,11.39%,3.7%,$-0.22
justin edwards,PF/SF/F/UTIL,PHI,24.98%,0.01%,1.15%,45.95%,51.93%,$-0.25
michael porter jr.,PF/SF/F/UTIL,DEN,24.56%,0.01%,1.14%,19.72%,13.44%,$-0.26
nic claxton,C/UTIL,BKN,22.61%,0.01%,1.04%,2.4%,3.77%,$-0.28
kelly olynyk,C/PF/F/UTIL,NOP,24.81%,0.01%,1.12%,38.51%,36.63%,$-0.32
immanuel quickley,PG/G/UTIL,TOR,20.1%,0.01%,0.99%,3.7%,4.19%,$-0.34
aaron gordon,PF/F/UTIL,DEN,23.19%,0.01%,1.08%,13.43%,14.91%,$-0.41
coby white,PG/SG/G/UTIL,CHI,22.81%,0.01%,1.04%,7.91%,4.01%,$-0.42
jeff dowtin,PG/G/UTIL,PHI,23.71%,0.01%,1.07%,29.19%,52.01%,$-0.44
paolo banchero,PF/F/UTIL,ORL,23.84%,0.01%,1.08%,16.75%,8.68%,$-0.45
tyrese haliburton,PG/G/UTIL,IND,22.31%,0.01%,1.02%,9.74%,7.08%,$-0.51
myles turner,C/UTIL,IND,22.25%,0.01%,0.98%,2.68%,3.4%,$-0.55
karlo matkovic,C/PF/F/UTIL,NOP,22.89%,0.01%,1.03%,21.7%,21.97%,$-0.59
cameron johnson,PF/SF/F/UTIL,BKN,22.07%,0.01%,0.99%,10.66%,6.5%,$-0.61
trendon watford,C/PF/F/UTIL,BKN,20.59%,0.01%,0.92%,3.1%,3.13%,$-0.71
russell westbrook,PG/G/UTIL,DEN,20.48%,0.01%,0.93%,5.77%,4.83%,$-0.72
franz wagner,SF/SG/G/F/UTIL,ORL,22.93%,0.01%,0.97%,18.56%,7.09%,$-0.74
naz reid,C/PF/F/UTIL,MIN,21.27%,0.01%,0.9%,4.32%,2.97%,$-0.77
chuma okeke,PF/SF/F/UTIL,PHI,22.11%,0.01%,0.91%,18.47%,20.05%,$-0.96
christian braun,SF/SG/G/F/UTIL,DEN,22.19%,0.01%,0.9%,18.05%,11.74%,$-0.99
julius randle,C/PF/F/UTIL,MIN,20.29%,0.01%,0.85%,5.46%,2.89%,$-1.02
jordan poole,PG/G/UTIL,WAS,18.03%,0.01%,0.77%,1.06%,1.05%,$-1.05
wendell carter jr.,C/UTIL,ORL,21.78%,0.01%,0.85%,3.43%,6.36%,$-1.07
luka doncic,PG/G/UTIL,LAL,21.54%,0.0%,0.8%,31.41%,8.2%,$-1.22
ricky council iv,PF/SF/F/UTIL,PHI,19.37%,0.01%,0.79%,4.6%,4.85%,$-1.22
tristan vukcevic,C/UTIL,WAS,19.27%,0.01%,0.79%,7.47%,16.69%,$-1.22
jonathan mogbo,C/PF/F/UTIL,TOR,21.11%,0.0%,0.82%,23.27%,24.82%,$-1.25
aj johnson,PG/SG/G/UTIL,WAS,20.73%,0.0%,0.81%,19.69%,23.31%,$-1.26
rudy gobert,C/UTIL,MIN,20.67%,0.0%,0.77%,3.36%,4.23%,$-1.27
kevin huerter,SF/SG/G/F/UTIL,CHI,21.28%,0.0%,0.79%,17.17%,11.47%,$-1.29
keon johnson,PG/SG/G/UTIL,BKN,19.38%,0.01%,0.75%,3.29%,2.75%,$-1.3
ziaire williams,SF/SG/G/F/UTIL,BKN,20.38%,0.0%,0.79%,16.9%,13.99%,$-1.33
guerschon yabusele,C/PF/F/UTIL,PHI,18.89%,0.01%,0.73%,1.0%,0.73%,$-1.38
jeremiah robinson-earl,C/PF/F/UTIL,NOP,19.19%,0.0%,0.75%,8.62%,9.87%,$-1.39
zach collins,C/UTIL,CHI,18.65%,0.01%,0.69%,0.54%,1.61%,$-1.44
ja'kobe walter,SF/SG/G/F/UTIL,TOR,18.93%,0.0%,0.71%,7.13%,6.06%,$-1.48
antonio reeves,SF/SG/G/F/UTIL,NOP,18.92%,0.0%,0.71%,10.17%,11.28%,$-1.49
jamison battle,SF/F/UTIL,TOR,18.63%,0.0%,0.71%,1.09%,1.78%,$-1.53
jaden mcdaniels,PF/SF/F/UTIL,MIN,19.13%,0.0%,0.68%,2.52%,1.82%,$-1.55
jaxson hayes,C/UTIL,LAL,20.16%,0.0%,0.69%,0.04%,0.1%,$-1.57
donte divincenzo,PG/SG/G/UTIL,MIN,18.37%,0.0%,0.67%,4.8%,4.13%,$-1.6
tyrese martin,SG/G/UTIL,BKN,18.81%,0.0%,0.67%,7.33%,11.34%,$-1.64
dalen terry,SF/SG/G/F/UTIL,CHI,18.21%,0.0%,0.65%,3.84%,3.95%,$-1.68
justin champagnie,PF/SF/F/UTIL,WAS,17.37%,0.0%,0.63%,3.0%,2.99%,$-1.7
pj washington,C/PF/F/UTIL,DAL,19.1%,0.0%,0.63%,5.64%,2.46%,$-1.73
day'ron sharpe,C/UTIL,BKN,16.85%,0.0%,0.61%,2.55%,5.88%,$-1.76
marcus smart,SF/SG/G/F/UTIL,WAS,17.21%,0.0%,0.62%,0.53%,0.59%,$-1.76
austin reaves,PG/SG/G/UTIL,LAL,18.04%,0.0%,0.61%,4.47%,2.11%,$-1.77
jakob poeltl,C/UTIL,TOR,16.88%,0.0%,0.58%,2.12%,3.59%,$-1.82
jamal cain,SF/SG/G/F/UTIL,NOP,17.8%,0.0%,0.62%,14.73%,17.24%,$-1.83
matas buzelis,PF/F/UTIL,CHI,17.06%,0.0%,0.58%,0.54%,0.93%,$-1.91
carlton carrington,PG/SG/G/UTIL,WAS,17.3%,0.0%,0.57%,2.42%,2.4%,$-1.93
adem bona,C/UTIL,PHI,17.29%,0.0%,0.56%,1.0%,2.08%,$-1.93
aaron nesmith,SF/SG/G/F/UTIL,IND,17.97%,0.0%,0.57%,7.45%,5.27%,$-1.95
patrick williams,PF/F/UTIL,CHI,17.6%,0.0%,0.54%,0.76%,1.49%,$-1.97
naji marshall,PF/SF/F/UTIL,DAL,17.52%,0.0%,0.54%,0.3%,0.14%,$-1.99
khris middleton,SF/SG/G/F/UTIL,WAS,15.66%,0.0%,0.54%,0.66%,0.55%,$-2.02
cole anthony,PG/G/UTIL,ORL,15.92%,0.0%,0.54%,0.28%,0.63%,$-2.06
mike conley,PG/G/UTIL,MIN,16.27%,0.0%,0.52%,2.31%,4.97%,$-2.11
jamal shead,PG/G/UTIL,TOR,15.69%,0.0%,0.5%,1.43%,2.39%,$-2.11
colin castleton,C/PF/F/UTIL,TOR,15.29%,0.0%,0.5%,0.22%,0.21%,$-2.15
kai jones,C/UTIL,DAL,17.23%,0.0%,0.49%,0.13%,0.38%,$-2.2
anthony black,PG/G/UTIL,ORL,15.52%,0.0%,0.45%,0.61%,1.07%,$-2.29
peyton watson,C/PF/F/UTIL,DEN,16.12%,0.0%,0.43%,2.21%,2.13%,$-2.33
orlando robinson,C/UTIL,TOR,15.79%,0.0%,0.42%,0.18%,0.39%,$-2.33
andrew nembhard,PG/SG/G/UTIL,IND,15.56%,0.0%,0.43%,1.44%,1.14%,$-2.35
spencer dinwiddie,PG/SG/G/UTIL,DAL,16.32%,0.0%,0.43%,1.82%,1.19%,$-2.37
garrett temple,SG/G/UTIL,TOR,15.47%,0.0%,0.43%,2.6%,5.11%,$-2.38
zeke nnaji,C/PF/F/UTIL,DEN,16.43%,0.0%,0.45%,0.08%,0.1%,$-2.45
jalen hood-schifino,PG/G/UTIL,PHI,14.68%,0.0%,0.4%,0.5%,0.64%,$-2.46
alex reese,C/PF/F/UTIL,PHI,15.68%,0.0%,0.38%,0.05%,0.1%,$-2.51
jonathan isaac,C/PF/F/UTIL,ORL,16.81%,0.0%,0.4%,0.06%,0.1%,$-2.53
bennedict mathurin,SF/SG/G/F/UTIL,IND,14.39%,0.0%,0.36%,9.63%,6.65%,$-2.55
kentavious caldwell-pope,SG/G/UTIL,ORL,14.76%,0.0%,0.35%,1.2%,2.17%,$-2.6
klay thompson,SF/SG/G/F/UTIL,DAL,13.66%,0.0%,0.34%,0.44%,0.28%,$-2.6
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,14.27%,0.0%,0.38%,0.14%,0.1%,$-2.6
max christie,SF/SG/G/F/UTIL,DAL,14.26%,0.0%,0.35%,0.11%,0.1%,$-2.62
dorian finney-smith,C/PF/F/UTIL,LAL,17.49%,0.0%,0.33%,0.09%,0.1%,$-2.62
t.j. mcconnell,PG/G/UTIL,IND,13.25%,0.0%,0.33%,1.06%,1.67%,$-2.67
jaden hardy,PG/SG/G/UTIL,DAL,14.22%,0.0%,0.32%,0.36%,0.29%,$-2.68
jordan goodwin,SF/SG/G/F/UTIL,LAL,15.42%,0.0%,0.31%,0.13%,0.1%,$-2.69
obi toppin,C/PF/F/UTIL,IND,13.36%,0.0%,0.29%,0.2%,0.17%,$-2.76
kyshawn george,PF/SF/F/UTIL,WAS,12.97%,0.0%,0.3%,0.22%,0.18%,$-2.77
noah clowney,PF/SF/F/UTIL,BKN,13.71%,0.0%,0.3%,0.37%,0.37%,$-2.77
moritz wagner,C/UTIL,ORL,10.4%,0.0%,0.08%,0.01%,0.03%,$-2.9
colby jones,SF/SG/G/F/UTIL,WAS,11.28%,0.0%,0.3%,0.15%,0.1%,$-2.94
eric gordon,SF/F/UTIL,PHI,7.58%,0.0%,0.19%,0.01%,0.03%,$-2.95
julian phillips,PF/SF/F/UTIL,CHI,11.79%,0.0%,0.26%,0.08%,0.1%,$-2.96
elfrid payton,PG/G/UTIL,NOP,12.38%,0.0%,0.26%,0.05%,0.1%,$-2.97
jalen wilson,SF/SG/G/F/UTIL,BKN,10.27%,0.0%,0.2%,0.07%,0.05%,$-3.02
jesse edwards,C/UTIL,MIN,9.49%,0.0%,0.04%,0.01%,0.03%,$-3.02
anthony gill,C/PF/F/UTIL,WAS,11.94%,0.0%,0.21%,0.12%,0.1%,$-3.05
jared rhoden,PF/F/UTIL,TOR,13.14%,0.0%,0.07%,0.02%,0.04%,$-3.07
jaylen martin,SF/F/UTIL,WAS,10.63%,0.0%,0.1%,0.03%,0.1%,$-3.13
hunter tyson,SF/F/UTIL,DEN,7.97%,0.0%,0.08%,0.01%,0.03%,$-3.14
thomas bryant,C/UTIL,IND,10.68%,0.0%,0.12%,0.04%,0.1%,$-3.17
