Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4678344695,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Tyler Herro (38239631),Colby Jones (38239966),Coby White (38239640),Bam Adebayo (38239623),Tristan Vukcevic (38239923),Pelle Larsson (38240216),LeBron James (38239587),Keldon Johnson (38239818)
4678344696,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Shai Gilgeous-Alexander (38239580),Kevin Huerter (38239725),Jaylen Martin (38240062),LeBron James (38239587),Tristan Vukcevic (38239923),Chris Paul (38239879),Kenrich Williams (38239995),Bam Adebayo (38239623)
4678344697,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Tyler Herro (38239631),Colby Jones (38239966),Jaylen Martin (38240062),Justin Champagnie (38239809),Tristan Vukcevic (38239923),Shai Gilgeous-Alexander (38239580),Kyle Anderson (38240065),Luka Doncic (38239577)
4678344698,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Tyler Herro (38239631),Julian Champagnie (38239978),Justin Champagnie (38239809),LeBron James (38239587),Tristan Vukcevic (38239923),Isaiah Joe (38239952),Anthony Davis (38239591),Jared Butler (38239721)
4678344699,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Tyler Herro (38239631),Carlton Carrington (38239793),Jaylen Martin (38240062),Bam Adebayo (38239623),Tristan Vukcevic (38239923),Shai Gilgeous-Alexander (38239580),Patrick Williams (38239940),Myles Turner (38239692)
4678344700,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Luka Doncic (38239577),Tyrese Martin (38239908),Jaylen Martin (38240062),LeBron James (38239587),Tristan Vukcevic (38239923),Pelle Larsson (38240216),Kyle Anderson (38240065),Shai Gilgeous-Alexander (38239580)
4678344701,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Tyler Herro (38239631),Colby Jones (38239966),Jayson Tatum (38239583),Kyle Anderson (38240065),Tristan Vukcevic (38239923),Shai Gilgeous-Alexander (38239580),Julian Champagnie (38239978),Alexandre Sarr (38239686)
4678344702,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Davion Mitchell (38239876),Colby Jones (38239966),Coby White (38239640),Bam Adebayo (38239623),Tristan Vukcevic (38239923),Kevin Huerter (38239725),LeBron James (38239587),Kel'el Ware (38239743)
4678344703,NBA $30K Four Point Play [20 Entry Max],175305670,$4,Josh Giddey (38239598),Cason Wallace (38239919),Jalen Williams (38239627),Bam Adebayo (38239623),Tristan Vukcevic (38239923),Davion Mitchell (38239876),Kyle Anderson (38240065),Tyler Herro (38239631)
