Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
cj mccollum,PG/SG/G/UTIL,NOP,16.45%,0.0%,0.42%,2.16%,1.3%,$-2.29
jalen wilson,PF/SF/F/UTIL,BKN,17.93%,0.0%,0.42%,0.15%,0.15%,$-2.3
mac mcclung,PG/G/UTIL,ORL,0%,0%,0%,0.0%,0.03%,$-2.31
al horford,C/PF/F/UTIL,BOS,16.91%,0.0%,0.39%,0.2%,0.2%,$-2.34
carlton carrington,PG/SG/G/UTIL,WAS,17.61%,0.0%,0.41%,0.25%,0.27%,$-2.35
brandon miller,SF/SG/G/F/UTIL,CHA,16.36%,0.0%,0.38%,2.16%,0.94%,$-2.42
georges niang,PF/SF/F/UTIL,CLE,15.32%,0.0%,0.32%,0.08%,0.1%,$-2.56
trey murphy iii,PF/SF/F/UTIL,NOP,15.25%,0.0%,0.31%,1.86%,0.92%,$-2.59
emoni bates,PG/G/UTIL,CLE,0%,0%,0%,0.0%,0.03%,$-2.6
daniel theis,C/UTIL,NOP,16.0%,0.0%,0.28%,0.04%,0.1%,$-2.62
kyshawn george,PF/SF/F/UTIL,WAS,16.42%,0.0%,0.29%,0.41%,0.46%,$-2.63
josh green,PF/SF/F/UTIL,CHA,16.0%,0.0%,0.27%,0.11%,0.1%,$-2.65
justin edwards,SF/F/UTIL,PHI,16.74%,0.0%,0.29%,0.06%,0.1%,$-2.71
thomas bryant,C/UTIL,IND,16.73%,0.0%,0.33%,0.03%,0.1%,$-2.73
ben sheppard,SF/SG/G/F/UTIL,IND,15.55%,0.0%,0.25%,0.07%,0.1%,$-2.76
justin champagnie,PF/SF/F/UTIL,WAS,13.91%,0.0%,0.25%,0.64%,0.51%,$-2.8
reece beekman,PG/G/UTIL,BKN,14.56%,0.0%,0.21%,0.05%,0.1%,$-2.8
caleb houstan,PF/SF/F/UTIL,ORL,14.73%,0.0%,0.25%,0.07%,0.1%,$-2.81
reggie jackson,PG/G/UTIL,PHI,13.84%,0.0%,0.22%,0.05%,0.1%,$-2.84
trevelin queen,PG/SG/G/UTIL,ORL,14.4%,0.0%,0.22%,0.05%,0.1%,$-2.85
sam hauser,PF/SF/F/UTIL,BOS,13.82%,0.0%,0.17%,0.07%,0.1%,$-2.91
damion lee,SG/G/UTIL,PHX,21.68%,0.0%,0.23%,0.01%,0.03%,$-2.93
jarace walker,PF/SF/F/UTIL,IND,14.0%,0.0%,0.17%,0.08%,0.1%,$-2.96
isaac okoro,PF/SF/F/UTIL,CLE,11.93%,0.0%,0.17%,0.09%,0.1%,$-2.98
corey kispert,SF/SG/G/F/UTIL,WAS,13.41%,0.0%,0.17%,0.16%,0.1%,$-2.99
karlo matkovic,C/PF/F/UTIL,NOP,13.24%,0.0%,0.13%,0.02%,0.03%,$-2.99
jett howard,PF/SF/F/UTIL,ORL,13.17%,0.0%,0.07%,0.02%,0.03%,$-3.06
anthony gill,C/UTIL,WAS,13.34%,0.0%,0.03%,0.01%,0.03%,$-3.06
luke kornet,C/UTIL,BOS,12.63%,0.0%,0.14%,0.06%,0.1%,$-3.07
javonte green,PF/SF/F/UTIL,NOP,12.2%,0.0%,0.13%,0.06%,0.1%,$-3.13
tyty washington jr.,PG/G/UTIL,PHX,0%,0%,0%,0.0%,0.03%,$-3.16
seth curry,SG/G/UTIL,CHA,14.04%,0.0%,0.12%,0.02%,0.03%,$-3.17
antonio reeves,SF/SG/G/F/UTIL,NOP,10.8%,0.0%,0.09%,0.03%,0.03%,$-3.21
jusuf nurkic,C/UTIL,PHX,0%,0%,0%,0.0%,0.04%,$-3.22
tre mann,PG/G/UTIL,CHA,10.63%,0.0%,0.08%,0.02%,0.03%,$-3.23
baylor scheierman,SG/G/UTIL,BOS,13.32%,0.0%,0.07%,0.02%,0.03%,$-3.25
jared mccain,PG/G/UTIL,PHI,10.04%,0.0%,0.1%,0.01%,0.03%,$-3.25
tristan vukcevic,C/UTIL,WAS,0%,0%,0%,0.0%,0.03%,$-3.26
jamal cain,SF/F/UTIL,NOP,9.88%,0.0%,0.06%,0.05%,0.03%,$-3.29
jordan walsh,SF/SG/G/F/UTIL,BOS,9.93%,0.0%,0.07%,0.03%,0.03%,$-3.29
kyle lowry,PG/SG/G/UTIL,PHI,10.02%,0.0%,0.03%,0.02%,0.03%,$-3.3
collin gillespie,PG/G/UTIL,PHX,9.8%,0.0%,0.07%,0.02%,0.03%,$-3.3
sam merrill,SG/G/UTIL,CLE,8.71%,0.0%,0.1%,0.05%,0.1%,$-3.31
gary harris,SF/SG/G/F/UTIL,ORL,9.27%,0.0%,0.09%,0.03%,0.03%,$-3.32
tristan thompson,C/UTIL,CLE,9.33%,0.0%,0.07%,0.02%,0.03%,$-3.32
johnny davis,SF/SG/G/F/UTIL,WAS,13.6%,0.0%,0.04%,0.01%,0.03%,$-3.33
adam flagler,PG/G/UTIL,OKC,0%,0%,0%,0.0%,0.03%,$-3.34
dariq whitehead,SG/G/UTIL,BKN,8.06%,0.0%,0.15%,0.02%,0.03%,$-3.34
ajay mitchell,PG/G/UTIL,OKC,8.98%,0.0%,0.03%,0.01%,0.03%,$-3.37
jaden springer,SF/SG/G/F/UTIL,BOS,9.98%,0.0%,0.08%,0.03%,0.03%,$-3.37
