PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Russell Westbrook (37472107),Donovan Mitchell (37471970),Josh Okogie (37472306),Evan Mobley (37471997),Moussa Diabate (37472441),Kelly Oubre Jr. (37472101),Jaylen Brown (37472023),Jonas Valanciunas (37472187),297.78000000000003,279.89,394.28000000000003,49700,0.16%,7.99%,616.5%,57.24%,158.67000000000002,$18.5,CLE 2,CHA 2,generated,1
Cade Cunningham (37471924),Kelly Oubre Jr. (37472101),DeMar DeRozan (37472087),Josh Okogie (37472306),Jonas Valanciunas (37472187),Ty Jerome (37472303),Bam Adebayo (37472004),Day'Ron Sharpe (37472253),293.32,277.12000000000006,391.8,49500,0.18%,6.48%,551.8%,51.39%,162.55,$16.6,DET 1,PHI 1,generated,1
Malik Monk (37472048),Donovan Mitchell (37471970),Josh Okogie (37472306),Bam Adebayo (37472004),Jakob Poeltl (37472081),Ty Jerome (37472303),Jaylen Brown (37472023),Moussa Diabate (37472441),299.53999999999996,285.46999999999997,395.46000000000004,50000,0.15%,7.69%,551.2%,60.36%,181.06,$16.5,CLE 2,CHA 2,generated,1
Jalen Brunson (37471958),Malik Monk (37472048),Josh Okogie (37472306),Pascal Siakam (37472020),Jonas Valanciunas (37472187),Ty Jerome (37472303),Michael Porter Jr. (37472145),Jarrett Allen (37472090),293.36,280.2,391.51,49900,0.18%,6.32%,533.4%,51.28%,157.73000000000002,$16.0,CLE 2,NYK 1,generated,1
Ty Jerome (37472303),Malik Monk (37472048),Ausar Thompson (37472263),Josh Okogie (37472306),Jonas Valanciunas (37472187),Kevin Porter Jr. (37472455),Bam Adebayo (37472004),Nikola Jokic (37471917),289.95,279.5,395.08,49600,0.15%,6.31%,486.4%,47.64%,172.37,$14.6,CLE 1,SAC 1,generated,1
Jordan Poole (37472059),Kelly Oubre Jr. (37472101),Scottie Barnes (37471946),Josh Okogie (37472306),Moussa Diabate (37472441),Ty Jerome (37472303),RJ Barrett (37472001),Kristaps Porzingis (37472069),294.78,284.22,388.06,49600,0.13%,5.78%,426.6%,53.98%,185.99,$12.8,TOR 2,CHA 2,generated,1
Cade Cunningham (37471924),Malik Monk (37472048),Josh Okogie (37472306),Kyshawn George (37472363),Moussa Diabate (37472441),Ty Jerome (37472303),Scottie Barnes (37471946),Kristaps Porzingis (37472069),291.84000000000003,282.95,385.70000000000005,50000,0.12%,5.74%,424.3%,49.74%,176.82,$12.7,CHA 2,DET 1,generated,1
Cade Cunningham (37471924),Gradey Dick (37472313),Ausar Thompson (37472263),Josh Okogie (37472306),Jonas Valanciunas (37472187),Ty Jerome (37472303),DeMar DeRozan (37472087),Domantas Sabonis (37471930),292.27,280.28000000000003,390.97,49700,0.13%,5.5%,415.4%,49.78%,177.04,$12.5,DET 2,SAC 2,generated,1
Jordan Poole (37472059),Kelly Oubre Jr. (37472101),Josh Okogie (37472306),Tobias Harris (37472179),Jonas Valanciunas (37472187),Ty Jerome (37472303),Keegan Murray (37472242),Nikola Jokic (37471917),293.54999999999995,282.28,389.52000000000004,49900,0.1%,6.52%,401.7%,52.03%,175.54000000000002,$12.1,WAS 2,PHI 1,generated,1
Ty Jerome (37472303),Isaiah Wong (37472756),RJ Barrett (37472001),Josh Okogie (37472306),Moussa Diabate (37472441),Tyrese Maxey (37471932),DeMar DeRozan (37472087),Domantas Sabonis (37471930),296.66,281.79,387.69,49400,0.11%,5.98%,390.3%,56.52%,184.81,$11.7,CHA 3,SAC 2,generated,1
Tyrese Haliburton (37471986),Kelly Oubre Jr. (37472101),Josh Okogie (37472306),Keegan Murray (37472242),Jonas Valanciunas (37472187),Tyrese Maxey (37471932),PJ Washington (37472066),Ty Jerome (37472303),296.5,277.34,385.5400000000001,49900,0.1%,5.77%,375.3%,55.76%,160.1,$11.3,PHI 2,IND 1,generated,1
Ty Jerome (37472303),Donovan Mitchell (37471970),Nick Smith Jr. (37472226),Josh Okogie (37472306),Jakob Poeltl (37472081),Tyrese Maxey (37471932),Keegan Murray (37472242),Jarrett Allen (37472090),293.33000000000004,278.63,385.15,49800,0.12%,5.34%,374.2%,51.73%,158.29,$11.2,CLE 3,CHA 2,generated,1
Ty Jerome (37472303),Nick Smith Jr. (37472226),Josh Okogie (37472306),Zion Williamson (37471961),Moussa Diabate (37472441),Coby White (37472119),RJ Barrett (37472001),Domantas Sabonis (37471930),291.03,281.65000000000003,385.74,49900,0.12%,5.1%,361.6%,48.75%,179.70999999999998,$10.8,CHA 3,CLE 1,generated,1
Jalen Brunson (37471958),Donovan Mitchell (37471970),Josh Okogie (37472306),Pascal Siakam (37472020),Moussa Diabate (37472441),Russell Westbrook (37472107),Kyshawn George (37472363),Kristaps Porzingis (37472069),288.54999999999995,279.84000000000003,380.24000000000007,49800,0.12%,4.76%,361.0%,45.71%,151.87,$10.8,CHA 2,NYK 1,generated,1
Jordan Poole (37472059),Coby White (37472119),DeMar DeRozan (37472087),Josh Okogie (37472306),Moussa Diabate (37472441),Ty Jerome (37472303),Evan Mobley (37471997),Tyrese Maxey (37471932),292.35999999999996,277.63,382.37,49900,0.1%,5.08%,358.4%,50.24%,150.4,$10.8,CHA 2,CLE 2,generated,1
Vasilije Micic (37472197),Kelly Oubre Jr. (37472101),Josh Okogie (37472306),Pascal Siakam (37472020),Kristaps Porzingis (37472069),Ty Jerome (37472303),Nikola Jovic (37472193),Domantas Sabonis (37471930),294.69,281.31,384.13,49700,0.09%,5.48%,357.4%,53.68%,178.54,$10.7,CHA 2,PHI 1,generated,1
Craig Porter Jr. (37472870),Jaylen Brown (37472023),Bruce Brown (37472277),Josh Okogie (37472306),Jonas Valanciunas (37472187),Ty Jerome (37472303),Miles Bridges (37471983),Nikola Jokic (37471917),287.47,275.49,390.29,49700,0.11%,5.19%,353.0%,44.75%,170.12,$10.6,CLE 2,CHA 2,generated,1
Ty Jerome (37472303),Bilal Coulibaly (37472140),Scottie Barnes (37471946),Josh Okogie (37472306),Jonas Valanciunas (37472187),Kelly Oubre Jr. (37472101),Keegan Murray (37472242),Domantas Sabonis (37471930),297.66,280.84999999999997,389.63,49900,0.07%,6.53%,350.2%,57.3%,178.74,$10.5,WAS 2,SAC 2,generated,1
Russell Westbrook (37472107),Malik Monk (37472048),Nick Smith Jr. (37472226),Josh Okogie (37472306),Jonas Valanciunas (37472187),Ty Jerome (37472303),Keegan Murray (37472242),Nikola Jokic (37471917),294.89,285.25,392.11,49700,0.08%,6.74%,347.6%,53.81%,188.98000000000002,$10.4,DEN 2,SAC 2,generated,1
