PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Mike Conley (37357230),Duncan Robinson (37357237),Brice Sensabaugh (37357075),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109),Shai Gilgeous-Alexander (37356838),Jalen Williams (37356911),Drew Eubanks (37357151),300.43,289.36999999999995,407.07,49800,0.6%,7.5%,491.7%,59.8%,209.36,$19.7,UTA 2,OKC 2,generated,1
Mike Conley (37357230),Nickeil Alexander-Walker (37357290),Jayson Tatum (37356843),Miles Bridges (37356938),Nikola Jokic (37356826),Keyonte George (37357010),Cody Martin (37357171),Drew Eubanks (37357151),298.16,286.37999999999994,391.39000000000004,50000,0.3%,6.8%,342.0%,58.8%,189.95000000000002,$13.7,MIN 2,CHA 2,generated,1
Keyonte George (37357010),Jamal Murray (37356957),Cody Martin (37357171),Kyle Filipowski (37357140),Drew Eubanks (37357151),LaMelo Ball (37356835),Jalen Williams (37356911),Jakob Poeltl (37356992),293.58,284.05,383.70000000000005,49900,0.4%,5.4%,333.6%,53.0%,165.87,$13.3,UTA 3,CHA 2,generated,1
Jalen Brunson (37356866),Cody Martin (37357171),Nickeil Alexander-Walker (37357290),Kyle Filipowski (37357140),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Giannis Antetokounmpo (37356828),Jaylin Williams (37357201),295.54,285.09000000000003,398.49,49700,0.2%,6.3%,329.5%,52.4%,188.20000000000002,$13.2,UTA 2,OKC 2,generated,1
Cole Anthony (37356988),Anthony Edwards (37356851),Nickeil Alexander-Walker (37357290),Miles Bridges (37356938),Daniel Gafford (37357030),Cody Martin (37357171),Kyle Filipowski (37357140),Shai Gilgeous-Alexander (37356838),291.99,275.59999999999997,387.19999999999993,49900,0.4%,4.2%,290.9%,51.5%,136.38,$11.6,MIN 2,CHA 2,generated,1
Mike Conley (37357230),Khris Middleton (37357054),Luguentz Dort (37357166),Miles Bridges (37356938),Wendell Carter Jr. (37357109),Shai Gilgeous-Alexander (37356838),Giannis Antetokounmpo (37356828),Drew Eubanks (37357151),297.78000000000003,289.03999999999996,400.8,49700,0.3%,6.3%,290.0%,57.9%,220.39999999999998,$11.6,MIL 2,OKC 2,generated,1
Coby White (37356984),Anthony Edwards (37356851),Cody Martin (37357171),Kyle Filipowski (37357140),Drew Eubanks (37357151),Duncan Robinson (37357237),Giannis Antetokounmpo (37356828),Mark Williams (37356970),289.47,281.99,385.28000000000003,49400,0.5%,4.3%,287.0%,47.5%,201.89,$11.5,CHA 2,UTA 2,generated,1
Shai Gilgeous-Alexander (37356838),Jamal Murray (37356957),Nickeil Alexander-Walker (37357290),Jonathan Isaac (37357159),Wendell Carter Jr. (37357109),Gradey Dick (37357126),Giannis Antetokounmpo (37356828),Daniel Gafford (37357030),288.93,278.17,392.99999999999994,49900,0.4%,5.0%,285.9%,43.9%,149.07999999999998,$11.4,ORL 2,OKC 1,generated,1
Mike Conley (37357230),Cody Martin (37357171),RJ Barrett (37356914),Kyle Filipowski (37357140),Mark Williams (37356970),Keyonte George (37357010),Miles Bridges (37356938),Shai Gilgeous-Alexander (37356838),297.4,288.24,395.35,49900,0.1%,5.8%,282.2%,58.7%,195.04000000000002,$11.3,CHA 3,UTA 2,generated,1
Shai Gilgeous-Alexander (37356838),Duncan Robinson (37357237),RJ Barrett (37356914),Naz Reid (37357059),Drew Eubanks (37357151),Isaiah Joe (37357276),Cody Martin (37357171),Nikola Jokic (37356826),288.34,278.55,389.28999999999996,49800,0.3%,4.6%,259.7%,47.5%,156.56,$10.4,OKC 2,MIA 1,generated,1
Mike Conley (37357230),Cody Martin (37357171),Khris Middleton (37357054),Naz Reid (37357059),Drew Eubanks (37357151),LaMelo Ball (37356835),Jalen Williams (37356911),Shai Gilgeous-Alexander (37356838),291.52000000000004,283.71999999999997,390.28999999999996,50000,0.3%,5.4%,258.7%,51.1%,172.04000000000002,$10.3,MIN 2,CHA 2,generated,1
LaMelo Ball (37356835),Jrue Holiday (37357071),Brice Sensabaugh (37357075),Chris Boucher (37357215),Wendell Carter Jr. (37357109),Shai Gilgeous-Alexander (37356838),Miles Bridges (37356938),Drew Eubanks (37357151),294.61,286.31999999999994,392.83,49600,0.2%,4.6%,254.7%,53.0%,206.12,$10.2,CHA 2,UTA 2,generated,1
