PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Trae Young (37750915),Cole Anthony (37751114),Ausar Thompson (37751085),Paolo Banchero (37750942),Jarrett Allen (37751052),Darius Garland (37750989),Vince Williams Jr. (37751460),Kelly Olynyk (37751258),282.26000000000005,282.42,380.71000000000004,50000,0.2%,8.55%,766.8%,58.76%,192.34,$30.7,ORL 2,CLE 2,generated,1
Cole Anthony (37751114),RJ Barrett (37751003),Vince Williams Jr. (37751460),Kyshawn George (37751149),Jarrett Allen (37751052),Trae Young (37750915),Zion Williamson (37750934),Santi Aldama (37751160),283.89,280.34000000000003,379.69,49900,0.14%,9.6%,725.1%,60.62%,178.5,$29.0,MEM 2,ORL 1,generated,1
Trae Young (37750915),Cole Anthony (37751114),Vince Williams Jr. (37751460),Georges Niang (37751274),Alexandre Sarr (37751083),Shai Gilgeous-Alexander (37750902),Santi Aldama (37751160),Jarrett Allen (37751052),279.85999999999996,274.6,374.98,49300,0.17%,7.87%,670.0%,55.65%,169.24,$26.8,ATL 2,MEM 2,generated,1
Cole Anthony (37751114),Dyson Daniels (37751029),Vince Williams Jr. (37751460),Paolo Banchero (37750942),Jalen Duren (37751019),Trae Young (37750915),Nickeil Alexander-Walker (37751134),Wendell Carter Jr. (37751163),285.5,281.49,374.89000000000004,49900,0.12%,8.63%,617.8%,64.09%,194.62,$24.7,ORL 3,ATL 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Zion Williamson (37750934),Ausar Thompson (37751085),Onyeka Okongwu (37751069),Desmond Bane (37751000),Kelly Olynyk (37751258),Vince Williams Jr. (37751460),277.28,275.41,377.1600000000001,49600,0.13%,6.85%,555.4%,51.61%,156.6,$22.2,ATL 2,NOP 2,generated,1
Cole Anthony (37751114),Bradley Beal (37751061),Zaccharie Risacher (37751214),Paolo Banchero (37750942),Alexandre Sarr (37751083),Trae Young (37750915),Vince Williams Jr. (37751460),Jalen Duren (37751019),281.44,273.02000000000004,374.27,49500,0.11%,7.25%,549.8%,58.05%,172.76,$22.0,ORL 2,ATL 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Ausar Thompson (37751085),Giannis Antetokounmpo (37750898),Wendell Carter Jr. (37751163),Dyson Daniels (37751029),Vince Williams Jr. (37751460),Georges Niang (37751274),273.21999999999997,267.07,369.47,50000,0.12%,6.21%,535.5%,47.16%,156.02,$21.4,ATL 3,ORL 2,generated,1
Cole Anthony (37751114),Vince Williams Jr. (37751460),RJ Barrett (37751003),Georges Niang (37751274),Jarrett Allen (37751052),Trae Young (37750915),Santi Aldama (37751160),Anthony Edwards (37750911),287.11,282.31,378.07,49600,0.07%,8.58%,521.0%,66.56%,199.13,$20.8,MEM 2,ATL 2,generated,1
Cole Anthony (37751114),Dyson Daniels (37751029),RJ Barrett (37751003),Kelly Olynyk (37751258),Onyeka Okongwu (37751069),Anthony Edwards (37750911),Santi Aldama (37751160),Jarrett Allen (37751052),286.02,284.81,375.58,50000,0.11%,7.88%,520.1%,65.32%,192.17000000000002,$20.8,ATL 2,ORL 1,generated,1
Immanuel Quickley (37751049),Cole Anthony (37751114),Vince Williams Jr. (37751460),Kelly Olynyk (37751258),Onyeka Okongwu (37751069),Trae Young (37750915),Chet Holmgren (37750996),Evan Mobley (37750964),276.54,280.39,372.87,50000,0.14%,6.08%,518.1%,51.35%,165.39,$20.7,ATL 2,TOR 1,generated,1
Cole Anthony (37751114),Vince Williams Jr. (37751460),Caris LeVert (37751093),Georges Niang (37751274),Onyeka Okongwu (37751069),Cade Cunningham (37750905),Zion Williamson (37750934),Jarrett Allen (37751052),278.59999999999997,279.2,375.62,49600,0.1%,7.19%,486.8%,53.9%,179.73000000000002,$19.5,ATL 3,ORL 1,generated,1
Cade Cunningham (37750905),Cole Anthony (37751114),Jalen Williams (37750982),Kelly Olynyk (37751258),Wendell Carter Jr. (37751163),Dyson Daniels (37751029),Santi Aldama (37751160),Onyeka Okongwu (37751069),278.01,278.29999999999995,370.05999999999995,50000,0.12%,6.2%,484.2%,53.19%,168.06,$19.4,ORL 2,ATL 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Tim Hardaway Jr. (37751345),Zion Williamson (37750934),Bam Adebayo (37750960),Vince Williams Jr. (37751460),Santi Aldama (37751160),Onyeka Okongwu (37751069),275.51,270.27000000000004,371.0799999999999,49500,0.1%,6.05%,451.4%,50.21%,147.32,$18.1,ATL 2,MEM 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Vince Williams Jr. (37751460),Santi Aldama (37751160),Wendell Carter Jr. (37751163),Shai Gilgeous-Alexander (37750902),De'Andre Hunter (37751165),Jarrett Allen (37751052),277.3,275.09999999999997,373.25,49200,0.08%,6.35%,450.4%,52.29%,179.08,$18.0,ORL 2,MEM 2,generated,1
Cole Anthony (37751114),Vince Williams Jr. (37751460),RJ Barrett (37751003),Paolo Banchero (37750942),Wendell Carter Jr. (37751163),Anthony Edwards (37750911),Ausar Thompson (37751085),Onyeka Okongwu (37751069),285.88,286.15999999999997,378.2900000000001,50000,0.08%,7.03%,446.2%,65.61%,220.32999999999998,$17.8,ORL 3,MEM 1,generated,1
Trae Young (37750915),Cole Anthony (37751114),Scottie Barnes (37750922),Georges Niang (37751274),Onyeka Okongwu (37751069),Darius Garland (37750989),Vince Williams Jr. (37751460),Wendell Carter Jr. (37751163),279.85999999999996,276.13000000000005,371.95,49300,0.08%,6.62%,444.6%,55.48%,170.82,$17.8,ATL 3,ORL 2,generated,1
