Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4669104771,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Jared Butler (38129166),Marcus Smart (38129512),Justin Edwards (38129408),Bam Adebayo (38128989),Nick Richards (38129477),Keyonte George (38129109),Kenrich Williams (38129703),Nikola Jokic (38128895)
4669104772,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Tyus Jones (38129436),Jordan Goodwin (38129372),Jaime Jaquez Jr. (38129483),Dillon Jones (38129923),Kevin Durant (38128943),Keyonte George (38129109),Aaron Gordon (38129263),Nikola Jokic (38128895)
4669104773,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Cade Cunningham (38128911),Christian Braun (38129170),Colby Jones (38129745),Pascal Siakam (38129000),Jaylin Williams (38129406),Keyonte George (38129109),Kenrich Williams (38129703),Jonas Valanciunas (38129048)
4669104774,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Cade Cunningham (38128911),Marcus Smart (38129512),Keldon Johnson (38129319),Ricky Council IV (38129289),Kenrich Williams (38129703),Anthony Edwards (38128924),Kevin Durant (38128943),Nick Richards (38129477)
4669104775,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Jalen Hood-Schifino (38129471),Devin Booker (38128933),Matisse Thybulle (38129641),Kenrich Williams (38129703),Nick Richards (38129477),Keyonte George (38129109),Naz Reid (38129184),Luka Doncic (38128897)
4669104776,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Jared Butler (38129166),Quentin Grimes (38128967),Julian Champagnie (38129545),Oshae Brissett (38129486),Rudy Gobert (38129178),Jordan Goodwin (38129372),Josh Hart (38129020),Donovan Mitchell (38128954)
4669104777,NBA $50K Four-Point Play [$10K to 1st],174962247,$4,Ty Jerome (38129412),Marcus Smart (38129512),Jaime Jaquez Jr. (38129483),Paolo Banchero (38128916),Evan Mobley (38128963),Jalen Hood-Schifino (38129471),Ricky Council IV (38129289),Zion Williamson (38128937)
