Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Kristaps Porzingis,C/UTIL,BOS,46.366875,6.097823492234413,88.82%,2.92%,3.6%,9.61%,$18.38,12
Paul George,SF/SG/G/F/UTIL,PHI,45.44921875,5.741701650172323,87.72%,2.48%,4.96%,7.9%,$15.39,15
T.J. McConnell,PG/G/UTIL,IND,23.93,4.61269349147019,96.32%,1.85%,1.77%,9.37%,$12.28,12
Isaiah Hartenstein,C/UTIL,OKC,41.73493055555555,7.237088119730414,86.19%,1.83%,7.96%,37.44%,$11.63,14
Aaron Wiggins,PF/SF/F/UTIL,OKC,25.695052083333334,4.609067208615557,91.84%,2.11%,7.96%,23.77%,$11.39,14
Cason Wallace,PG/SG/G/UTIL,OKC,27.88095486111111,3.3702863592923338,86.71%,2.15%,8.83%,43.45%,$10.91,14
Cole Anthony,PG/SG/G/UTIL,ORL,49.6767578125,6.1889718874140085,92.06%,1.91%,14.21%,34.61%,$10.80,15
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,59.42817708333334,11.02364496685201,89.76%,1.73%,14.32%,44.21%,$10.04,14
Dejounte Murray,PG/G/UTIL,NOP,53.004999999999995,5.149375983958196,98.7%,4.89%,0.13%,4.03%,$9.74,12
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.2,11.12,90.01%,1.28%,10.55%,50.79%,$8.52,48
Kyle Filipowski,C/PF/F/UTIL,UTA,28.05,9.88,90.19%,1.56%,12.73%,75.44%,$7.91,48
Evan Mobley,C/PF/F/UTIL,CLE,44.890625,6.134836077923241,89.07%,1.56%,5.1%,6.94%,$7.84,12
Drew Eubanks,C/UTIL,UTA,21.58,10.46,91.48%,1.32%,1.84%,20.82%,$7.48,48
Collin Sexton,PG/SG/G/UTIL,UTA,41.42,15.43,91.22%,1.61%,4.71%,10.57%,$7.48,48
Jayson Tatum,PF/SF/F/UTIL,BOS,55.889375,6.532721374078142,92.39%,1.52%,3.71%,14.61%,$6.67,12
Pascal Siakam,PF/F/UTIL,IND,41.33125,5.135496264324885,88.94%,1.24%,2.26%,6.34%,$6.61,12
Oso Ighodaro,C/PF/F/UTIL,PHX,17.48,7.34,92.76%,1.94%,0.24%,0.94%,$6.05,48
Obi Toppin,C/PF/F/UTIL,IND,27.039375,4.020492120448941,89.47%,1.04%,0.46%,1.12%,$5.96,12
Tidjane Salaun,PF/F/UTIL,CHA,15.32,6.58,144.18%,0.0%,0.01%,0.1%,$5.82,48
Luguentz Dort,SF/SG/G/F/UTIL,OKC,26.669253472222223,3.5357914930075824,85.68%,0.89%,3.76%,21.27%,$5.11,14
Micah Potter,C/PF/F/UTIL,UTA,20.46,7.02,93.02%,0.65%,4.22%,21.29%,$4.98,48
Nick Richards,C/UTIL,CHA,15.54,8.66,112.14%,0.0%,0.03%,0.5%,$4.60,48
Kevin Durant,C/PF/F/UTIL,PHX,48.41,14.61,94.27%,0.63%,6.75%,10.54%,$4.24,48
De'Anthony Melton,PG/G/UTIL,BKN,0,0.0,144.18%,0.0%,0.01%,0.03%,$3.86,48
Devin Booker,PG/SG/G/UTIL,PHX,47.52,14.1,91.99%,0.59%,6.01%,10.45%,$3.82,48
Isaiah Collier,PG/SG/G/UTIL,UTA,25.32,8.19,92.1%,0.5%,5.13%,26.91%,$3.63,48
Nic Claxton,C/UTIL,BKN,28.68,11.43,94.54%,0.62%,0.66%,2.77%,$3.63,48
Mark Williams,C/UTIL,CHA,30.82,13.03,93.33%,0.51%,2.55%,14.21%,$3.54,48
