Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Christian Braun,SF/SG/G/F/UTIL,DEN,56.95518663194444,4.866287923559819,60.53%,4.8%,17.86%,9.71%,$5.99,25
Michael Porter Jr.,PF/SF/F/UTIL,DEN,40.24956597222222,6.248833859648545,35.33%,1.95%,15.39%,11.79%,$3.39,25
Mike Conley,PG/G/UTIL,MIN,30.31,10.45,32.58%,1.3%,22.82%,34.45%,$1.39,48
KJ Simpson,PG/G/UTIL,CHA,24.39008246527778,5.5712494652288225,31.65%,1.13%,3.79%,3.03%,$0.89,25
Nikola Jokic,C/UTIL,DEN,72.1806640625,14.030787965256861,31.65%,1.43%,42.19%,29.19%,$0.86,25
Zach Collins,C/UTIL,SAS,26.79,11.72,35.99%,2.28%,5.69%,26.26%,$0.75,48
Nickeil Alexander-Walker,SG/G/UTIL,MIN,32.12,9.07,31.9%,1.31%,48.49%,41.95%,$0.48,48
Nick Smith Jr.,SF/SG/G/F/UTIL,CHA,37.302734375,4.914197931246061,31.38%,1.49%,1.39%,1.08%,$0.35,25
Rudy Gobert,C/UTIL,MIN,40.25,11.46,28.45%,1.11%,30.09%,31.58%,$-0.01,48
Amen Thompson,PG/SF/G/F/UTIL,HOU,48.45,10.63,24.27%,0.45%,12.17%,13.62%,$-0.33,48
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,64.75,22.07,30.15%,1.3%,52.5%,30.17%,$-0.34,48
Naz Reid,C/PF/F/UTIL,MIN,40.37,13.42,30.17%,1.15%,69.41%,48.53%,$-0.45,48
Aaron Wiggins,PF/SF/F/UTIL,OKC,26.23,9.15,25.58%,0.85%,26.31%,32.69%,$-0.66,48
Joe Ingles,SG/G/UTIL,MIN,7.91,4.47,55.95%,0.0%,0.02%,0.01%,$-0.96,48
Cason Wallace,PG/SG/G/UTIL,OKC,25.71,6.53,30.85%,0.47%,6.94%,18.95%,$-1.29,48
Rob Dillingham,PG/G/UTIL,MIN,21.64,10.69,23.46%,0.68%,31.51%,10.2%,$-1.38,48
Josh Minott,SF/F/UTIL,MIN,15.44,8.33,17.72%,0.62%,0.9%,2.2%,$-1.43,48
