Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
elfrid payton,PG/G/UTIL,CHA,87.95%,2.34%,44.21%,0.12%,0.1%,$338.17
jordan hawkins,SG/G/UTIL,NOP,50.7%,0.0%,11.54%,0.07%,0.1%,$45.55
jeff dowtin,PG/G/UTIL,PHI,67.56%,0.02%,17.84%,0.1%,0.1%,$31.69
jared butler,PG/G/UTIL,PHI,87.96%,0.0%,11.37%,0.12%,0.1%,$24.83
ty jerome,PG/G/UTIL,CLE,46.84%,0.07%,5.9%,2.53%,3.8%,$13.83
ricky council iv,PF/SF/F/UTIL,PHI,70.16%,0.0%,12.5%,0.15%,0.1%,$9.41
gradey dick,SG/G/UTIL,TOR,51.61%,0.03%,3.89%,9.21%,11.4%,$7.48
karl-anthony towns,C/UTIL,NYK,48.9%,0.02%,4.42%,10.61%,16.0%,$6.73
taurean prince,PF/SF/F/UTIL,MIL,23.38%,0.12%,0.31%,2.2%,1.7%,$6.15
nikola jokic,C/UTIL,DEN,38.22%,0.04%,2.97%,7.58%,4.0%,$6.01
alec burks,PG/SG/G/UTIL,MIA,55.74%,0.0%,4.84%,0.13%,0.1%,$4.58
obi toppin,C/PF/F/UTIL,IND,46.88%,0.0%,3.53%,9.4%,7.0%,$4.4
og anunoby,PF/SF/F/UTIL,NYK,31.02%,0.02%,3.17%,0.79%,0.9%,$4.34
paolo banchero,PF/F/UTIL,ORL,43.7%,0.0%,4.12%,1.35%,1.5%,$4.03
haywood highsmith,PF/SF/F/UTIL,MIA,49.26%,0.01%,3.65%,0.14%,0.1%,$3.93
ryan dunn,SF/SG/G/F/UTIL,PHX,65.62%,0.0%,5.79%,0.16%,0.1%,$3.75
immanuel quickley,PG/G/UTIL,TOR,61.79%,0.0%,6.45%,0.07%,0.1%,$3.32
jimmy butler,PF/SF/F/UTIL,GSW,27.23%,0.0%,0.49%,1.12%,0.8%,$3.02
aaron gordon,C/PF/F/UTIL,DEN,41.02%,0.02%,2.76%,8.75%,6.1%,$2.96
mouhamed gueye,PF/F/UTIL,ATL,47.72%,0.0%,5.33%,0.41%,0.4%,$2.83
cole anthony,PG/SG/G/UTIL,ORL,43.77%,0.0%,2.34%,3.79%,3.2%,$2.73
tyus jones,PG/G/UTIL,PHX,51.15%,0.0%,3.96%,1.72%,2.1%,$2.65
rj barrett,SF/SG/G/F/UTIL,TOR,36.41%,0.01%,3.73%,0.14%,0.1%,$2.61
deni avdija,PF/SF/F/UTIL,POR,34.27%,0.01%,1.97%,12.6%,9.3%,$2.46
max strus,SF/SG/G/F/UTIL,CLE,26.97%,0.0%,4.03%,0.27%,0.2%,$2.12
goga bitadze,C/UTIL,ORL,30.67%,0.0%,1.2%,0.55%,0.9%,$2.1
davion mitchell,PG/G/UTIL,MIA,53.42%,0.0%,4.19%,0.06%,0.1%,$1.62
aaron nesmith,SF/SG/G/F/UTIL,IND,39.04%,0.01%,1.98%,25.35%,16.5%,$1.48
jayson tatum,PF/SF/F/UTIL,BOS,28.39%,0.02%,1.1%,10.47%,8.4%,$1.47
zach lavine,SF/SG/G/F/UTIL,SAC,37.37%,0.01%,1.59%,18.88%,12.3%,$1.44
aj green,PG/SG/G/UTIL,MIL,40.36%,0.0%,3.41%,0.14%,0.1%,$1.41
bol bol,PF/F/UTIL,PHX,36.36%,0.01%,1.67%,19.43%,23.6%,$1.35
darius garland,PG/G/UTIL,CLE,32.0%,0.0%,2.25%,0.94%,1.1%,$1.28
jalen brunson,PG/G/UTIL,NYK,39.09%,0.0%,2.45%,13.63%,16.5%,$1.04
buddy hield,SG/G/UTIL,GSW,28.56%,0.0%,1.05%,5.12%,5.9%,$0.69
domantas sabonis,C/UTIL,SAC,32.19%,0.0%,1.45%,5.05%,7.6%,$0.68
dante exum,SF/F/UTIL,DAL,19.91%,0.0%,0.9%,1.72%,2.3%,$0.64
moses moody,PG/SF/G/F/UTIL,GSW,30.66%,0.01%,1.33%,45.14%,35.1%,$0.44
monte morris,PG/G/UTIL,PHX,33.02%,0.0%,4.52%,0.1%,0.1%,$0.13
jalen duren,C/UTIL,DET,28.18%,0.0%,1.09%,4.43%,6.5%,$0.07
al horford,C/PF/F/UTIL,BOS,31.18%,0.0%,1.31%,2.17%,1.5%,$0.0
lebron james,PF/SF/F/UTIL,LAL,17.22%,0.01%,0.62%,3.91%,2.5%,$-0.02
jarrett allen,C/UTIL,CLE,30.99%,0.0%,0.99%,5.1%,7.6%,$-0.08
ziaire williams,SF/SG/G/F/UTIL,BKN,34.81%,0.0%,1.93%,0.32%,0.2%,$-0.18
kyle kuzma,PF/SF/F/UTIL,MIL,25.18%,0.01%,0.77%,21.34%,17.1%,$-0.19
mason plumlee,C/UTIL,PHX,40.71%,0.0%,0.0%,0.06%,0.1%,$-0.21
seth curry,SG/G/UTIL,CHA,65.24%,0.0%,0.0%,0.05%,0.1%,$-0.24
dalano banton,PG/SG/G/UTIL,POR,29.81%,0.0%,1.22%,12.62%,10.4%,$-0.29
draymond green,C/PF/F/UTIL,GSW,26.3%,0.0%,0.99%,21.52%,15.8%,$-0.33
isaiah stewart,C/UTIL,DET,33.81%,0.0%,1.21%,0.43%,0.6%,$-0.35
jusuf nurkic,C/UTIL,CHA,43.09%,0.0%,0.0%,0.07%,0.1%,$-0.39
tobias harris,PF/F/UTIL,DET,36.52%,0.0%,1.77%,0.4%,0.4%,$-0.53
john collins,C/PF/F/UTIL,UTA,29.14%,0.0%,1.18%,16.77%,12.0%,$-0.59
alperen sengun,C/UTIL,HOU,31.23%,0.0%,1.27%,4.29%,5.7%,$-0.6
donovan clingan,C/UTIL,POR,35.92%,0.0%,0.9%,3.68%,6.3%,$-0.6
terance mann,PG/SG/G/UTIL,ATL,43.14%,0.0%,0.0%,0.17%,0.1%,$-0.71
nick richards,C/UTIL,PHX,48.07%,0.0%,0.0%,0.04%,0.1%,$-0.72
kyle anderson,PF/SF/F/UTIL,MIA,23.55%,0.0%,4.12%,0.11%,0.1%,$-0.75
zion williamson,PF/F/UTIL,NOP,28.55%,0.0%,1.08%,5.09%,6.3%,$-0.77
andrew wiggins,SF/F/UTIL,MIA,38.49%,0.0%,0.39%,0.1%,0.1%,$-0.79
nikola jovic,C/PF/F/UTIL,MIA,22.97%,0.0%,1.85%,0.27%,0.2%,$-0.84
klay thompson,SG/G/UTIL,DAL,19.95%,0.0%,0.96%,0.66%,0.8%,$-0.85
aaron wiggins,PF/SF/F/UTIL,OKC,42.1%,0.0%,0.02%,0.23%,0.2%,$-0.85
jordan poole,PG/G/UTIL,WAS,29.8%,0.0%,1.32%,4.64%,5.3%,$-0.86
malcolm brogdon,PG/SG/G/UTIL,WAS,30.7%,0.0%,0.84%,9.46%,7.8%,$-0.91
kessler edwards,PF/SF/F/UTIL,DAL,41.53%,0.0%,0.0%,0.09%,0.1%,$-0.95
matas buzelis,PF/F/UTIL,CHI,31.55%,0.0%,1.54%,3.29%,3.4%,$-1.0
keaton wallace,PG/G/UTIL,ATL,38.25%,0.0%,0.42%,0.07%,0.1%,$-1.1
anfernee simons,PG/SG/G/UTIL,POR,24.54%,0.0%,0.61%,24.21%,20.9%,$-1.2
josh giddey,PG/G/UTIL,CHI,28.39%,0.0%,2.38%,0.34%,0.4%,$-1.21
kenrich williams,PF/F/UTIL,OKC,30.99%,0.0%,0.26%,0.09%,0.1%,$-1.23
pj washington,PF/SF/F/UTIL,DAL,26.46%,0.0%,0.82%,27.2%,22.2%,$-1.27
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,30.99%,0.0%,1.34%,0.34%,0.2%,$-1.28
luka doncic,PG/G/UTIL,LAL,22.11%,0.0%,0.66%,4.42%,2.8%,$-1.28
javonte green,PF/SF/F/UTIL,NOP,31.51%,0.0%,2.35%,0.17%,0.1%,$-1.28
jalen williams,PF/SF/F/UTIL,OKC,26.59%,0.0%,1.06%,6.2%,4.9%,$-1.33
dillon brooks,PF/F/UTIL,HOU,32.18%,0.0%,0.72%,0.35%,0.4%,$-1.33
kentavious caldwell-pope,SG/G/UTIL,ORL,29.76%,0.0%,1.12%,0.8%,0.9%,$-1.35
demar derozan,SF/F/UTIL,SAC,18.2%,0.0%,1.05%,3.98%,4.6%,$-1.43
thomas bryant,C/UTIL,IND,18.05%,0.02%,0.37%,16.86%,25.8%,$-1.45
josh green,SF/F/UTIL,CHA,42.1%,0.0%,0.0%,0.07%,0.1%,$-1.45
reed sheppard,PG/SG/G/UTIL,HOU,21.38%,0.0%,2.0%,0.18%,0.1%,$-1.48
malik monk,PG/SG/G/UTIL,SAC,25.6%,0.0%,0.91%,19.44%,16.5%,$-1.49
isaiah joe,SG/G/UTIL,OKC,34.73%,0.0%,0.0%,0.12%,0.2%,$-1.51
yves missi,C/UTIL,NOP,29.53%,0.0%,0.21%,2.14%,3.2%,$-1.52
christian braun,SF/SG/G/F/UTIL,DEN,24.81%,0.0%,1.27%,0.93%,0.6%,$-1.53
andrew nembhard,PG/SG/G/UTIL,IND,27.29%,0.0%,0.69%,5.53%,4.2%,$-1.54
keegan murray,PF/F/UTIL,SAC,31.54%,0.0%,0.93%,0.5%,0.6%,$-1.55
malik beasley,SF/SG/G/F/UTIL,DET,34.23%,0.0%,0.16%,0.19%,0.1%,$-1.55
keon ellis,PG/SG/G/UTIL,SAC,30.61%,0.0%,0.78%,0.51%,0.4%,$-1.56
nikola vucevic,C/UTIL,CHI,25.67%,0.0%,0.59%,3.99%,5.9%,$-1.59
ausar thompson,PF/SF/F/UTIL,DET,21.14%,0.0%,0.29%,1.79%,1.5%,$-1.62
pelle larsson,SF/SG/G/F/UTIL,MIA,33.13%,0.0%,0.37%,0.23%,0.1%,$-1.63
devin vassell,SF/SG/G/F/UTIL,SAS,23.28%,0.0%,0.95%,1.32%,0.9%,$-1.69
jordan goodwin,PG/SG/G/UTIL,LAL,28.12%,0.0%,0.39%,3.52%,2.8%,$-1.71
naz reid,C/PF/F/UTIL,MIN,24.19%,0.0%,0.6%,10.03%,7.0%,$-1.75
tristan da silva,PF/SF/F/UTIL,ORL,28.88%,0.0%,0.0%,0.15%,0.1%,$-1.75
keon johnson,PG/SG/G/UTIL,BKN,22.78%,0.0%,0.57%,9.0%,7.6%,$-1.76
simone fontecchio,PF/F/UTIL,DET,32.09%,0.0%,0.28%,0.12%,0.1%,$-1.76
miles mcbride,PG/SG/G/UTIL,NYK,28.13%,0.0%,0.52%,1.02%,0.8%,$-1.8
donovan mitchell,PG/SG/G/UTIL,CLE,23.3%,0.0%,0.63%,3.32%,2.7%,$-1.83
isaiah hartenstein,C/UTIL,OKC,24.99%,0.0%,0.74%,3.36%,5.1%,$-1.84
bobby portis,C/PF/F/UTIL,MIL,21.72%,0.0%,1.05%,1.7%,1.1%,$-1.84
patrick williams,PF/SF/F/UTIL,CHI,29.98%,0.0%,0.17%,0.27%,0.2%,$-1.84
kevon looney,C/UTIL,GSW,27.91%,0.0%,0.0%,0.07%,0.1%,$-1.85
josh hart,PF/SF/F/UTIL,NYK,20.32%,0.0%,0.64%,14.25%,11.6%,$-1.92
ayo dosunmu,PF/F/UTIL,CHI,20.23%,0.0%,0.58%,0.82%,0.8%,$-1.92
stephen curry,PG/G/UTIL,GSW,24.6%,0.0%,0.54%,3.65%,4.4%,$-1.94
chris paul,PG/G/UTIL,SAS,26.93%,0.0%,0.56%,0.97%,1.1%,$-1.94
derrick white,PG/SG/G/UTIL,BOS,22.4%,0.0%,0.51%,3.49%,2.7%,$-1.95
julian champagnie,SF/SG/G/F/UTIL,SAS,25.88%,0.0%,0.0%,0.14%,0.1%,$-1.97
damion lee,SF/SG/G/F/UTIL,PHX,28.43%,0.0%,0.0%,0.17%,0.1%,$-1.98
