Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4611344379,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Scottie Barnes (37338057),Jrue Holiday (37338323),Paul George (37338105),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Keaton Wallace (37338930),Naji Marshall (37338314),Stephon Castle (37338477)
4611344380,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Keaton Wallace (37338930),Garrison Mathews (37338609),Josh Hart (37338127),Jaren Jackson Jr. (37338053),Jeremiah Robinson-Earl (37338708),Quentin Grimes (37338318),Julius Randle (37338149),Victor Wembanyama (37338018)
4611344381,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Keaton Wallace (37338930),Mikal Bridges (37338239),RJ Barrett (37338115),PJ Washington (37338176),Jeremiah Robinson-Earl (37338708),Jalen Green (37338162),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424)
4611344382,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Keyonte George (37338282),Jalen Green (37338162),RJ Barrett (37338115),Jeremiah Robinson-Earl (37338708),Daniel Gafford (37338424),Dejounte Murray (37338096),Julius Randle (37338149),Jakob Poeltl (37338202)
4611344383,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Jalen Brunson (37338088),Dyson Daniels (37338165),Jayson Tatum (37338023),David Roddy (37338933),Mark Williams (37338232),Cole Anthony (37338216),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391)
4611344384,NBA $30K Excellent 8's [$5K to 1st],173153334,$8,Jalen Brunson (37338088),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),David Roddy (37338933),Giannis Antetokounmpo (37338014),Keaton Wallace (37338930),Jaylen Brown (37338091),Wendell Carter Jr. (37338391)
