PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Jamal Shead (38009980),Brandin Podziemski (38009667),Jamison Battle (38010088),Tari Eason (38009699),Onyeka Okongwu (38009627),Stephen Curry (38009527),Giannis Antetokounmpo (38009507),Tre Jones (38009777),286.09,274.54,381.8,49600,0.14%,6.49%,639.3%,49.97%,167.60000000000002,$25.6,TOR 2,GSW 2,generated,1
Tre Jones (38009777),AJ Lawson (38010081),Scottie Barnes (38009581),Tari Eason (38009699),Alperen Sengun (38009525),Brandin Podziemski (38009667),Pascal Siakam (38009567),Jakob Poeltl (38009697),285.92,286.55,382.29,49700,0.12%,6.05%,547.2%,49.32%,196.5,$21.9,TOR 3,HOU 2,generated,1
Jamal Shead (38009980),Tyler Herro (38009547),Jamison Battle (38010088),Tari Eason (38009699),Jalen Smith (38009883),Stephen Curry (38009527),Giannis Antetokounmpo (38009507),Tre Jones (38009777),282.59,277.31,380.13,50000,0.11%,5.48%,532.7%,45.64%,179.49,$21.3,TOR 2,CHI 2,generated,1
Jamal Shead (38009980),Austin Reaves (38009602),Scottie Barnes (38009581),Tari Eason (38009699),Orlando Robinson (38010004),Jordan Poole (38009599),Giannis Antetokounmpo (38009507),Jalen Smith (38009883),286.96,282.71999999999997,387.6400000000001,49900,0.1%,6.08%,513.6%,50.98%,193.17000000000002,$20.5,TOR 3,LAL 1,generated,1
Jordan Poole (38009599),Cole Anthony (38009736),Andrew Wiggins (38009624),Tari Eason (38009699),Orlando Robinson (38010004),Jamal Shead (38009980),Bam Adebayo (38009530),Stephen Curry (38009527),280.15,274.91,371.03,50000,0.11%,4.88%,483.8%,42.13%,155.38,$19.4,MIA 2,TOR 2,generated,1
Jamal Shead (38009980),AJ Lawson (38010081),RJ Barrett (38009606),Tari Eason (38009699),Orlando Robinson (38010004),Trae Young (38009522),Giannis Antetokounmpo (38009507),Brandin Podziemski (38009667),287.23,287.31,385.88000000000005,49400,0.09%,6.5%,480.1%,51.59%,217.65999999999997,$19.2,TOR 4,HOU 1,generated,1
Tyrese Haliburton (38009544),AJ Lawson (38010081),RJ Barrett (38009606),Tari Eason (38009699),Alperen Sengun (38009525),Stephen Curry (38009527),Chris Boucher (38010039),Orlando Robinson (38010004),281.32000000000005,285.23,377.41,50000,0.1%,5.08%,471.0%,43.62%,187.32,$18.8,TOR 4,HOU 2,generated,1
Jamal Shead (38009980),Cole Anthony (38009736),RJ Barrett (38009606),Pascal Siakam (38009567),Alperen Sengun (38009525),Tyler Herro (38009547),Jamison Battle (38010088),Alexandre Sarr (38009707),280.48999999999995,278.03,373.74,50000,0.11%,4.64%,465.9%,42.54%,154.10999999999999,$18.6,TOR 3,ORL 1,generated,1
Jamal Shead (38009980),AJ Lawson (38010081),Aaron Nesmith (38009727),Pascal Siakam (38009567),Onyeka Okongwu (38009627),Tyler Herro (38009547),Giannis Antetokounmpo (38009507),Orlando Robinson (38010004),282.58000000000004,283.23,377.07,49300,0.1%,5.03%,449.9%,45.43%,178.41,$18.0,TOR 3,IND 2,generated,1
Jamal Shead (38009980),RJ Barrett (38009606),Ausar Thompson (38009654),Tari Eason (38009699),Alperen Sengun (38009525),Dyson Daniels (38009618),Pascal Siakam (38009567),Orlando Robinson (38010004),283.71000000000004,280.40999999999997,377.48,49800,0.1%,5.43%,446.3%,46.4%,174.75,$17.9,TOR 3,HOU 2,generated,1
Jamal Shead (38009980),Jalen Green (38009591),RJ Barrett (38009606),Chris Boucher (38010039),Onyeka Okongwu (38009627),Stephen Curry (38009527),Ausar Thompson (38009654),Jalen Duren (38009622),272.40000000000003,267.95,367.88000000000005,49900,0.11%,3.74%,434.4%,33.98%,114.17,$17.4,TOR 3,DET 2,generated,1
Jamal Shead (38009980),Jalen Green (38009591),Jamison Battle (38010088),Tari Eason (38009699),Alperen Sengun (38009525),AJ Lawson (38010081),Pascal Siakam (38009567),Trae Young (38009522),283.33,282.09,374.81,49600,0.08%,5.77%,428.9%,46.39%,190.87,$17.2,TOR 3,HOU 3,generated,1
Jordan Poole (38009599),Cole Anthony (38009736),Scottie Barnes (38009581),Tari Eason (38009699),Orlando Robinson (38010004),Stephen Curry (38009527),Jimmy Butler (38009577),Jalen Smith (38009883),279.27,274.4,378.27,50000,0.1%,4.56%,425.6%,41.02%,149.27,$17.0,TOR 2,GSW 2,generated,1
Scottie Barnes (38009581),AJ Lawson (38010081),Jamison Battle (38010088),Tari Eason (38009699),Onyeka Okongwu (38009627),Josh Giddey (38009559),Giannis Antetokounmpo (38009507),Jalen Smith (38009883),285.94000000000005,285.68,385.19000000000005,49600,0.09%,5.27%,419.9%,49.59%,196.85,$16.8,TOR 3,CHI 2,generated,1
Jamal Shead (38009980),AJ Lawson (38010081),Jamison Battle (38010088),Giannis Antetokounmpo (38009507),Orlando Robinson (38010004),Cole Anthony (38009736),LeBron James (38009511),Trae Young (38009522),275.96,275.8,375.29,49400,0.11%,4.33%,409.8%,38.34%,170.18,$16.4,TOR 4,MIL 1,generated,1
Trae Young (38009522),AJ Lawson (38010081),Aaron Nesmith (38009727),Tari Eason (38009699),Draymond Green (38009648),Jamal Shead (38009980),Giannis Antetokounmpo (38009507),Brandin Podziemski (38009667),283.72,280.27000000000004,378.3,49800,0.07%,5.64%,408.1%,46.64%,183.20999999999998,$16.3,TOR 2,GSW 2,generated,1
Jamal Shead (38009980),AJ Lawson (38010081),Georges Niang (38009841),Pascal Siakam (38009567),Orlando Robinson (38010004),Jordan Poole (38009599),Giannis Antetokounmpo (38009507),Bam Adebayo (38009530),278.66,278.29,374.96000000000004,49700,0.09%,4.72%,399.7%,40.77%,161.89999999999998,$16.0,TOR 3,ATL 1,generated,1
Trae Young (38009522),AJ Lawson (38010081),Jamison Battle (38010088),Tari Eason (38009699),Alperen Sengun (38009525),Jared Rhoden (38010114),Paolo Banchero (38009538),Onyeka Okongwu (38009627),278.56,292.95,370.09,49700,0.09%,4.37%,397.9%,40.24%,209.53,$15.9,TOR 3,ATL 2,generated,1
Jamal Shead (38009980),AJ Lawson (38010081),Andrew Wiggins (38009624),Tari Eason (38009699),Onyeka Okongwu (38009627),Cade Cunningham (38009519),Jimmy Butler (38009577),Zach Collins (38009637),279.84,283.45,367.93,49800,0.11%,4.12%,397.6%,41.24%,184.31,$15.9,TOR 2,MIA 1,generated,1
Dyson Daniels (38009618),AJ Lawson (38010081),Jamison Battle (38010088),Tari Eason (38009699),Onyeka Okongwu (38009627),Scottie Barnes (38009581),Giannis Antetokounmpo (38009507),Draymond Green (38009648),287.89,287.28000000000003,383.38000000000005,49900,0.08%,5.47%,395.8%,52.07%,193.83,$15.8,TOR 3,ATL 2,generated,1
Jamal Shead (38009980),RJ Barrett (38009606),Scottie Barnes (38009581),Tari Eason (38009699),Alperen Sengun (38009525),Tre Jones (38009777),Kyshawn George (38009713),Onyeka Okongwu (38009627),290.75,288.55,384.58,49900,0.07%,5.94%,391.6%,56.51%,212.88,$15.7,TOR 3,HOU 2,generated,1
Trae Young (38009522),AJ Lawson (38010081),Scottie Barnes (38009581),Tari Eason (38009699),Jakob Poeltl (38009697),Jamal Shead (38009980),Dillon Brooks (38009782),Cade Cunningham (38009519),283.37,288.16,378.98,49900,0.08%,5.08%,385.9%,45.95%,213.33,$15.4,TOR 4,HOU 2,generated,1
Kevin Porter Jr. (38009935),AJ Lawson (38010081),Georges Niang (38009841),Giannis Antetokounmpo (38009507),Orlando Robinson (38010004),Cade Cunningham (38009519),Andrew Wiggins (38009624),Onyeka Okongwu (38009627),277.72999999999996,278.89,374.01000000000005,49200,0.09%,4.29%,385.1%,39.85%,141.76999999999998,$15.4,MIL 2,TOR 2,generated,1
AJ Lawson (38010081),Cole Anthony (38009736),Jamison Battle (38010088),Tari Eason (38009699),Jakob Poeltl (38009697),Cade Cunningham (38009519),Scottie Barnes (38009581),Trae Young (38009522),279.0,281.86,377.43,49700,0.09%,4.41%,374.1%,40.74%,184.71,$15.0,TOR 4,ORL 1,generated,1
Scottie Barnes (38009581),Jared Rhoden (38010114),Jamison Battle (38010088),Tari Eason (38009699),Onyeka Okongwu (38009627),Brandin Podziemski (38009667),Giannis Antetokounmpo (38009507),Jalen Duren (38009622),282.40000000000003,286.79,381.67,49800,0.07%,4.66%,367.6%,45.15%,191.13000000000002,$14.7,TOR 3,HOU 1,generated,1
Trae Young (38009522),AJ Lawson (38010081),Zaccharie Risacher (38009790),Pascal Siakam (38009567),Orlando Robinson (38010004),Jamal Shead (38009980),Giannis Antetokounmpo (38009507),Brandin Podziemski (38009667),277.52,275.03000000000003,374.5,49100,0.08%,4.66%,367.2%,39.85%,161.12,$14.7,TOR 3,ATL 2,generated,1
Jamal Shead (38009980),AJ Lawson (38010081),Scottie Barnes (38009581),Pascal Siakam (38009567),Onyeka Okongwu (38009627),Cade Cunningham (38009519),RJ Barrett (38009606),Orlando Robinson (38010004),286.33000000000004,290.70000000000005,383.86999999999995,49300,0.08%,5.17%,365.5%,49.69%,209.21,$14.6,TOR 5,IND 1,generated,1
