Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Zach LaVine,SF/SG/G/F/UTIL,SAC,43.70739583333334,6.942835938481378,22.53%,1.24%,2.19%,1.27%,$16.57,38
Orlando Robinson,C/UTIL,TOR,26.42,11.41,14.39%,1.6%,1.82%,9.6%,$14.99,48
Collin Sexton,PG/SG/G/UTIL,UTA,37.004374999999996,11.401674943926592,34.96%,14.99%,2.5%,2.54%,$14.55,36
Pascal Siakam,PF/F/UTIL,IND,50.42125,11.864132260973761,65.42%,8.71%,10.28%,6.05%,$14.16,36
Johnny Juzang,SF/SG/G/F/UTIL,UTA,35.215625,6.777101773454893,36.13%,3.69%,1.67%,1.42%,$9.06,36
DeMar DeRozan,SF/F/UTIL,SAC,48.85463541666667,8.36611730587006,27.68%,2.35%,3.62%,0.18%,$8.51,38
Jamison Battle,SF/F/UTIL,TOR,25.63,7.89,44.99%,3.58%,15.99%,38.24%,$3.40,48
Keyonte George,PG/SG/G/UTIL,UTA,39.495000000000005,9.7872784916892,33.3%,2.53%,2.92%,3.24%,$2.82,36
Donovan Clingan,C/UTIL,POR,36.77,12.28,25.6%,2.45%,5.58%,17.07%,$1.44,48
Jusuf Nurkic,C/UTIL,CHA,45.496128472222225,11.473036388340477,39.6%,1.61%,64.41%,35.87%,$1.11,38
Isaiah Collier,PG/G/UTIL,UTA,40.8625,7.878591019512696,24.5%,1.85%,4.91%,2.69%,$1.05,36
Tyrese Haliburton,PG/G/UTIL,IND,46.65625,11.897765520395374,30.29%,0.84%,26.55%,3.39%,$0.94,36
Chris Paul,PG/G/UTIL,SAS,27.66,9.96,25.26%,1.16%,14.65%,26.4%,$0.86,48
Dalano Banton,PG/SG/G/UTIL,POR,35.62,9.83,32.14%,1.8%,47.42%,54.94%,$0.83,48
Tidjane Salaun,PF/F/UTIL,CHA,25.008246527777775,6.673801045865224,14.79%,1.99%,1.99%,12.55%,$0.59,38
Dennis Schroder,PG/SG/G/UTIL,DET,38.1,10.14,38.38%,1.37%,32.24%,17.09%,$0.27,48
Miles Bridges,PF/F/UTIL,CHA,46.88614583333333,10.874216788646455,43.02%,1.12%,6.1%,5.95%,$0.26,38
Jalen Duren,C/UTIL,DET,40.85,14.42,37.85%,1.47%,13.36%,26.04%,$0.20,48
Shaedon Sharpe,PG/SG/G/UTIL,POR,39.63,10.3,28.69%,1.48%,18.1%,8.94%,$0.02,48
Ausar Thompson,PF/SF/F/UTIL,DET,34.76,10.81,31.78%,1.89%,26.66%,11.7%,$-0.10,48
Deni Avdija,PF/SF/F/UTIL,POR,48.43,13.32,30.6%,1.11%,30.83%,13.77%,$-0.27,48
Domantas Sabonis,C/UTIL,SAC,56.081701388888895,13.174031193268414,31.8%,0.74%,5.33%,7.61%,$-0.61,38
