PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Devin Booker (37302957),Svi Mykhailiuk (37303337),Trey Murphy III (37303018),Paolo Banchero (37302950),Kristaps Porzingis (37303041),T.J. McConnell (37303334),Aaron Wiggins (37303377),Mark Williams (37303083),276.82087239583336,301.74596321783946,49800,100.00%,0,62.22%,0,89.95,$2.49,PHX 1,UTA 1,opp,1,bigdaddybrownsky,2252,4607739910
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Tristan da Silva (37303168),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),LaMelo Ball (37302944),Tyrese Martin (37303145),Kyle Filipowski (37303285),277.28358940972225,301.63334113191655,50000,100.00%,0,62.22%,0,230.6,$2.49,OKC 3,ORL 2,opp,1,cpardell,2589,4607617408
Cason Wallace (37303281),Cole Anthony (37303107),Bradley Beal (37303062),Brice Sensabaugh (37303235),Kevin Durant (37302953),Kelly Oubre Jr. (37303089),Micah Potter (37303452),Devin Booker (37302957),277.1850954861111,304.5628541253269,47500,100.00%,0,62.19%,0,186.75,$2.49,PHX 3,UTA 2,opp,1,mblack412,5179,4607851094
Cason Wallace (37303281),Cole Anthony (37303107),Isaiah Joe (37303303),Kevin Durant (37302953),Jarrett Allen (37303060),Shai Gilgeous-Alexander (37302935),Max Strus (37303260),Myles Turner (37303072),277.2734592013889,298.9472889633816,50000,100.00%,0,62.18%,0,175.42000000000002,$2.49,OKC 3,CLE 2,opp,1,ryguyryguy,668,4606635025
Collin Sexton (37303043),Keon Johnson (37303113),Trey Murphy III (37303018),Kyle Filipowski (37303285),Kristaps Porzingis (37303041),Kelly Oubre Jr. (37303089),Jaylen Brown (37302978),Brice Sensabaugh (37303235),276.8992578125,302.0845596592802,49600,100.00%,0,62.09%,0,175.04,$2.48,UTA 3,BOS 2,opp,1,sunflwr13,3566,4607597727
Cason Wallace (37303281),Collin Sexton (37303043),Isaiah Joe (37303303),Evan Mobley (37302989),Jarrett Allen (37303060),Isaiah Collier (37303246),Kevin Durant (37302953),Isaiah Hartenstein (37303039),276.9759548611111,302.92025796836464,49900,100.00%,0,62.07%,0,162.82999999999998,$2.48,OKC 3,UTA 2,opp,1,stock2mail,3170,4606906115
Tyrese Haliburton (37302971),Cole Anthony (37303107),Aaron Wiggins (37303377),Pascal Siakam (37303036),Myles Turner (37303072),Shai Gilgeous-Alexander (37302935),Svi Mykhailiuk (37303337),Kyle Filipowski (37303285),277.24373697916667,298.43909380664155,49200,100.00%,0,62.07%,0,214.43,$2.48,IND 3,OKC 2,opp,1,rcarena,648,4607788163
Tyrese Haliburton (37302971),Cole Anthony (37303107),Luguentz Dort (37303218),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Ziaire Williams (37303157),277.3103689236111,300.9518909301831,49300,100.00%,0,62.06%,0,272.25,$2.48,OKC 3,UTA 2,opp,1,CsrZvl,1753,4607503090
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brice Sensabaugh (37303235),Guerschon Yabusele (37303103),Kyle Filipowski (37303285),Tyrese Martin (37303145),Noah Clowney (37303133),Kevin Durant (37302953),277.2734505208333,304.77264726550476,49400,100.00%,0,61.98%,0,233.89,$2.48,UTA 2,BKN 2,opp,1,nlowejr,4769,4607407607
Isaiah Collier (37303246),Svi Mykhailiuk (37303337),Brice Sensabaugh (37303235),Evan Mobley (37302989),Kristaps Porzingis (37303041),LaMelo Ball (37302944),Micah Potter (37303452),Kevin Durant (37302953),276.9175,305.14383283027456,49200,100.00%,0,61.61%,0,152.54999999999998,$2.46,UTA 4,CLE 1,opp,1,ndizzle77,5194,4607887903
Andrew Nembhard (37303179),Cole Anthony (37303107),Max Strus (37303260),Brice Sensabaugh (37303235),Mark Williams (37303083),Shai Gilgeous-Alexander (37302935),Paul George (37303009),Nic Claxton (37303078),276.99040364583334,302.25743722932214,49300,100.00%,0,61.6%,0,181.51,$2.46,IND 1,ORL 1,opp,1,westonselman,2090,4606619987
Cason Wallace (37303281),Tyrese Martin (37303145),Aaron Wiggins (37303377),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Miles Bridges (37303026),T.J. McConnell (37303334),277.070625,298.8214443069432,49300,100.00%,0,61.36%,0,181.60000000000002,$2.45,OKC 5,BKN 1,opp,1,cjp66,1033,4607024986
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Luguentz Dort (37303218),Dean Wade (37303289),Zion Williamson (37302961),Darius Garland (37303029),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),277.0351909722222,296.4199169424408,49900,100.00%,0,61.24%,0,230.38,$2.45,OKC 4,CLE 2,opp,1,tharris2023,255,4607860357
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brice Sensabaugh (37303235),Evan Mobley (37302989),Kyle Filipowski (37303285),Svi Mykhailiuk (37303337),Guerschon Yabusele (37303103),Miles Bridges (37303026),277.19407552083334,302.58948721871957,49400,100.00%,0,61.23%,0,241.23999999999998,$2.45,UTA 3,OKC 1,opp,1,willoc729,3115,4606760305
T.J. McConnell (37303334),Collin Sexton (37303043),Svi Mykhailiuk (37303337),Micah Potter (37303452),Myles Turner (37303072),Shai Gilgeous-Alexander (37302935),Bradley Beal (37303062),Devin Booker (37302957),276.80942708333333,305.95190332298307,49900,100.00%,0,61.15%,0,124.07,$2.45,UTA 3,IND 2,opp,1,ndizzle77,4786,4607887893
Cole Anthony (37303107),Kelly Oubre Jr. (37303089),Brice Sensabaugh (37303235),Micah Potter (37303452),Nic Claxton (37303078),Jrue Holiday (37303130),Kevin Durant (37302953),Tyrese Maxey (37302947),276.8623046875,301.6581620584551,49000,100.00%,0,61.13%,0,143.19,$2.45,PHI 2,UTA 2,opp,1,ajkeller13,3827,4607539404
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),Mark Williams (37303083),Kelly Oubre Jr. (37303089),Tyrese Martin (37303145),Brandon Miller (37302997),277.0923177083333,303.9762903745656,49200,100.00%,0,61.12%,0,238.30999999999997,$2.44,UTA 2,CHA 2,opp,1,j12forheisman,4459,4607476710
