PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cason Wallace (37303281),Luguentz Dort (37303218),Jaylen Brown (37302978),Jalen Williams (37302986),Evan Mobley (37302989),Andrew Nembhard (37303179),Kyle Filipowski (37303285),Miles Bridges (37303026),262.42,260.81,343.4,49400,0.0%,0.4%,-0.46%,21.4%,190.04,$-1.83,OKC 3,BOS 1,generated,1
Tyrese Maxey (37302947),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kyle Filipowski (37303285),Kevin Durant (37302953),Tyrese Haliburton (37302971),Brice Sensabaugh (37303235),Kelly Oubre Jr. (37303089),265.99999999999994,258.77,346.65,49100,0.0%,0.7%,-0.46%,23.3%,203.82,$-1.84,PHI 3,IND 2,generated,1
Devin Booker (37302957),Isaiah Joe (37303303),Tyrese Martin (37303145),Jayson Tatum (37302938),Guerschon Yabusele (37303103),Isaiah Collier (37303246),Noah Clowney (37303133),Myles Turner (37303072),256.52000000000004,250.52,336.53999999999996,49500,0.0%,0.5%,-0.47%,17.6%,92.5,$-1.88,BKN 2,PHX 1,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Ricky Council IV (37303632),Jonathan Isaac (37303342),Guerschon Yabusele (37303103),Tyrese Haliburton (37302971),Kyle Filipowski (37303285),Jaylen Brown (37302978),268.0,262.45000000000005,358.84999999999997,49400,0.0%,0.7%,-0.47%,23.4%,202.98000000000002,$-1.89,ORL 2,PHI 2,generated,1
Derrick White (37303047),Jaylen Brown (37302978),Tyrese Martin (37303145),Aaron Wiggins (37303377),Alexandre Sarr (37303085),LaMelo Ball (37302944),Kyle Filipowski (37303285),Kristaps Porzingis (37303041),255.00000000000003,259.34,338.24,50000,0.0%,0.6%,-0.47%,15.6%,137.96999999999997,$-1.89,BOS 3,BKN 1,generated,1
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Trey Murphy III (37303018),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Max Strus (37303260),Jalen Williams (37302986),Noah Clowney (37303133),269.21999999999997,262.9,360.08,50000,0.0%,0.6%,-0.47%,25.7%,179.16,$-1.87,OKC 5,NOP 1,generated,1
Cason Wallace (37303281),Derrick White (37303047),Jayson Tatum (37302938),Brice Sensabaugh (37303235),Noah Clowney (37303133),Grayson Allen (37303185),Kyle Filipowski (37303285),Shai Gilgeous-Alexander (37302935),271.84,265.90000000000003,360.18999999999994,49300,0.0%,0.2%,-0.47%,27.0%,243.86,$-1.89,OKC 2,BOS 2,generated,1
Shai Gilgeous-Alexander (37302935),Jordan Poole (37303002),Ricky Council IV (37303632),Aaron Wiggins (37303377),Noah Clowney (37303133),Cole Anthony (37303107),Kyle Filipowski (37303285),LaMelo Ball (37302944),265.72,266.74,358.68000000000006,49200,0.0%,0.5%,-0.47%,20.4%,221.64,$-1.89,OKC 2,WAS 1,generated,1
Derrick White (37303047),Cason Wallace (37303281),Paul George (37303009),Jayson Tatum (37302938),Micah Potter (37303452),LaMelo Ball (37302944),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),264.67,264.86,345.65,49500,0.0%,0.4%,-0.47%,22.7%,227.41,$-1.87,UTA 3,BOS 2,generated,1
LaMelo Ball (37302944),Eric Gordon (37303390),Brice Sensabaugh (37303235),Jalen Williams (37302986),Mark Williams (37303083),Isaiah Collier (37303246),Bradley Beal (37303062),Pascal Siakam (37303036),256.7,256.68,343.01,49300,0.0%,0.8%,-0.47%,19.3%,125.48,$-1.9,CHA 2,UTA 2,generated,1
Cole Anthony (37303107),Andrew Nembhard (37303179),Isaiah Joe (37303303),Jayson Tatum (37302938),Kristaps Porzingis (37303041),Luguentz Dort (37303218),Brice Sensabaugh (37303235),Kevin Durant (37302953),266.48,265.04,354.83,49500,0.0%,0.3%,-0.47%,25.5%,175.05,$-1.86,OKC 2,BOS 2,generated,1
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Bennedict Mathurin (37303098),Aaron Wiggins (37303377),Goga Bitadze (37303067),Isaiah Collier (37303246),Kyle Filipowski (37303285),Jayson Tatum (37302938),267.83,261.58000000000004,359.98,49100,0.0%,0.5%,-0.47%,22.0%,208.42000000000002,$-1.9,OKC 2,IND 2,generated,1
Donovan Mitchell (37302974),Grayson Allen (37303185),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Isaiah Collier (37303246),Kyle Filipowski (37303285),LaMelo Ball (37302944),256.45,258.46999999999997,344.07000000000005,49200,0.0%,0.9%,-0.47%,17.7%,187.63,$-1.89,CLE 2,UTA 2,generated,1
Tyrese Maxey (37302947),Jaylen Brown (37302978),Isaiah Joe (37303303),Kyle Filipowski (37303285),Evan Mobley (37302989),Keon Johnson (37303113),Svi Mykhailiuk (37303337),Kristaps Porzingis (37303041),258.98999999999995,260.93,345.22,50000,0.0%,0.5%,-0.47%,17.8%,148.93,$-1.89,BOS 2,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Cason Wallace (37303281),Brandon Miller (37302997),Derrick White (37303047),274.06,265.92,362.86000000000007,49300,0.0%,0.3%,-0.47%,28.2%,276.04999999999995,$-1.87,OKC 3,UTA 2,generated,1
Cole Anthony (37303107),Jordan Poole (37303002),Bennedict Mathurin (37303098),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Svi Mykhailiuk (37303337),Ziaire Williams (37303157),269.41,265.39,365.2,49500,0.0%,0.4%,-0.47%,26.0%,222.82,$-1.87,UTA 2,OKC 2,generated,1
Cole Anthony (37303107),Jordan Poole (37303002),Luguentz Dort (37303218),Jalen Williams (37302986),Evan Mobley (37302989),Jaylen Brown (37302978),Svi Mykhailiuk (37303337),Ricky Council IV (37303632),258.91999999999996,258.77,344.99,49900,0.0%,0.5%,-0.47%,18.7%,133.01,$-1.9,OKC 2,ORL 1,generated,1
Cason Wallace (37303281),Luguentz Dort (37303218),Jayson Tatum (37302938),Noah Clowney (37303133),Kenrich Williams (37303423),Devin Booker (37302957),Micah Potter (37303452),Shai Gilgeous-Alexander (37302935),268.77000000000004,260.48,356.28,49600,0.0%,0.3%,-0.47%,24.3%,166.39999999999998,$-1.89,OKC 4,BOS 1,generated,1
CJ McCollum (37303022),Andrew Nembhard (37303179),Svi Mykhailiuk (37303337),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Devin Booker (37302957),Jalen Williams (37302986),Keon Johnson (37303113),262.22,253.23,349.78000000000003,49400,0.0%,0.4%,-0.47%,21.4%,132.14,$-1.87,OKC 2,NOP 1,generated,1
