PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cole Anthony (37751114),RJ Barrett (37751003),Vince Williams Jr. (37751460),Ausar Thompson (37751085),Jarrett Allen (37751052),Trae Young (37750915),Evan Mobley (37750964),Kyshawn George (37751149),285.28,281.19,377.39,50000,0.15%,8.59%,625.5%,63.26%,174.19,$18.8,CLE 2,ORL 1,generated,1
Trae Young (37750915),Cole Anthony (37751114),RJ Barrett (37751003),Paolo Banchero (37750942),Jalen Duren (37751019),Vince Williams Jr. (37751460),Keldon Johnson (37751121),Kelly Olynyk (37751258),282.02000000000004,278.6,379.63,49900,0.16%,7.6%,601.5%,58.91%,185.61999999999998,$18.0,ORL 2,ATL 1,generated,1
Trae Young (37750915),Cole Anthony (37751114),Bradley Beal (37751061),Nikola Jovic (37751139),Jalen Duren (37751019),Anthony Edwards (37750911),Kyshawn George (37751149),Vince Williams Jr. (37751460),285.08,273.4,371.06,50000,0.12%,8.34%,580.0%,63.54%,167.95999999999998,$17.4,ATL 1,ORL 1,generated,1
Cade Cunningham (37750905),Cole Anthony (37751114),Ausar Thompson (37751085),Santi Aldama (37751160),Nikola Jovic (37751139),Vince Williams Jr. (37751460),Zion Williamson (37750934),Jalen Duren (37751019),275.0,272.16,376.37,49900,0.15%,6.59%,551.0%,49.69%,152.12,$16.5,DET 3,MEM 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Bradley Beal (37751061),Georges Niang (37751274),Wendell Carter Jr. (37751163),Donovan Mitchell (37750950),Zion Williamson (37750934),Vince Williams Jr. (37751460),279.47,274.86,375.31,49900,0.12%,7.68%,533.3%,55.02%,169.0,$16.0,ATL 2,ORL 2,generated,1
Cole Anthony (37751114),Caris LeVert (37751093),Zaccharie Risacher (37751214),De'Andre Hunter (37751165),Onyeka Okongwu (37751069),Trae Young (37750915),Jalen Williams (37750982),Jalen Duren (37751019),278.12,270.5,370.36999999999995,50000,0.14%,6.31%,513.3%,53.47%,129.97000000000003,$15.4,ATL 4,ORL 1,generated,1
Trae Young (37750915),Cole Anthony (37751114),Bradley Beal (37751061),Georges Niang (37751274),Jarrett Allen (37751052),Cade Cunningham (37750905),Santi Aldama (37751160),Vince Williams Jr. (37751460),281.69,276.60999999999996,373.34,49500,0.12%,7.43%,491.8%,58.57%,182.10000000000002,$14.8,ATL 2,MEM 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Vince Williams Jr. (37751460),Georges Niang (37751274),Alexandre Sarr (37751083),Anthony Edwards (37750911),Zion Williamson (37750934),Brandon Clarke (37751291),276.93,268.72,372.53000000000003,49600,0.11%,6.43%,475.8%,51.95%,158.76,$14.3,ATL 2,MEM 2,generated,1
Trae Young (37750915),RJ Barrett (37751003),Caris LeVert (37751093),Zaccharie Risacher (37751214),Wendell Carter Jr. (37751163),Cole Anthony (37751114),De'Andre Hunter (37751165),Zion Williamson (37750934),277.95,274.32,372.07,50000,0.12%,6.73%,471.7%,53.43%,155.14000000000001,$14.2,ATL 3,ORL 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Max Strus (37751223),Ausar Thompson (37751085),Wendell Carter Jr. (37751163),Vince Williams Jr. (37751460),Paolo Banchero (37750942),Zion Williamson (37750934),276.87,275.52000000000004,375.61,49800,0.12%,6.4%,466.1%,51.89%,180.43,$14.0,ORL 3,ATL 1,generated,1
