PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Ja Morant (37770078),Cole Anthony (37770201),LeBron James (37770008),Chris Boucher (37770396),Neemias Queta (37770755),Vince Williams Jr. (37770467),Moses Moody (37770253),Giannis Antetokounmpo (37769998),272.22,271.27,373.59000000000003,49900,0.2%,7.25%,740.9%,50.55%,131.61,$29.6,MEM 2,ORL 1,generated,1
Ja Morant (37770078),Cole Anthony (37770201),Zion Williamson (37770048),Santi Aldama (37770228),Neemias Queta (37770755),Stephen Curry (37770033),Royce O'Neale (37770275),Jarrett Allen (37770161),270.15,273.03000000000003,368.80999999999995,49800,0.19%,6.43%,635.3%,47.92%,130.03,$25.4,MEM 2,ORL 1,generated,1
Cole Anthony (37770201),Vince Williams Jr. (37770467),Zion Williamson (37770048),Kelly Olynyk (37770294),Neemias Queta (37770755),Brandin Podziemski (37770175),LeBron James (37770008),Alperen Sengun (37770052),274.53,274.75,378.76,49300,0.1%,6.91%,490.9%,53.02%,169.67000000000002,$19.6,NOP 2,ORL 1,generated,1
Cole Anthony (37770201),Damion Baugh (37770458),Vince Williams Jr. (37770467),Kelly Olynyk (37770294),Kristaps Porzingis (37770106),Stephen Curry (37770033),Zion Williamson (37770048),Ja Morant (37770078),271.62,269.96,370.52,49900,0.13%,6.08%,487.4%,49.56%,145.6,$19.5,MEM 2,NOP 2,generated,1
Luka Doncic (37770002),Max Strus (37770286),Bradley Beal (37770150),Sam Hauser (37770402),Neemias Queta (37770755),Devin Booker (37770025),Chris Boucher (37770396),Alperen Sengun (37770052),272.61,273.92,362.8,49900,0.12%,6.02%,480.0%,51.06%,118.89,$19.2,PHX 2,BOS 2,generated,1
Cole Anthony (37770201),Damion Baugh (37770458),Jaylen Brown (37770094),Sam Hauser (37770402),Alperen Sengun (37770052),Stephen Curry (37770033),Kelly Olynyk (37770294),Jaren Jackson Jr. (37770099),277.79999999999995,275.01,369.87,50000,0.1%,6.57%,475.3%,57.77%,171.56,$19.0,BOS 2,ORL 1,generated,1
Ja Morant (37770078),Vince Williams Jr. (37770467),Franz Wagner (37770036),Brandon Clarke (37770406),Neemias Queta (37770755),Stephen Curry (37770033),Santi Aldama (37770228),Alperen Sengun (37770052),268.92,269.9,367.92,49700,0.13%,5.41%,466.5%,46.34%,126.92,$18.7,MEM 4,ORL 1,generated,1
Cole Anthony (37770201),Brandin Podziemski (37770175),Vince Williams Jr. (37770467),Tari Eason (37770190),Neemias Queta (37770755),Ja Morant (37770078),LeBron James (37770008),Alperen Sengun (37770052),277.5,280.90999999999997,375.93,50000,0.09%,6.79%,457.4%,57.1%,185.9,$18.3,MEM 2,HOU 2,generated,1
Cole Anthony (37770201),Damion Baugh (37770458),Zion Williamson (37770048),Sam Hauser (37770402),Neemias Queta (37770755),Devin Booker (37770025),Jimmy Butler (37770090),Alperen Sengun (37770052),272.49,271.12,368.05,49600,0.09%,6.34%,444.0%,50.81%,132.61,$17.8,BOS 2,ORL 1,generated,1
Damion Baugh (37770458),RJ Barrett (37770118),Zion Williamson (37770048),Giannis Antetokounmpo (37769998),Neemias Queta (37770755),Cole Anthony (37770201),Santi Aldama (37770228),Draymond Green (37770171),265.33,264.15,366.33,49700,0.1%,5.34%,432.2%,42.66%,107.81,$17.3,CHA 1,TOR 1,generated,1
