Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jonas valanciunas,C/UTIL,WAS,21.93%,0.01%,1.69%,3.45%,7.57%,$4.95
wendell carter jr.,C/UTIL,ORL,23.8%,0.0%,1.51%,7.55%,14.96%,$2.25
bam adebayo,C/UTIL,MIA,20.77%,0.0%,1.3%,4.77%,7.79%,$1.68
anthony black,PG/G/UTIL,ORL,24.54%,0.0%,1.47%,17.31%,20.55%,$1.39
jakob poeltl,C/UTIL,TOR,21.54%,0.0%,1.22%,8.2%,16.34%,$0.62
trevelin queen,PG/SG/G/UTIL,ORL,23.54%,0.0%,1.27%,31.45%,26.69%,$0.3
kentavious caldwell-pope,SG/G/UTIL,ORL,23.05%,0.0%,1.24%,17.43%,20.68%,$0.21
chris boucher,PF/F/UTIL,TOR,20.72%,0.0%,1.12%,9.38%,12.35%,$0.15
paolo banchero,PF/F/UTIL,ORL,22.17%,0.0%,1.2%,23.56%,26.65%,$-0.01
duncan robinson,SG/G/UTIL,MIA,21.55%,0.0%,1.14%,10.45%,12.35%,$-0.01
nikola jokic,C/UTIL,DEN,23.97%,0.0%,1.21%,27.76%,55.47%,$-0.04
kyle kuzma,PF/F/UTIL,WAS,19.86%,0.0%,1.01%,4.43%,5.3%,$-0.13
d'angelo russell,PG/SG/G/UTIL,BKN,20.59%,0.0%,1.09%,12.52%,9.07%,$-0.13
jimmy butler,SF/F/UTIL,MIA,19.27%,0.0%,1.02%,6.72%,5.43%,$-0.15
kel'el ware,C/PF/F/UTIL,MIA,23.25%,0.0%,1.17%,52.01%,59.4%,$-0.22
jalen brunson,PG/G/UTIL,NYK,20.84%,0.0%,1.1%,14.54%,13.87%,$-0.24
day'ron sharpe,C/UTIL,BKN,16.29%,0.0%,0.75%,0.22%,0.48%,$-0.29
nikola jovic,C/PF/F/UTIL,MIA,20.3%,0.0%,1.04%,10.24%,9.2%,$-0.34
tristan da silva,PF/SF/F/UTIL,ORL,21.47%,0.0%,1.09%,12.28%,9.08%,$-0.4
robert williams,C/PF/F/UTIL,POR,20.72%,0.0%,1.06%,18.59%,16.94%,$-0.49
deandre ayton,C/UTIL,POR,16.87%,0.0%,0.81%,1.57%,2.9%,$-0.54
anthony davis,C/UTIL,LAL,21.42%,0.0%,1.06%,25.96%,49.39%,$-0.59
jonathan isaac,C/PF/F/UTIL,ORL,17.13%,0.0%,0.82%,2.0%,1.93%,$-0.59
rj barrett,SF/F/UTIL,TOR,20.13%,0.0%,1.02%,13.77%,11.73%,$-0.6
russell westbrook,PG/G/UTIL,DEN,19.35%,0.0%,0.97%,12.99%,13.25%,$-0.65
lebron james,PF/F/UTIL,LAL,20.26%,0.0%,1.02%,22.31%,28.15%,$-0.73
terry rozier,PG/SG/G/UTIL,MIA,21.42%,0.0%,1.02%,49.26%,45.81%,$-0.9
alexandre sarr,C/PF/F/UTIL,WAS,19.03%,0.0%,0.92%,10.69%,9.0%,$-0.93
corey kispert,SF/SG/G/F/UTIL,WAS,20.59%,0.0%,0.99%,16.07%,9.43%,$-0.93
jordan poole,PG/SG/G/UTIL,WAS,18.86%,0.0%,0.91%,11.18%,7.49%,$-0.96
kyshawn george,PF/SF/F/UTIL,WAS,20.27%,0.0%,0.96%,7.71%,5.85%,$-1.03
karl-anthony towns,C/UTIL,NYK,18.27%,0.0%,0.91%,15.78%,28.61%,$-1.1
scottie barnes,PG/SF/G/F/UTIL,TOR,20.25%,0.0%,0.94%,27.8%,14.89%,$-1.11
deni avdija,PF/SF/F/UTIL,POR,19.87%,0.0%,0.92%,19.71%,13.13%,$-1.14
austin reaves,PG/G/UTIL,LAL,18.53%,0.0%,0.84%,7.21%,7.05%,$-1.17
jamal murray,PG/SG/G/UTIL,DEN,19.04%,0.0%,0.88%,14.94%,9.99%,$-1.19
kelly olynyk,C/UTIL,TOR,17.58%,0.0%,0.79%,2.63%,5.73%,$-1.22
gradey dick,SG/G/UTIL,TOR,19.88%,0.0%,0.92%,16.22%,19.24%,$-1.23
paul george,SF/SG/G/F/UTIL,PHI,19.78%,0.0%,0.9%,25.11%,13.73%,$-1.24
tyrese maxey,PG/G/UTIL,PHI,17.97%,0.0%,0.83%,10.32%,11.35%,$-1.34
michael porter jr.,PF/SF/F/UTIL,DEN,19.29%,0.0%,0.87%,16.34%,11.36%,$-1.38
