PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Keaton Wallace (37338930),Garrison Mathews (37338609),Brice Sensabaugh (37338383),OG Anunoby (37338270),Alperen Sengun (37338065),LaMelo Ball (37338029),Julius Randle (37338149),Fred VanVleet (37338153),283.633125,315.17036176317004,49800,32.63%,0,-51.32%,0,112.38,$-4.11,ATL 2,HOU 2,opp,1,mazwa,2681,4611134441
Jalen Brunson (37338088),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Jonathan Isaac (37338510),Mark Williams (37338232),Chris Paul (37338220),Paolo Banchero (37338047),Russell Westbrook (37338173),283.75312499999995,319.3239612365193,49100,32.20%,0,-51.96%,0,152.03,$-4.16,SAS 2,ORL 2,opp,1,JBCJBCJBC,1644,4611015545
Jalen Brunson (37338088),Vit Krejci (37338481),Josh Hart (37338127),Tristan da Silva (37338374),Giannis Antetokounmpo (37338014),Jose Alvarado (37338571),Naji Marshall (37338314),Onyeka Okongwu (37338359),283.54375,318.1323668150992,49600,32.11%,0,-52.01%,0,105.0,$-4.16,NYK 2,ATL 2,opp,1,Miklop,281,4610720561
Jalen Brunson (37338088),Isaiah Collier (37338329),Jaden McDaniels (37338396),Josh Hart (37338127),Onyeka Okongwu (37338359),Quentin Grimes (37338318),Michael Porter Jr. (37338208),Amen Thompson (37338122),283.49375000000003,312.52631642430646,49500,31.58%,0,-52.81%,0,66.02,$-4.22,NYK 2,UTA 1,opp,1,jpm11,339,4610881324
Jalen Brunson (37338088),Desmond Bane (37338134),Quentin Grimes (37338318),David Roddy (37338933),Naz Reid (37338300),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012),283.683125,319.135121989807,50000,31.49%,0,-53.11%,0,138.62,$-4.25,ATL 2,NYK 1,opp,1,rsbathla,1505,4610882977
Cole Anthony (37338216),Devin Vassell (37338234),Brice Sensabaugh (37338383),OG Anunoby (37338270),Mark Williams (37338232),Vit Krejci (37338481),Andrew Wiggins (37338228),Victor Wembanyama (37338018),283.52312500000005,317.1323856680993,49700,31.33%,0,-53.21%,0,144.12,$-4.26,SAS 2,ORL 1,opp,1,moklovin,2559,4610705481
Keyonte George (37338282),Bogdan Bogdanovic (37338369),Andrew Wiggins (37338228),Chris Boucher (37338501),Rudy Gobert (37338268),Stephon Castle (37338477),Giannis Antetokounmpo (37338014),Alperen Sengun (37338065),283.561640625,320.4387208180569,50000,31.28%,0,-53.24%,0,126.67999999999999,$-4.26,UTA 1,ATL 1,opp,1,StealCityHall,4111,4611261345
Jalen Brunson (37338088),Vit Krejci (37338481),Andrew Wiggins (37338228),David Roddy (37338933),Mark Williams (37338232),Bogdan Bogdanovic (37338369),Klay Thompson (37338250),Victor Wembanyama (37338018),283.613125,318.03416639280624,49300,31.40%,0,-53.3%,0,160.72,$-4.26,ATL 3,NYK 1,opp,1,nickps,1482,4610882627
Jalen Brunson (37338088),CJ McCollum (37338156),Scottie Barnes (37338057),OG Anunoby (37338270),Kristaps Porzingis (37338160),Stephon Castle (37338477),Nickeil Alexander-Walker (37338562),Onyeka Okongwu (37338359),283.54125868055553,315.81341830304393,49700,31.16%,0,-53.3%,0,111.93,$-4.26,NYK 2,NOP 1,opp,1,cheddabisque,588,4610880275
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Garrison Mathews (37338609),Chris Boucher (37338501),Onyeka Okongwu (37338359),Josh Giddey (37338141),Devin Vassell (37338234),Giannis Antetokounmpo (37338014),283.604765625,320.6053633786908,50000,31.34%,0,-53.37%,0,126.00999999999999,$-4.27,ATL 3,NYK 1,opp,1,iamthesqweez,1708,4611048155
Jalen Brunson (37338088),Stephon Castle (37338477),Trey Murphy III (37338144),Bobby Portis (37338274),Julius Randle (37338149),Cole Anthony (37338216),Bogdan Bogdanovic (37338369),Mark Williams (37338232),283.623125,317.547035307706,49600,31.28%,0,-53.37%,0,145.36,$-4.27,NYK 1,SAS 1,opp,1,ElusiveSmoke,1380,4610840205
Jaden Hardy (37338402),Garrison Mathews (37338609),Mikal Bridges (37338239),Jeremiah Robinson-Earl (37338708),Nikola Jokic (37338012),Quentin Grimes (37338318),Bogdan Bogdanovic (37338369),Victor Wembanyama (37338018),283.488125,319.0106149494823,49900,31.16%,0,-53.59%,0,125.48,$-4.29,DAL 2,ATL 2,opp,1,RoyalPain21,2440,4610916053
Stephon Castle (37338477),Klay Thompson (37338250),Jayson Tatum (37338023),Josh Hart (37338127),Victor Wembanyama (37338018),Mike Conley (37338507),Garrison Mathews (37338609),Jonathan Isaac (37338510),283.43642795138885,316.9672658014575,49900,30.93%,0,-53.68%,0,107.15,$-4.29,SAS 2,DAL 1,opp,1,dacoltz,2324,4611176149
Jose Alvarado (37338571),Stephon Castle (37338477),Devin Vassell (37338234),Brice Sensabaugh (37338383),Mark Williams (37338232),Damian Lillard (37338085),Josh Hart (37338127),Alperen Sengun (37338065),283.530625,316.19660918257875,49000,30.73%,0,-54.17%,0,131.06,$-4.33,SAS 2,NOP 1,opp,1,LegendsPark,2122,4610727328
Jalen Brunson (37338088),Cole Anthony (37338216),Brice Sensabaugh (37338383),Tristan da Silva (37338374),Clint Capela (37338298),Bogdan Bogdanovic (37338369),Jonathan Isaac (37338510),Nikola Jokic (37338012),283.603125,320.49153226522736,49600,30.53%,0,-54.54%,0,120.88,$-4.36,ORL 3,ATL 2,opp,1,trmcq63,2056,4611361052
