Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4649272436,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Jose Alvarado (37770193),Payton Pritchard (37770208),RJ Barrett (37770118),Sam Hauser (37770402),Alperen Sengun (37770052),Ja Morant (37770078),Jaylen Brown (37770094),Bruce Brown (37770453)
4649272437,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Ja Morant (37770078),Payton Pritchard (37770208),LeBron James (37770008),Kelly Olynyk (37770294),Neemias Queta (37770755),Bradley Beal (37770150),Buddy Hield (37770334),Alperen Sengun (37770052)
4649272438,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),RJ Barrett (37770118),Zion Williamson (37770048),Jaren Jackson Jr. (37770099),Jarrett Allen (37770161),Brandin Podziemski (37770175),Vince Williams Jr. (37770467),Tari Eason (37770190)
4649272439,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Chris Paul (37770183),Jaylen Brown (37770094),Sam Hauser (37770402),Jimmy Butler (37770090),Alperen Sengun (37770052),Devin Booker (37770025),Vince Williams Jr. (37770467),Damion Baugh (37770458)
4649272440,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Immanuel Quickley (37770136),Jaylen Brown (37770094),Sam Hauser (37770402),Jaren Jackson Jr. (37770099),Alperen Sengun (37770052),Ja Morant (37770078),Vince Williams Jr. (37770467),Damion Baugh (37770458)
4649272441,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),Nick Smith Jr. (37770212),Sam Hauser (37770402),Kelly Olynyk (37770294),Alperen Sengun (37770052),Luka Doncic (37770002),Amen Thompson (37770054),Damion Baugh (37770458)
4649272442,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),Vince Williams Jr. (37770467),LeBron James (37770008),Jaren Jackson Jr. (37770099),Neemias Queta (37770755),Brandin Podziemski (37770175),Tari Eason (37770190),Alperen Sengun (37770052)
4649272443,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),Vince Williams Jr. (37770467),Franz Wagner (37770036),De'Andre Hunter (37770269),Kelly Olynyk (37770294),Stephen Curry (37770033),Tari Eason (37770190),Alperen Sengun (37770052)
4649272444,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Derrick White (37770139),RJ Barrett (37770118),Zion Williamson (37770048),De'Andre Hunter (37770269),Alperen Sengun (37770052),Vince Williams Jr. (37770467),Santi Aldama (37770228),Payton Pritchard (37770208)
4649272445,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Brandin Podziemski (37770175),Payton Pritchard (37770208),Vince Williams Jr. (37770467),Jayson Tatum (37770012),Kelly Olynyk (37770294),Jalen Green (37770115),Kevin Durant (37770029),Moussa Diabate (37770279)
