Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4617916506,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Donovan Mitchell (37380269),Jaylen Brown (37380278),Georges Niang (37380521),Naz Reid (37380378),Nick Richards (37380365),Darius Garland (37380300),Moses Moody (37380529),Stephen Curry (37380249)
4617916507,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Darius Garland (37380300),Dennis Schroder (37380374),Dean Wade (37380509),Naz Reid (37380378),Jaren Jackson Jr. (37380258),Stephen Curry (37380249),Julius Randle (37380296),Kevon Looney (37380507)
4617916508,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Darius Garland (37380300),Dennis Schroder (37380374),Georges Niang (37380521),Naz Reid (37380378),Jarrett Allen (37380313),Ty Jerome (37380541),Jayson Tatum (37380228),Stephen Curry (37380249)
4617916509,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Jalen Brunson (37380252),Devin Booker (37380242),Tim Hardaway Jr. (37380464),Naz Reid (37380378),Alperen Sengun (37380240),Ty Jerome (37380541),Georges Niang (37380521),Jarrett Allen (37380313)
4617916510,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Jalen Brunson (37380252),Dennis Schroder (37380374),Moses Moody (37380529),Naz Reid (37380378),Alperen Sengun (37380240),Jrue Holiday (37380389),Andrew Wiggins (37380318),Jarrett Allen (37380313)
4617916511,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Jalen Brunson (37380252),Max Strus (37380494),Jaylen Brown (37380278),Andrew Wiggins (37380318),Nick Richards (37380365),Caris LeVert (37380450),Jayson Tatum (37380228),Ty Jerome (37380541)
4617916512,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Jalen Brunson (37380252),Dennis Schroder (37380374),Georges Niang (37380521),Naz Reid (37380378),Alperen Sengun (37380240),Caris LeVert (37380450),Jayson Tatum (37380228),Ty Jerome (37380541)
4617916513,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Darius Garland (37380300),Caris LeVert (37380450),Andrew Wiggins (37380318),Kevin Durant (37380237),Jalen Duren (37380352),Ty Jerome (37380541),Jayson Tatum (37380228),Moses Moody (37380529)
