PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
KJ Simpson (38319544),Donovan Mitchell (38319302),Jamison Battle (38319725),Miles Bridges (38319308),Jusuf Nurkic (38319623),Dennis Schroder (38319444),Sandro Mamukelashvili (38319706),Evan Mobley (38319319),288.87,275.90999999999997,383.53999999999996,50000,0.26%,9.75%,552.0%,67.89%,163.69,$22.1,CHA 3,CLE 2,generated,1
Donovan Mitchell (38319302),Collin Sexton (38319491),Jamison Battle (38319725),Pascal Siakam (38319373),Jusuf Nurkic (38319623),Chris Paul (38319596),Ausar Thompson (38319458),Evan Mobley (38319319),283.27,273.82,381.90999999999997,49900,0.33%,8.45%,537.2%,60.17%,173.95,$21.5,CLE 2,UTA 1,generated,1
Dennis Schroder (38319444),Donovan Mitchell (38319302),Jamison Battle (38319725),Miles Bridges (38319308),Jusuf Nurkic (38319623),Anfernee Simons (38319426),Ja'Kobe Walter (38319586),Donovan Clingan (38319495),287.53,275.32,379.35999999999996,49500,0.22%,8.5%,453.6%,66.85%,170.57,$18.1,TOR 2,CHA 2,generated,1
Collin Gillespie (38319579),Donovan Mitchell (38319302),Ausar Thompson (38319458),Pascal Siakam (38319373),Jusuf Nurkic (38319623),Chris Paul (38319596),Tari Eason (38319462),Jalen Duren (38319381),283.21,280.19,381.42999999999995,49800,0.25%,7.66%,450.6%,60.8%,191.45,$18.0,DET 2,PHX 1,generated,1
KJ Simpson (38319544),Dennis Schroder (38319444),Ja'Kobe Walter (38319586),Evan Mobley (38319319),Jusuf Nurkic (38319623),Darius Garland (38319349),Jamison Battle (38319725),Donovan Mitchell (38319302),289.55,276.82,380.76000000000005,49600,0.19%,8.69%,437.5%,69.6%,167.14999999999998,$17.5,CLE 3,CHA 2,generated,1
KJ Simpson (38319544),Malik Beasley (38319469),Brice Sensabaugh (38319564),Pascal Siakam (38319373),Jusuf Nurkic (38319623),Chris Paul (38319596),Deni Avdija (38319298),Evan Mobley (38319319),283.53999999999996,272.91,373.39,50000,0.23%,7.75%,431.3%,60.86%,144.79,$17.3,CHA 2,DET 1,generated,1
Darius Garland (38319349),Dennis Schroder (38319444),Jamison Battle (38319725),Pascal Siakam (38319373),Jusuf Nurkic (38319623),Chris Paul (38319596),Tari Eason (38319462),Donovan Mitchell (38319302),286.57000000000005,277.3,381.15,49600,0.18%,8.46%,423.1%,65.11%,184.11,$16.9,CLE 2,DET 1,generated,1
Malik Monk (38319403),Anfernee Simons (38319426),Jamison Battle (38319725),Pascal Siakam (38319373),Jusuf Nurkic (38319623),KJ Simpson (38319544),Matas Buzelis (38319518),Domantas Sabonis (38319289),280.94,271.56,370.53999999999996,49700,0.23%,6.7%,401.6%,57.28%,144.07999999999998,$16.1,SAC 2,CHA 2,generated,1
Tyrese Haliburton (38319311),Ja'Kobe Walter (38319586),Jamison Battle (38319725),Ausar Thompson (38319458),Jusuf Nurkic (38319623),Stephon Castle (38319386),Evan Mobley (38319319),Dennis Schroder (38319444),283.47,274.85,375.55999999999995,50000,0.2%,7.23%,401.2%,60.92%,167.97,$16.0,TOR 2,DET 2,generated,1
Stephon Castle (38319386),Ja'Kobe Walter (38319586),Jamison Battle (38319725),Pascal Siakam (38319373),Jusuf Nurkic (38319623),Chris Paul (38319596),Evan Mobley (38319319),Donovan Mitchell (38319302),284.01,271.96000000000004,379.9699999999999,49600,0.16%,7.75%,385.1%,61.67%,170.17000000000002,$15.4,SAS 2,TOR 2,generated,1
Donovan Mitchell (38319302),Dennis Schroder (38319444),Ja'Kobe Walter (38319586),Sandro Mamukelashvili (38319706),Oscar Tshiebwe (38319613),Darius Garland (38319349),Deni Avdija (38319298),Jusuf Nurkic (38319623),282.40999999999997,274.28,378.40999999999997,49700,0.22%,6.7%,383.8%,59.39%,156.07999999999998,$15.4,CLE 2,DET 1,generated,1
Dennis Schroder (38319444),Malik Beasley (38319469),Jamison Battle (38319725),Ausar Thompson (38319458),Jusuf Nurkic (38319623),Ja'Kobe Walter (38319586),Evan Mobley (38319319),Domantas Sabonis (38319289),286.2,278.56,375.30000000000007,49800,0.15%,7.52%,375.2%,64.98%,173.32,$15.0,DET 3,TOR 2,generated,1
Chris Paul (38319596),Anfernee Simons (38319426),Ja'Kobe Walter (38319586),Pascal Siakam (38319373),Jusuf Nurkic (38319623),Donovan Mitchell (38319302),Jonathan Mogbo (38319664),Miles Bridges (38319308),281.34000000000003,272.05,376.34,49500,0.17%,6.42%,328.8%,58.1%,169.52,$13.2,TOR 2,CHA 2,generated,1
Dennis Schroder (38319444),Stephon Castle (38319386),Coby White (38319323),Tidjane Salaun (38319674),Jusuf Nurkic (38319623),Darius Garland (38319349),Jonathan Mogbo (38319664),Jalen Duren (38319381),278.08,273.42,368.56,50000,0.2%,5.71%,326.0%,53.71%,164.51,$13.0,DET 2,CHA 2,generated,1
KJ Simpson (38319544),Stephon Castle (38319386),Tari Eason (38319462),Pascal Siakam (38319373),Jusuf Nurkic (38319623),Shaedon Sharpe (38319366),Jonathan Mogbo (38319664),Kristaps Porzingis (38319343),275.63000000000005,270.71,366.99,50000,0.19%,5.26%,316.1%,50.33%,134.65,$12.6,CHA 2,SAS 1,generated,1
Donovan Mitchell (38319302),Malik Beasley (38319469),Ausar Thompson (38319458),Deni Avdija (38319298),Jusuf Nurkic (38319623),Anfernee Simons (38319426),Sandro Mamukelashvili (38319706),Oscar Tshiebwe (38319613),281.62,276.21000000000004,375.77,49900,0.14%,6.21%,313.3%,58.61%,153.46,$12.5,DET 2,POR 2,generated,1
KJ Simpson (38319544),Dennis Schroder (38319444),Jamison Battle (38319725),Jonathan Mogbo (38319664),Jalen Duren (38319381),Donovan Mitchell (38319302),Deni Avdija (38319298),Nick Richards (38319547),280.98,274.90000000000003,370.43,49900,0.17%,5.67%,309.9%,57.99%,156.94,$12.4,DET 2,TOR 2,generated,1
Devin Booker (38319285),Dennis Schroder (38319444),Tari Eason (38319462),Miles Bridges (38319308),Jusuf Nurkic (38319623),Ja'Kobe Walter (38319586),Sandro Mamukelashvili (38319706),Donovan Clingan (38319495),278.54,268.48,372.45,50000,0.18%,5.55%,308.2%,54.17%,151.76,$12.3,CHA 2,PHX 1,generated,1
KJ Simpson (38319544),Anfernee Simons (38319426),Jamison Battle (38319725),Pascal Siakam (38319373),Paul Reed (38319728),Shai Gilgeous-Alexander (38319275),Evan Mobley (38319319),Bismack Biyombo (38319799),272.13,266.69,367.35999999999996,50000,0.19%,5.2%,302.8%,46.26%,127.41999999999999,$12.1,CHA 1,POR 1,generated,1
