Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
ty jerome,PG/G/UTIL,CLE,33.3%,0.02%,1.75%,31.06%,43.12%,$1.08
jonas valanciunas,C/UTIL,WAS,28.28%,0.02%,1.62%,9.6%,17.07%,$0.81
moussa diabate,C/UTIL,CHA,29.07%,0.01%,1.46%,9.66%,19.66%,$0.52
t.j. mcconnell,PG/G/UTIL,IND,26.03%,0.02%,1.42%,7.44%,9.62%,$0.5
chris boucher,C/PF/F/UTIL,TOR,26.93%,0.01%,1.39%,12.53%,8.84%,$0.37
donovan mitchell,PG/SG/G/UTIL,CLE,27.02%,0.01%,1.4%,11.65%,8.16%,$0.36
pascal siakam,PF/F/UTIL,IND,26.71%,0.01%,1.37%,7.76%,7.95%,$0.36
kelly oubre jr.,SG/G/UTIL,PHI,28.27%,0.01%,1.35%,11.75%,10.73%,$0.28
jarrett allen,C/UTIL,CLE,25.6%,0.01%,1.28%,3.68%,6.74%,$0.28
ben sheppard,SG/G/UTIL,IND,27.61%,0.01%,1.3%,0.09%,0.1%,$0.08
tyrese maxey,PG/G/UTIL,PHI,27.02%,0.01%,1.24%,11.76%,18.11%,$0.03
domantas sabonis,C/UTIL,SAC,27.17%,0.01%,1.22%,11.28%,23.74%,$-0.02
bruce brown,SF/SG/G/F/UTIL,TOR,24.74%,0.01%,1.18%,3.31%,1.86%,$-0.03
cade cunningham,PG/G/UTIL,DET,24.4%,0.01%,1.17%,7.4%,9.03%,$-0.11
josh okogie,PF/SF/F/UTIL,CHA,26.66%,0.01%,1.17%,51.78%,43.33%,$-0.12
nikola jokic,C/UTIL,DEN,24.81%,0.01%,1.22%,11.21%,18.16%,$-0.12
evan mobley,C/PF/F/UTIL,CLE,24.14%,0.01%,1.11%,6.75%,4.71%,$-0.18
rj barrett,SF/F/UTIL,TOR,25.4%,0.01%,1.14%,17.57%,20.21%,$-0.2
jarace walker,PF/SF/F/UTIL,IND,24.44%,0.01%,1.12%,10.78%,6.42%,$-0.21
max strus,SF/SG/G/F/UTIL,CLE,25.53%,0.01%,1.11%,14.55%,7.84%,$-0.25
myles turner,C/UTIL,IND,24.99%,0.01%,1.09%,5.06%,9.19%,$-0.26
jalen duren,C/UTIL,DET,23.9%,0.01%,1.06%,4.76%,8.66%,$-0.29
miles bridges,PF/F/UTIL,CHA,23.14%,0.01%,1.05%,3.46%,3.8%,$-0.31
jakob poeltl,C/UTIL,TOR,25.81%,0.01%,1.07%,18.52%,36.01%,$-0.32
nikola vucevic,C/UTIL,CHI,23.43%,0.01%,1.02%,4.01%,6.48%,$-0.35
scottie barnes,PG/SF/G/F/UTIL,TOR,25.51%,0.01%,1.05%,23.99%,18.32%,$-0.36
