PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Jared Butler (38047188),AJ Lawson (38047276),Vince Williams Jr. (38047307),Miles Bridges (38046903),Onyeka Okongwu (38046977),Trae Young (38046855),John Collins (38046999),Andre Drummond (38047063),287.45000000000005,280.64,390.39000000000004,49900,0.18%,6.32%,578.2%,48.27%,135.39,$17.3,PHI 2,ATL 2,generated,1
Ja Morant (38046871),Jared Butler (38047188),Klay Thompson (38047011),Naji Marshall (38046946),Andre Drummond (38047063),Jared Rhoden (38047408),John Collins (38046999),Onyeka Okongwu (38046977),290.40999999999997,283.94,386.72,50000,0.17%,6.46%,558.2%,51.58%,133.26999999999998,$16.7,PHI 2,DAL 2,generated,1
Jared Butler (38047188),Jared Rhoden (38047408),Jayson Tatum (38046844),Chris Boucher (38047411),Jakob Poeltl (38047034),Jamal Shead (38047196),John Collins (38046999),Shai Gilgeous-Alexander (38046841),294.73,296.52,396.55000000000007,50000,0.17%,7.37%,556.1%,57.78%,189.94,$16.7,TOR 4,PHI 1,generated,1
Jamal Shead (38047196),Jared Rhoden (38047408),Jayson Tatum (38046844),Miles Bridges (38046903),Andre Drummond (38047063),Collin Sexton (38047052),Kessler Edwards (38047208),Naji Marshall (38046946),296.75,286.09000000000003,387.53000000000003,49800,0.16%,7.47%,548.7%,60.66%,154.18,$16.5,TOR 2,DAL 2,generated,1
Jamal Shead (38047196),Jared Rhoden (38047408),Jaylen Brown (38046885),Miles Bridges (38046903),Jakob Poeltl (38047034),AJ Lawson (38047276),Naji Marshall (38046946),Onyeka Okongwu (38046977),294.21,287.19,384.2,49700,0.16%,6.81%,541.3%,56.87%,171.64,$16.2,TOR 4,BOS 1,generated,1
Shai Gilgeous-Alexander (38046841),AJ Lawson (38047276),Naji Marshall (38046946),Chris Boucher (38047411),Andre Drummond (38047063),Jared Rhoden (38047408),John Collins (38046999),Ivica Zubac (38046915),292.97,295.57,389.38,49800,0.15%,6.28%,511.8%,55.04%,182.42,$15.4,TOR 3,OKC 1,generated,1
James Harden (38046852),Jared Butler (38047188),Vince Williams Jr. (38047307),Miles Bridges (38046903),Isaiah Hartenstein (38046979),Jared Rhoden (38047408),John Collins (38046999),Jakob Poeltl (38047034),286.01,279.39,385.41,50000,0.16%,5.79%,498.7%,46.92%,126.06,$15.0,TOR 2,LAC 1,generated,1
Jamal Shead (38047196),AJ Lawson (38047276),Jayson Tatum (38046844),Naji Marshall (38046946),Brandon Clarke (38047251),Collin Sexton (38047052),Jamison Battle (38047427),Trae Young (38046855),295.11999999999995,284.26,389.36,49600,0.13%,7.19%,494.3%,58.05%,164.51999999999998,$14.8,TOR 3,BOS 1,generated,1
Trae Young (38046855),Jared Rhoden (38047408),Jamison Battle (38047427),Chris Boucher (38047411),John Collins (38046999),Ja Morant (38046871),Tari Eason (38047036),Ivica Zubac (38046915),287.48999999999995,287.03,387.28999999999996,49900,0.15%,5.9%,494.0%,48.48%,145.48000000000002,$14.8,TOR 3,ATL 1,generated,1
Shai Gilgeous-Alexander (38046841),Jared Butler (38047188),Jamison Battle (38047427),Naji Marshall (38046946),Zach Edey (38047115),Ja Morant (38046871),Vince Williams Jr. (38047307),Collin Sexton (38047052),291.95,285.25,391.13000000000005,50000,0.15%,6.21%,488.3%,53.83%,138.54000000000002,$14.6,MEM 3,OKC 1,generated,1
Jamal Shead (38047196),Jared Rhoden (38047408),Jamison Battle (38047427),John Collins (38046999),Andre Drummond (38047063),LaMelo Ball (38046864),Naji Marshall (38046946),Alperen Sengun (38046862),293.92,292.56,388.42999999999995,49700,0.12%,6.97%,468.8%,56.49%,176.8,$14.1,TOR 3,UTA 1,generated,1
Jared Butler (38047188),Jared Rhoden (38047408),Jaylen Brown (38046885),Naji Marshall (38046946),Jakob Poeltl (38047034),Ja Morant (38046871),Vince Williams Jr. (38047307),John Collins (38046999),291.53999999999996,285.32000000000005,388.18000000000006,49700,0.13%,6.33%,461.8%,53.5%,147.69,$13.9,TOR 2,MEM 2,generated,1
