Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Evan Mobley,C/PF/F/UTIL,CLE,81.9880251736111,10.226929484007554,88.25%,19.73%,0.85%,1.87%,$56.39,37
Wendell Carter Jr.,C/UTIL,ORL,18.346249999999998,8.929630376438082,22.16%,9.44%,0.84%,2.93%,$10.48,36
Jarrett Allen,C/UTIL,CLE,54.044171006944445,9.517794022710456,61.52%,6.78%,3.1%,4.12%,$7.94,37
Deni Avdija,PF/SF/F/UTIL,POR,35.84,10.62,22.22%,0.71%,1.71%,1.3%,$7.86,48
Victor Wembanyama,C/UTIL,SAS,79.93,15.647873945905152,75.0%,6.37%,12.89%,19.33%,$6.35,36
Nickeil Alexander-Walker,SF/SG/G/F/UTIL,MIN,27.167165798611112,5.143368044588595,26.79%,3.89%,4.01%,9.91%,$4.12,37
LaMelo Ball,PG/G/UTIL,CHA,46.45,16.0,15.03%,0.4%,3.17%,5.81%,$3.31,48
Alec Burks,PG/G/UTIL,MIA,18.64,7.37,32.34%,1.31%,7.34%,1.39%,$1.33,48
Javonte Green,PF/SF/F/UTIL,NOP,16.44,6.34,20.33%,0.63%,6.09%,2.33%,$1.29,48
Alex Caruso,PG/SF/G/F/UTIL,OKC,21.8,8.62,21.88%,0.9%,7.14%,3.74%,$0.92,48
Mouhamed Gueye,PF/F/UTIL,ATL,33.32625,9.804095121400005,50.67%,3.41%,18.69%,32.73%,$0.89,36
Tristan Vukcevic,C/UTIL,WAS,47.875,8.626931041643571,73.84%,0.01%,0.18%,0.41%,$0.83,36
AJ Green,PG/SG/G/UTIL,MIL,15.91,5.84,20.97%,0.97%,7.75%,3.83%,$0.38,48
Kyshawn George,PF/SF/F/UTIL,WAS,31.426875000000003,5.667204212541684,39.24%,2.05%,12.02%,24.41%,$0.37,36
Nick Smith Jr.,SF/SG/G/F/UTIL,CHA,24.42,7.17,29.53%,1.35%,19.87%,17.64%,$0.24,48
Daniel Gafford,C/UTIL,DAL,43.66,13.2,27.67%,0.46%,12.58%,24.18%,$0.07,48
Chris Paul,PG/G/UTIL,SAS,39.189375,8.315823391993659,46.32%,2.95%,1.99%,4.26%,$0.00,36
Al Horford,C/PF/F/UTIL,BOS,26.62,7.15,27.43%,1.1%,14.31%,18.51%,$-0.00,48
Moses Moody,PG/SF/G/F/UTIL,GSW,25.36,8.89,31.99%,1.56%,7.43%,3.41%,$-0.31,48
Terry Rozier,PG/SG/G/UTIL,MIA,27.53,8.94,29.4%,1.36%,19.02%,13.11%,$-0.31,48
Stephen Curry,PG/G/UTIL,GSW,48.33,15.59,28.79%,1.08%,17.72%,21.03%,$-0.32,48
Aaron Wiggins,PF/SF/F/UTIL,OKC,28.58,9.14,23.87%,0.5%,13.44%,10.22%,$-0.33,48
