PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Stephen Curry (37870385),Cole Anthony (37870564),Sam Hauser (37870737),Pascal Siakam (37870441),Onyeka Okongwu (37870479),Trae Young (37870380),Torrey Craig (37870773),Luke Kornet (37870659),287.83000000000004,275.5,380.15,49800,0.22%,6.29%,666.9%,48.62%,192.35000000000002,$26.7,BOS 3,ATL 2,generated,1
Payton Pritchard (37870531),Brandin Podziemski (37870518),Jayson Tatum (37870374),Sam Hauser (37870737),Andre Drummond (37870554),Trae Young (37870380),Guerschon Yabusele (37870556),Luke Kornet (37870659),297.68000000000006,281.19,388.4,49700,0.14%,8.39%,639.3%,62.15%,224.87,$25.6,BOS 4,PHI 2,generated,1
Trae Young (37870380),Cole Anthony (37870564),Sam Hauser (37870737),Pascal Siakam (37870441),Luke Kornet (37870659),Payton Pritchard (37870531),Jayson Tatum (37870374),Neemias Queta (37870732),297.08,284.8399999999999,390.97999999999996,50000,0.14%,7.98%,622.5%,61.36%,226.57,$24.9,BOS 5,ATL 1,generated,1
Trae Young (37870380),Jared Butler (37870777),Jayson Tatum (37870374),Sam Hauser (37870737),Andre Drummond (37870554),Payton Pritchard (37870531),Guerschon Yabusele (37870556),Onyeka Okongwu (37870479),295.22999999999996,279.86,389.78000000000003,49400,0.13%,7.76%,602.9%,58.6%,220.01,$24.1,PHI 3,BOS 3,generated,1
Payton Pritchard (37870531),Jared Butler (37870777),Jayson Tatum (37870374),Paolo Banchero (37870398),Onyeka Okongwu (37870479),Quentin Grimes (37870496),Guerschon Yabusele (37870556),Luke Kornet (37870659),303.43000000000006,293.78999999999996,393.57000000000005,50000,0.08%,9.24%,531.4%,71.77%,289.73,$21.3,BOS 3,PHI 3,generated,1
Jared Butler (37870777),Payton Pritchard (37870531),Franz Wagner (37870409),Paolo Banchero (37870398),Onyeka Okongwu (37870479),Tyrese Haliburton (37870401),Sam Hauser (37870737),Luke Kornet (37870659),295.34000000000003,291.91999999999996,385.05,49900,0.11%,7.04%,514.1%,59.21%,270.75,$20.6,BOS 3,ORL 2,generated,1
Payton Pritchard (37870531),Brandin Podziemski (37870518),Sam Hauser (37870737),Pascal Siakam (37870441),Luke Kornet (37870659),Quentin Grimes (37870496),LeBron James (37870370),Onyeka Okongwu (37870479),297.45,288.39000000000004,384.05999999999995,50000,0.11%,7.32%,513.4%,62.91%,287.12,$20.5,BOS 3,GSW 1,generated,1
Cole Anthony (37870564),Payton Pritchard (37870531),Jayson Tatum (37870374),Sam Hauser (37870737),Luke Kornet (37870659),Jared Butler (37870777),Pascal Siakam (37870441),Trae Young (37870380),298.29,285.71,392.84000000000003,49600,0.07%,8.42%,512.6%,62.63%,243.92000000000002,$20.5,BOS 4,ORL 1,generated,1
Payton Pritchard (37870531),Jared Butler (37870777),Georges Niang (37870688),Sam Hauser (37870737),Luke Kornet (37870659),Trae Young (37870380),Jayson Tatum (37870374),Tyrese Haliburton (37870401),295.5,285.27,387.57000000000005,50000,0.1%,7.21%,494.9%,58.7%,232.32999999999998,$19.8,BOS 4,ATL 2,generated,1
Trae Young (37870380),Jared Butler (37870777),Jayson Tatum (37870374),Sam Hauser (37870737),Guerschon Yabusele (37870556),Payton Pritchard (37870531),Pascal Siakam (37870441),Luke Kornet (37870659),300.15999999999997,286.74,391.77,49700,0.06%,8.69%,485.4%,65.88%,248.03,$19.4,BOS 4,PHI 2,generated,1
Jared Butler (37870777),Quentin Grimes (37870496),Jayson Tatum (37870374),Guerschon Yabusele (37870556),Luke Kornet (37870659),Trae Young (37870380),Tari Eason (37870526),Payton Pritchard (37870531),297.0799999999999,284.40999999999997,388.8,50000,0.09%,7.35%,473.5%,61.19%,242.59,$18.9,PHI 3,BOS 3,generated,1
Stephen Curry (37870385),Payton Pritchard (37870531),Sam Hauser (37870737),Paolo Banchero (37870398),Luke Kornet (37870659),Brandin Podziemski (37870518),Tari Eason (37870526),Onyeka Okongwu (37870479),292.85,282.39,381.75,49600,0.09%,6.13%,471.5%,55.37%,244.85000000000002,$18.9,BOS 3,GSW 2,generated,1
Jared Butler (37870777),Payton Pritchard (37870531),Sam Hauser (37870737),Jayson Tatum (37870374),Onyeka Okongwu (37870479),Amen Thompson (37870404),Pascal Siakam (37870441),Luke Kornet (37870659),302.81999999999994,292.07,391.75,49900,0.08%,8.25%,463.4%,71.13%,272.78,$18.5,BOS 4,PHI 1,generated,1
Cole Anthony (37870564),Jared Butler (37870777),Jimmy Butler (37870429),Sam Hauser (37870737),Luke Kornet (37870659),Payton Pritchard (37870531),Jayson Tatum (37870374),Alperen Sengun (37870383),293.42999999999995,283.06,386.28000000000003,49600,0.1%,6.27%,444.8%,56.11%,229.53,$17.8,BOS 4,ORL 1,generated,1
Payton Pritchard (37870531),Jared Butler (37870777),Jayson Tatum (37870374),Georges Niang (37870688),Luke Kornet (37870659),Trae Young (37870380),Kelly Olynyk (37870510),Onyeka Okongwu (37870479),292.75000000000006,280.47,388.26000000000005,49700,0.11%,5.88%,439.5%,55.16%,232.76,$17.6,BOS 3,ATL 3,generated,1
Cole Anthony (37870564),Payton Pritchard (37870531),Caris LeVert (37870537),Paolo Banchero (37870398),Luke Kornet (37870659),Trae Young (37870380),Pascal Siakam (37870441),Jared Butler (37870777),291.16,284.05,386.90000000000003,49900,0.11%,5.97%,436.0%,52.81%,224.98000000000002,$17.4,ORL 2,BOS 2,generated,1
Payton Pritchard (37870531),Quentin Grimes (37870496),Franz Wagner (37870409),Sam Hauser (37870737),Onyeka Okongwu (37870479),Trae Young (37870380),Caris LeVert (37870537),Luke Kornet (37870659),297.6,289.8,383.94999999999993,49900,0.07%,7.01%,430.8%,63.18%,289.02,$17.2,BOS 3,ATL 3,generated,1
Brandin Podziemski (37870518),Caris LeVert (37870537),Jayson Tatum (37870374),Guerschon Yabusele (37870556),Luke Kornet (37870659),Payton Pritchard (37870531),Zaccharie Risacher (37870644),Alperen Sengun (37870383),294.84,283.72,384.41999999999996,50000,0.09%,6.28%,422.9%,58.33%,226.92000000000002,$16.9,BOS 3,ATL 2,generated,1
Payton Pritchard (37870531),Jared Butler (37870777),Jayson Tatum (37870374),Sam Hauser (37870737),Myles Turner (37870481),Tyrese Haliburton (37870401),Tari Eason (37870526),Onyeka Okongwu (37870479),291.94,282.92,384.76,49900,0.08%,5.8%,411.8%,54.23%,210.69,$16.5,BOS 3,IND 2,generated,1
Trae Young (37870380),Jared Butler (37870777),Jayson Tatum (37870374),Sam Hauser (37870737),Myles Turner (37870481),Payton Pritchard (37870531),Kelly Oubre Jr. (37870483),Luke Kornet (37870659),295.18999999999994,283.9,384.82,49600,0.08%,6.54%,401.5%,58.81%,236.39,$16.1,BOS 4,PHI 2,generated,1
Trae Young (37870380),Jared Butler (37870777),Sam Hauser (37870737),Guerschon Yabusele (37870556),Luke Kornet (37870659),Payton Pritchard (37870531),LeBron James (37870370),Onyeka Okongwu (37870479),292.49,281.01000000000005,383.21,49000,0.06%,6.62%,391.7%,55.18%,256.33,$15.7,BOS 3,ATL 2,generated,1
