Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
isaac okoro,PF/SF/F/UTIL,CLE,13.5%,0.0%,0.13%,0.09%,0.03%,$-0.73
cam reddish,SF/F/UTIL,LAL,13.84%,0.0%,0.12%,0.1%,0.03%,$-0.73
duop reath,C/UTIL,POR,13.15%,0.0%,0.12%,0.1%,0.03%,$-0.73
terrence shannon jr.,SF/SG/G/F/UTIL,MIN,13.64%,0.0%,0.16%,0.09%,0.03%,$-0.73
cory joseph,PG/G/UTIL,ORL,13.18%,0.0%,0.15%,0.1%,0.03%,$-0.73
jabari walker,C/UTIL,POR,12.99%,0.0%,0.14%,0.06%,0.03%,$-0.73
caleb houstan,PF/SF/F/UTIL,ORL,13.69%,0.0%,0.11%,0.08%,0.03%,$-0.73
david roddy,PF/F/UTIL,ATL,14.59%,0.0%,0.1%,0.02%,0.04%,$-0.73
moritz wagner,C/UTIL,ORL,13.72%,0.0%,0.11%,0.05%,0.03%,$-0.73
tristan thompson,C/UTIL,CLE,12.51%,0.0%,0.11%,0.1%,0.03%,$-0.74
jesse edwards,C/UTIL,MIN,13.53%,0.0%,0.12%,0.04%,0.03%,$-0.74
patrick baldwin jr.,PF/F/UTIL,WAS,13.43%,0.0%,0.14%,0.08%,0.03%,$-0.74
dominick barlow,C/UTIL,ATL,13.4%,0.0%,0.09%,0.08%,0.03%,$-0.74
jett howard,PF/SF/F/UTIL,ORL,13.64%,0.0%,0.12%,0.08%,0.03%,$-0.74
bryce mcgowens,SG/G/UTIL,POR,13.95%,0.0%,0.11%,0.06%,0.03%,$-0.74
taze moore,SG/G/UTIL,POR,13.65%,0.0%,0.14%,0.08%,0.03%,$-0.74
christian koloko,C/UTIL,LAL,14.45%,0.0%,0.12%,0.05%,0.1%,$-0.74
reed sheppard,PG/SG/G/UTIL,HOU,12.07%,0.0%,0.1%,0.07%,0.03%,$-0.75
ej harkless,PG/G/UTIL,UTA,14.6%,0.0%,0.11%,0.03%,0.03%,$-0.75
luke travers,SF/F/UTIL,CLE,11.61%,0.0%,0.11%,0.11%,0.03%,$-0.76
zyon pullin,PG/SG/G/UTIL,MEM,12.43%,0.0%,0.12%,0.09%,0.03%,$-0.76
marvin bagley iii,C/UTIL,WAS,11.32%,0.0%,0.11%,0.05%,0.03%,$-0.76
matisse thybulle,PF/F/UTIL,POR,12.34%,0.0%,0.11%,0.07%,0.03%,$-0.76
kobe bufkin,PG/G/UTIL,ATL,13.06%,0.0%,0.09%,0.08%,0.03%,$-0.76
nate williams,PG/SF/G/F/UTIL,HOU,11.2%,0.0%,0.11%,0.07%,0.03%,$-0.77
daeqwon plowden,SF/SG/G/F/UTIL,ATL,11.58%,0.0%,0.1%,0.1%,0.03%,$-0.77
rayan rupert,PG/SF/G/F/UTIL,POR,11.16%,0.0%,0.12%,0.1%,0.03%,$-0.77
cody zeller,C/UTIL,ATL,12.84%,0.0%,0.09%,0.05%,0.03%,$-0.77
yuki kawamura,PG/G/UTIL,MEM,11.03%,0.0%,0.09%,0.08%,0.03%,$-0.77
oscar tshiebwe,C/UTIL,UTA,11.94%,0.0%,0.11%,0.09%,0.03%,$-0.77
jt thor,PF/SF/F/UTIL,CLE,12.12%,0.0%,0.11%,0.08%,0.03%,$-0.77
johnny davis,PG/SF/G/F/UTIL,WAS,12.25%,0.0%,0.1%,0.08%,0.03%,$-0.77
jared butler,PG/G/UTIL,WAS,12.03%,0.0%,0.09%,0.07%,0.03%,$-0.77
emoni bates,PG/SF/G/F/UTIL,CLE,10.74%,0.0%,0.11%,0.09%,0.03%,$-0.78
svi mykhailiuk,SF/SG/G/F/UTIL,UTA,11.27%,0.0%,0.09%,0.17%,0.1%,$-0.78
vince williams jr.,PF/F/UTIL,MEM,11.09%,0.0%,0.12%,0.07%,0.03%,$-0.78
taylor hendricks,SF/F/UTIL,UTA,11.28%,0.0%,0.1%,0.07%,0.03%,$-0.78
mac mcclung,PG/G/UTIL,ORL,10.03%,0.0%,0.11%,0.05%,0.03%,$-0.78
luka garza,C/UTIL,MIN,10.44%,0.0%,0.09%,0.07%,0.03%,$-0.78
justin minaya,PF/F/UTIL,POR,11.19%,0.0%,0.11%,0.07%,0.03%,$-0.78
jeff green,C/PF/F/UTIL,HOU,10.9%,0.0%,0.09%,0.08%,0.03%,$-0.79
jock landale,C/UTIL,HOU,8.94%,0.0%,0.06%,0.03%,0.03%,$-0.8
cole anthony,PG/SG/G/UTIL,ORL,10.86%,0.0%,0.07%,0.14%,0.1%,$-0.8
micah potter,C/PF/F/UTIL,UTA,10.87%,0.0%,0.07%,0.06%,0.04%,$-0.8
trey jemison,C/UTIL,LAL,11.21%,0.0%,0.08%,0.05%,0.03%,$-0.8
caris levert,PG/SG/G/UTIL,CLE,9.67%,0.0%,0.07%,0.05%,0.04%,$-0.8
marcus smart,SG/G/UTIL,MEM,10.23%,0.0%,0.05%,0.05%,0.04%,$-0.81
cody williams,SF/F/UTIL,UTA,9.0%,0.0%,0.04%,0.04%,0.04%,$-0.82
johnny juzang,SF/SG/G/F/UTIL,UTA,9.11%,0.0%,0.05%,0.08%,0.04%,$-0.83
