Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4649272436,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),Jaylen Brown (37770094),Sam Hauser (37770402),Giannis Antetokounmpo (37769998),Wendell Carter Jr. (37770226),Desmond Bane (37770125),Moses Moody (37770253),Yves Missi (37770284)
4649272437,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),Donovan Mitchell (37770066),Sam Hauser (37770402),Jaren Jackson Jr. (37770099),Kelly Olynyk (37770294),Ja Morant (37770078),Zion Williamson (37770048),Vince Williams Jr. (37770467)
4649272438,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Jose Alvarado (37770193),Payton Pritchard (37770208),Jaylen Brown (37770094),Zion Williamson (37770048),Alperen Sengun (37770052),Vince Williams Jr. (37770467),Buddy Hield (37770334),Brandin Podziemski (37770175)
4649272439,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Devin Booker (37770025),Payton Pritchard (37770208),Sam Hauser (37770402),Kelly Olynyk (37770294),Jaren Jackson Jr. (37770099),Brandin Podziemski (37770175),LeBron James (37770008),Vince Williams Jr. (37770467)
4649272440,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),RJ Barrett (37770118),Jaylen Brown (37770094),Jayson Tatum (37770012),Wendell Carter Jr. (37770226),Cole Anthony (37770201),Gary Payton II (37770553),Jarrett Allen (37770161)
4649272441,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Payton Pritchard (37770208),Brandin Podziemski (37770175),RJ Barrett (37770118),Jaren Jackson Jr. (37770099),Alperen Sengun (37770052),Jose Alvarado (37770193),Bradley Beal (37770150),Damion Baugh (37770458)
4649272442,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Brandin Podziemski (37770175),Gradey Dick (37770339),Zion Williamson (37770048),Jayson Tatum (37770012),Alperen Sengun (37770052),Vince Williams Jr. (37770467),Kelly Olynyk (37770294),Jaxson Hayes (37770315)
4649272443,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Derrick White (37770139),Gradey Dick (37770339),Sam Hauser (37770402),Zion Williamson (37770048),Evan Mobley (37770059),Ty Jerome (37770281),LeBron James (37770008),Vince Williams Jr. (37770467)
4649272444,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Jose Alvarado (37770193),Jaylen Brown (37770094),Jayson Tatum (37770012),Zion Williamson (37770048),Jusuf Nurkic (37770242),Vince Williams Jr. (37770467),Royce O'Neale (37770275),Santi Aldama (37770228)
4649272445,NBA $60K Four Point Play [20 Entry Max],174268489,$4,Scottie Barnes (37770039),Vince Williams Jr. (37770467),Sam Hauser (37770402),Kelly Olynyk (37770294),Alperen Sengun (37770052),Damion Baugh (37770458),LeBron James (37770008),Desmond Bane (37770125)
