Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Stephon Castle,PG/SG/G/UTIL,SAS,28.75,9.8,12.54%,0.0%,4.68%,4.37%,$-2.36,48
Kyle Kuzma,PF/F/UTIL,WAS,31.45,10.69,12.35%,0.0%,4.12%,2.15%,$-2.37,48
Karl-Anthony Towns,C/UTIL,NYK,48.35,15.82,12.98%,0.0%,7.86%,9.15%,$-2.37,48
Tyrese Haliburton,PG/G/UTIL,IND,42.46,13.3,12.0%,0.0%,4.24%,4.24%,$-2.38,48
Jaylen Wells,SF/SG/G/F/UTIL,MEM,22.61,6.43,12.26%,0.0%,12.77%,8.42%,$-2.39,48
Aaron Nesmith,SF/SG/G/F/UTIL,IND,21.6,7.51,12.36%,0.0%,6.64%,4.37%,$-2.39,48
Jose Alvarado,PG/G/UTIL,NOP,28.64,8.65,11.77%,0.0%,8.56%,14.01%,$-2.42,48
Jeremiah Robinson-Earl,C/PF/F/UTIL,NOP,9.9,5.58,2.99%,0.0%,0.01%,0.01%,$-2.42,48
Julian Strawther,SG/G/UTIL,DEN,20.14,7.0,11.54%,0.0%,4.35%,6.71%,$-2.43,48
Richaun Holmes,C/UTIL,WAS,16.43,8.34,10.01%,0.0%,0.19%,2.75%,$-2.44,48
Alex Ducas,SG/G/UTIL,OKC,7.98,4.62,2.14%,0.0%,0.02%,0.01%,$-2.45,48
Zaccharie Risacher,PF/SF/F/UTIL,ATL,24.88,8.73,9.94%,0.01%,4.28%,2.58%,$-2.46,48
Luka Garza,C/UTIL,MIN,11.98,7.7,1.49%,0.0%,0.01%,0.01%,$-2.47,48
Trey Murphy III,SF/SG/G/F/UTIL,NOP,36.91,9.62,10.56%,0.0%,4.05%,1.86%,$-2.48,48
Julian Champagnie,SF/SG/G/F/UTIL,SAS,13.5,6.53,9.61%,0.0%,0.17%,0.1%,$-2.48,48
Taurean Prince,PF/SF/F/UTIL,MIL,20.6,7.65,10.61%,0.0%,1.7%,1.25%,$-2.49,48
Nick Smith Jr.,SF/SG/G/F/UTIL,CHA,27.79,7.32,9.48%,0.0%,1.19%,7.61%,$-2.51,48
Jalen Green,SG/G/UTIL,HOU,36.69,11.17,9.89%,0.0%,3.18%,3.27%,$-2.51,48
Harrison Barnes,PF/SF/F/UTIL,SAS,21.9,7.52,10.09%,0.0%,1.21%,0.95%,$-2.51,48
P.J. Tucker,PF/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Cam Spencer,PG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Tyler Kolek,PG/G/UTIL,NYK,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
DeAndre Jordan,C/UTIL,DEN,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Yuki Kawamura,PG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Daniel Theis,C/UTIL,NOP,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Zyon Pullin,PG/SG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Liam Robbins,C/UTIL,MIL,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Riley Minix,PF/F/UTIL,SAS,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Vlatko Cancar,C/UTIL,DEN,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Gregory Jackson,PF/SF/F/UTIL,MEM,9.84,6.12,0.0%,0.0%,0.02%,0.01%,$-2.52,48
Dario Saric,C/PF/F/UTIL,DEN,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Alex Caruso,PG/SF/G/F/UTIL,OKC,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
David Roddy,PF/F/UTIL,ATL,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Jared Butler,PG/G/UTIL,WAS,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Isaiah Wong,PG/SG/G/UTIL,CHA,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Jack McVeigh,SG/G/UTIL,HOU,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Quenton Jackson,PG/SG/G/UTIL,IND,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Isaiah Jackson,C/UTIL,IND,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Cameron Payne,PG/SG/G/UTIL,NYK,9.61,5.9,0.0%,0.0%,0.02%,0.01%,$-2.52,48
Stanley Umude,SG/G/UTIL,MIL,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Herbert Jones,C/UTIL,NOP,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Doug McDermott,PF/SF/F/UTIL,SAC,5.45,3.13,0.0%,0.0%,0.02%,0.01%,$-2.52,48
Taylor Hendricks,SF/F/UTIL,UTA,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Charles Bassey,C/UTIL,SAS,0,0.0,0.0%,0.0%,0.01%,0.04%,$-2.52,48
Aaron Holiday,PG/G/UTIL,HOU,8.94,4.96,0.0%,0.0%,0.02%,0.01%,$-2.52,48
Branden Carlson,C/UTIL,OKC,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
Mitchell Robinson,C/UTIL,NYK,0,0.0,0.0%,0.0%,0.02%,0.04%,$-2.52,48
Zach Collins,C/UTIL,SAS,0,0.0,0.0%,0.0%,0.03%,0.03%,$-2.52,48
PJ Hall,C/UTIL,DEN,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
Ben Sheppard,SG/G/UTIL,IND,10.96,5.02,0.0%,0.0%,0.01%,0.01%,$-2.52,48
EJ Harkless,PG/G/UTIL,UTA,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Johnny Juzang,SF/SG/G/F/UTIL,UTA,10.4,5.43,0.01%,0.0%,0.01%,0.01%,$-2.52,48
Sandro Mamukelashvili,C/PF/F/UTIL,SAS,7.46,5.05,0.0%,0.0%,0.01%,0.01%,$-2.52,48
Vince Williams Jr.,PF/F/UTIL,MEM,0,0.0,0.0%,0.0%,0.02%,0.03%,$-2.52,48
Garrison Mathews,SG/G/UTIL,ATL,14.66,6.61,0.0%,0.0%,0.01%,0.34%,$-2.52,48
Ousmane Dieng,C/PF/F/UTIL,OKC,8.14,4.75,0.0%,0.0%,0.03%,0.01%,$-2.52,48
Tristan Vukcevic,C/UTIL,WAS,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.52,48
