PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Trae Young (37750915),Cole Anthony (37751114),Caris LeVert (37751093),Paolo Banchero (37750942),Jalen Duren (37751019),Jordan Poole (37750986),Vince Williams Jr. (37751460),Orlando Robinson (37751401),279.30000000000007,273.76,373.44,50000,0.18%,7.38%,624.4%,55.54%,164.61,$25.0,ATL 2,ORL 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Ausar Thompson (37751085),Kyshawn George (37751149),Evan Mobley (37750964),Vince Williams Jr. (37751460),Santi Aldama (37751160),Zion Williamson (37750934),277.94,274.90000000000003,375.64,49900,0.08%,7.54%,603.6%,52.08%,154.49,$24.1,MEM 2,ATL 1,generated,1
Trae Young (37750915),Cole Anthony (37751114),Caris LeVert (37751093),Georges Niang (37751274),Jalen Duren (37751019),RJ Barrett (37751003),Vince Williams Jr. (37751460),Evan Mobley (37750964),284.29,279.04,378.08000000000004,49700,0.06%,9.36%,599.6%,62.0%,166.73000000000002,$24.0,ATL 3,ORL 1,generated,1
Cole Anthony (37751114),Vince Williams Jr. (37751460),Nickeil Alexander-Walker (37751134),Zion Williamson (37750934),Jalen Duren (37751019),Anthony Edwards (37750911),Santi Aldama (37751160),Jarrett Allen (37751052),279.23,278.02,374.49,49700,0.14%,6.96%,595.0%,54.32%,187.35000000000002,$23.8,MEM 2,MIN 2,generated,1
Cole Anthony (37751114),Anthony Edwards (37750911),Vince Williams Jr. (37751460),Georges Niang (37751274),Alexandre Sarr (37751083),Shai Gilgeous-Alexander (37750902),Kelly Olynyk (37751258),Darius Garland (37750989),275.40999999999997,275.88,368.82,49900,0.22%,5.86%,590.4%,50.68%,177.37,$23.6,ORL 1,MIN 1,generated,1
Trae Young (37750915),Cole Anthony (37751114),RJ Barrett (37751003),Georges Niang (37751274),Onyeka Okongwu (37751069),Donovan Mitchell (37750950),Santi Aldama (37751160),Kelly Olynyk (37751258),282.21000000000004,278.18,375.53999999999996,49300,0.14%,7.28%,587.8%,59.04%,165.07999999999998,$23.5,ATL 3,ORL 1,generated,1
Trae Young (37750915),Caris LeVert (37751093),Zion Williamson (37750934),Nikola Jovic (37751139),Evan Mobley (37750964),Vince Williams Jr. (37751460),Santi Aldama (37751160),Cole Anthony (37751114),278.54999999999995,274.59000000000003,375.85,49900,0.1%,7.6%,564.5%,53.48%,153.23,$22.6,ATL 2,MEM 2,generated,1
Cole Anthony (37751114),Dyson Daniels (37751029),RJ Barrett (37751003),Georges Niang (37751274),Jalen Duren (37751019),Bradley Beal (37751061),Kelly Olynyk (37751258),Trae Young (37750915),284.04,275.37,372.75,49900,0.14%,7.78%,562.4%,62.48%,157.75,$22.5,ATL 3,ORL 1,generated,1
Jordan Poole (37750986),Cole Anthony (37751114),Zion Williamson (37750934),Kyshawn George (37751149),Jalen Duren (37751019),Donovan Mitchell (37750950),Vince Williams Jr. (37751460),Wendell Carter Jr. (37751163),275.55,275.15999999999997,372.04,50000,0.16%,6.84%,558.4%,50.54%,158.4,$22.3,WAS 2,ORL 2,generated,1
Trae Young (37750915),Cole Anthony (37751114),Andrew Wiggins (37751056),Santi Aldama (37751160),Jalen Duren (37751019),Anthony Edwards (37750911),Vince Williams Jr. (37751460),Zach Edey (37751203),277.93,272.43,371.37000000000006,49700,0.14%,6.56%,555.7%,53.68%,163.61,$22.2,MEM 3,ATL 1,generated,1
